Day,Counts,Dilution
1,4,2.2
1,105,2.2
1,1,2.2
1,0,2.2
1,17,2.2
1,0,2.2
1,9,2.2
1,0,2.2
1,6,2.2
1,196,2.2
1,0,2.2
1,190,22.0
1,0,2.2
1,2,2.2
1,18,2.2
1,272,22.0
1,159,22.0
1,0,2.2
1,11,2.2
1,0,2.2
1,116,222.0
1,285,222.0
1,4,222.0
1,1,2.2
1,146,2.2
3,4,2.2
3,2,2.2
3,0,2.2
3,199,222.0
3,42,222.0
3,290,2.2
3,5,2.2
3,5,2.2
3,116,222.0
3,15,2.2
3,2,2.2
3,6,2.2
3,79,2.2
3,59,222.0
3,15,2.2
3,60,2.2
3,2,2.2
3,65,222.0
3,4,2.2
3,17,2.2
3,193,22.0
3,65,222.0
3,127,2.2
3,39,22.0
3,1,2.2
5,23,2.2
5,2,2.2
5,0,2.2
5,1,2.2
5,8,2.2
5,2,2.2
5,63,22.0
5,1,2.2
5,13,2.2
5,74,222.0
5,90,2.2
5,8,2.2
5,35,22.0
5,8,2.2
5,134,22.0
5,158,2.2
5,47,22.0
5,4,2.2
5,2,2.2
5,5,2.2
5,4,2.2
5,53,222.0
5,3,2.2
5,1,2.2
5,16,2.2
7,8,2.2
7,205,2.2
7,32,2.2
7,53,2.2
7,96,222.0
7,62,2.2
7,9,2.2
7,8,2.2
7,32,2.2
7,31,2.2
7,219,2.2
7,251,222.0
7,14,2.2
7,227,22.0
7,28,2.2
7,99,22.0
7,58,22.0
7,7,2.2
7,7,2.2
7,77,222.0
7,17,2.2
7,71,2.2
7,47,2.2
7,115,22.0
7,11,2.2
9,254,22.0
9,205,222.0
9,39,2.2
9,50,22.0
9,69,22.0
9,138,222.0
9,0,2.2
9,4,2.2
9,45,222.0
9,21,222.0
9,71,2.2
9,112,222.0
9,94,2.2
9,133,22.0
9,64,222.0
9,52,2.2
9,4,2222.0
9,82,222.0
9,26,2.2
9,0,2.2
9,55,222.0
9,78,22.0
9,42,2.2
9,15,2.2
9,116,22.0
1,45,2.2
1,1,2.2
1,1,2.2
1,60,222.0
1,1,2.2
1,251,2.2
1,6,2.2
1,2,2.2
1,22,2.2
1,3,2.2
1,0,2.2
1,0,2.2
1,7,2.2
1,0,2.2
1,1,2.2
1,13,2.2
1,32,2.2
1,1,2.2
1,3,2.2
1,1,2.2
1,144,22.0
1,4,2.2
1,72,22.0
1,3,2.2
1,2,2.2
3,3,2.2
3,1,2.2
3,4,2.2
3,0,2.2
3,13,2.2
3,30,2.2
3,13,2.2
3,1,2.2
3,16,2.2
3,1,2.2
3,52,22.0
3,9,2.2
3,1,2.2
3,0,2.2
3,6,2.2
3,11,2.2
3,29,2.2
3,29,2.2
3,92,22.0
3,23,2.2
3,3,2.2
3,0,2.2
3,447,222.0
3,4,2.2
3,10,2.2
5,1,2.2
5,9,2.2
5,110,222.0
5,15,2.2
5,7,2.2
5,194,22.0
5,3,2.2
5,274,22.0
5,4,2.2
5,63,2.2
5,450,222.0
5,2,2.2
5,1,2.2
5,3,2.2
5,2,2.2
5,4,2.2
5,220,222.0
5,8,2.2
5,18,2.2
5,132,222.0
5,43,2.2
5,3,2.2
5,7,2.2
5,4,2.2
5,4,2.2
7,30,2.2
7,37,2.2
7,232,22.0
7,20,2.2
7,53,2.2
7,2,2.2
7,85,22.0
7,59,222.0
7,9,2.2
7,15,22.0
7,91,2.2
7,15,2.2
7,130,222.0
7,65,2.2
7,260,22.0
7,117,222.0
7,158,22.0
7,57,22.0
7,12,2.2
7,49,2.2
7,7,2.2
7,16,2.2
7,156,2.2
7,4,2.2
7,61,2.2
9,17,2.2
9,14,2.2
9,89,22.0
9,19,2.2
9,128,222.0
9,50,2222.0
9,22,2.2
9,24,2.2
9,20,2.2
9,25,2222.0
9,32,222.0
9,57,222.0
9,2,2.2
9,58,22.0
9,11,2.2
9,34,2222.0
9,12,2.2
9,126,2.2
9,14,2.2
9,14,2.2
9,64,22.0
9,67,2.2
9,22,222.0
9,132,2222.0
9,47,2222.0
1,2,2.2
1,51,22.0
1,36,222.0
1,0,2.2
1,24,2.2
1,29,2.2
1,18,2.2
1,38,22.0
1,55,222.0
1,4,2.2
1,40,2.2
1,0,2.2
1,1,2.2
1,7,2.2
1,1,2.2
1,0,2.2
1,14,2.2
1,1,2.2
1,19,2.2
1,2,2.2
1,1,2.2
1,12,2.2
1,3,2.2
1,1,2.2
1,19,2.2
3,115,22.0
3,0,2.2
3,37,222.0
3,0,2.2
3,0,2.2
3,42,2.2
3,0,2.2
3,2,2.2
3,0,2.2
3,5,2.2
3,0,2.2
3,8,2.2
3,48,2.2
3,57,22.0
3,11,2.2
3,0,2.2
3,0,2.2
3,63,2.2
3,0,2.2
3,1,2.2
3,0,2.2
3,275,22.0
3,4,2.2
3,0,2.2
5,56,2.2
5,3,2.2
5,29,2.2
5,237,22.0
5,100,222.0
5,267,22.0
5,238,222.0
5,122,222.0
5,11,2.2
5,5,2.2
5,8,2.2
5,6,2.2
5,1,2.2
5,345,222.0
5,22,2.2
5,0,2.2
5,112,2.2
