Day,Counts,Dilution
1,7,2.2
1,1,2.2
1,0,2.2
1,0,2.2
1,0,2.2
1,0,2.2
1,290,22.0
1,186,22.0
1,0,2.2
1,3,2.2
1,0,2.2
1,1,2.2
1,11,2.2
1,0,2.2
1,68,22.0
1,0,2.2
1,0,2.2
1,42,222.0
1,0,2.2
1,1,2.2
1,0,2.2
1,1,2.2
1,0,2.2
1,0,2.2
1,68,2.2
3,0,2.2
3,0,2.2
3,69,22.0
3,1,2.2
3,2,2.2
3,0,2.2
3,2,2.2
3,3,2.2
3,0,2.2
3,0,2.2
3,1,2.2
3,0,2.2
3,0,2.2
3,2,2.2
3,1,2.2
3,43,22.0
3,0,2.2
3,0,2.2
3,5,2.2
3,10,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,84,2.2
3,0,2.2
5,28,222.0
5,64,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,84,22.0
5,0,2.2
5,0,2.2
5,105,22.0
5,1,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,7,222.0
5,110,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,1,2.2
5,0,2.2
5,50,2.2
5,0,2.2
5,0,2.2
5,0,2.2
7,0,2.2
7,160,2.2
7,0,2.2
7,70,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,43,222.0
7,2,2.2
7,0,2.2
7,81,22.0
7,69,2.2
7,13,2.2
7,4,2.2
7,3,2.2
7,2,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,7,2.2
7,0,2.2
9,0,2.2
9,0,2.2
9,31,222.0
9,0,2.2
9,0,2.2
9,0,2.2
9,150,222.0
9,0,2.2
9,51,222.0
9,0,2.2
9,0,2.2
9,0,2.2
9,80,22.0
9,608,222.0
9,0,2.2
9,99,222.0
9,61,222.0
9,0,2.2
9,35,222.0
9,0,2.2
9,0,2.2
9,2,2.2
9,0,2.2
9,0,2.2
9,53,222.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,19,22.0
1,0,22.0
1,0,22.0
1,53,222.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,0,22.0
1,3,22.0
1,0,22.0
1,0,22.0
1,0,22.0
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,1,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
5,0,2.2
5,1,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,4,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,129,22.0
5,0,2.2
5,0,2.2
5,229,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,1,2.2
5,0,2.2
5,0,2.2
5,0,2.2
5,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,54,222.0
7,0,2.2
7,0,2.2
7,0,2.2
7,287,222.0
7,0,2.2
7,1,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,1,2.2
7,1,2.2
7,12,2.2
7,1,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,112,22.0
7,0,2.2
9,119,222.0
9,0,2.2
9,0,2.2
9,0,2.2
9,0,2.2
9,0,2.2
9,0,2.2
9,3,2.2
9,2,2.2
9,174,2.2
9,213,222.0
9,1,2.2
9,0,2.2
9,0,2.2
9,57,2.2
9,1,2.2
9,0,2.2
9,0,2.2
9,0,2.2
9,0,2.2
9,0,2.2
9,102,222.0
9,0,2.2
9,162,222.0
9,0,2.2
1,5,2.2
1,154,22.0
1,0,2.2
1,0,2.2
1,0,2.2
1,7,2.2
1,96,222.0
1,0,2.2
1,254,22.0
1,2,2.2
1,20,2.2
1,161,2.2
1,30,2.2
1,69,22.0
1,2,2.2
1,38,22.0
1,0,2.2
1,110,2.2
1,0,2.2
1,25,2.2
1,51,22.0
1,0,2.2
1,22,2.2
1,11,2.2
3,48,2.2
3,1,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,44,222.0
3,0,2.2
3,8,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,13,2.2
3,0,2.2
3,0,2.2
3,11,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,0,2.2
3,277,22.0
3,0,2.2
5,0,2.2
5,127,222.0
5,0,2.2
5,0,2.2
5,52,22.0
5,75,222.0
5,4,2.2
5,0,2.2
5,2,2.2
5,1,2.2
5,0,2.2
5,4,2.2
5,114,22.0
5,238,22.0
5,271,2.2
5,0,2.2
5,0,2.2
5,7,2.2
5,0,2.2
5,286,22.0
5,63,2222.0
5,4,2.2
5,82,222.0
5,0,2.2
5,0,2.2
7,0,2.2
7,0,2.2
7,296,2.2
7,0,2.2
7,0,2.2
7,0,22.0
7,0,2.2
7,0,2.2
7,15,222.0
7,0,2.2
7,0,2.2
7,67,22.0
7,40,2222.0
7,0,2.2
7,0,2.2
7,0,2.2
7,0,2.2
7,188,22.0
7,1,2.2
7,0,2.2
7,0,2.2
7,1,2.2
7,32,22.0
7,0,2.2
7,17,2222.0
9,0,2.2
9,26,2.2
9,89,22.0
9,2,2.2
9,2,2.2
9,1,2.2
9,101,2.2
9,205,222.0
9,4,2.2
9,1,2.2
9,0,2.2
9,1,2.2
9,7,2.2
9,0,2.2
9,48,22.0
9,0,2.2
9,154,2.2
9,26,22.0
9,0,2.2
9,3,2.2
9,6,2.2
9,2,2.2
9,0,2.2
9,45,2.2
9,0,2.2
