idx,alpha,mu,omega,rho,loglike
0,0.05,0.01,0.0,1.0,-inf
1,0.05,0.02,0.0,1.0,-inf
2,0.05,0.03,0.0,1.0,-inf
3,0.05,0.04,0.0,1.0,-inf
4,0.05,0.05,0.0,1.0,-inf
5,0.05,0.06,0.0,1.0,-inf
6,0.05,0.07,0.0,1.0,-inf
7,0.05,0.08,0.0,1.0,-inf
8,0.05,0.09,0.0,1.0,-inf
9,0.05,0.1,0.0,1.0,-inf
10,0.05,0.11,0.0,1.0,-inf
11,0.05,0.12,0.0,1.0,-inf
12,0.05,0.13,0.0,1.0,-1823.01318359375
13,0.05,0.14,0.0,1.0,-1690.66650390625
14,0.05,0.15,0.0,1.0,-1656.2857666015625
15,0.05,0.16,0.0,1.0,-1582.508544921875
16,0.05,0.17,0.0,1.0,-1496.92041015625
17,0.05,0.18,0.0,1.0,-1406.287109375
18,0.05,0.19,0.0,1.0,-1391.3369140625
19,0.05,0.2,0.0,1.0,-1358.699462890625
20,0.05,0.21,0.0,1.0,-1287.7294921875
21,0.05,0.22,0.0,1.0,-1271.050537109375
22,0.05,0.23,0.0,1.0,-1249.6552734375
23,0.05,0.24,0.0,1.0,-1222.65185546875
24,0.05,0.25,0.0,1.0,-1216.22705078125
25,0.05,0.26,0.0,1.0,-1215.9876708984375
26,0.05,0.27,0.0,1.0,-1216.571044921875
27,0.05,0.28,0.0,1.0,-1222.2822265625
28,0.05,0.29,0.0,1.0,-1217.095947265625
29,0.05,0.3,0.0,1.0,-1222.58544921875
30,0.05,0.31,0.0,1.0,-1222.0992431640625
31,0.05,0.32,0.0,1.0,-1224.640625
32,0.05,0.33,0.0,1.0,-1225.88330078125
33,0.05,0.34,0.0,1.0,-1228.7667236328125
34,0.05,0.35,0.0,1.0,-1229.623046875
35,0.05,0.36,0.0,1.0,-1231.21533203125
36,0.05,0.37,0.0,1.0,-1233.553955078125
37,0.05,0.38,0.0,1.0,-1237.082763671875
38,0.05,0.39,0.0,1.0,-1239.8790283203125
39,0.05,0.4,0.0,1.0,-1238.9827880859375
40,0.05,0.41,0.0,1.0,-1244.84130859375
41,0.05,0.42,0.0,1.0,-1240.89501953125
42,0.05,0.43,0.0,1.0,-1241.5772705078125
43,0.05,0.44,0.0,1.0,-1260.120361328125
44,0.05,0.45,0.0,1.0,-1250.8516845703125
45,0.05,0.46,0.0,1.0,-1247.64111328125
46,0.05,0.47,0.0,1.0,-1252.232666015625
47,0.05,0.48,0.0,1.0,-1253.619873046875
48,0.05,0.49,0.0,1.0,-1252.0924072265625
49,0.05,0.5,0.0,1.0,-1260.578369140625
