idx,alpha,mu,omega,rho,loglike
0,0.05,0.02,0.0,1.0,-inf
1,0.05,0.04,0.0,1.0,-inf
2,0.05,0.06,0.0,1.0,-inf
3,0.05,0.08,0.0,1.0,-inf
4,0.05,0.1,0.0,1.0,-inf
5,0.05,0.12,0.0,1.0,-inf
6,0.05,0.14,0.0,1.0,-inf
7,0.05,0.16,0.0,1.0,-inf
8,0.05,0.18,0.0,1.0,-inf
9,0.05,0.2,0.0,1.0,-inf
10,0.05,0.22,0.0,1.0,-9641.4140625
11,0.05,0.24,0.0,1.0,-7728.4326171875
12,0.05,0.26,0.0,1.0,-5992.03955078125
13,0.05,0.28,0.0,1.0,-4985.16650390625
14,0.05,0.3,0.0,1.0,-3911.87841796875
15,0.05,0.32,0.0,1.0,-2923.264404296875
16,0.05,0.34,0.0,1.0,-2650.8896484375
17,0.05,0.36,0.0,1.0,-2450.715576171875
18,0.05,0.38,0.0,1.0,-2423.15966796875
19,0.05,0.4,0.0,1.0,-2425.1787109375
20,0.05,0.42,0.0,1.0,-2431.76806640625
21,0.05,0.44,0.0,1.0,-2444.22998046875
22,0.05,0.46,0.0,1.0,-2446.76123046875
23,0.05,0.48,0.0,1.0,-2461.43798828125
24,0.05,0.5,0.0,1.0,-2464.086669921875
25,0.05,0.52,0.0,1.0,-2470.134765625
26,0.05,0.54,0.0,1.0,-2482.22607421875
27,0.05,0.56,0.0,1.0,-2490.078125
28,0.05,0.58,0.0,1.0,-2492.728515625
29,0.05,0.6,0.0,1.0,-2507.98779296875
30,0.05,0.62,0.0,1.0,-2516.97802734375
31,0.05,0.64,0.0,1.0,-2533.86767578125
32,0.05,0.66,0.0,1.0,-2528.75732421875
33,0.05,0.68,0.0,1.0,-2530.576171875
34,0.05,0.7,0.0,1.0,-2553.53955078125
35,0.05,0.72,0.0,1.0,-2547.97216796875
36,0.05,0.74,0.0,1.0,-2547.109130859375
37,0.05,0.76,0.0,1.0,-2545.06884765625
38,0.05,0.78,0.0,1.0,-2550.9580078125
39,0.05,0.8,0.0,1.0,-2555.3759765625
40,0.05,0.82,0.0,1.0,-2599.44873046875
41,0.05,0.84,0.0,1.0,-2609.54443359375
42,0.05,0.86,0.0,1.0,-2577.546875
43,0.05,0.88,0.0,1.0,-2575.50439453125
44,0.05,0.9,0.0,1.0,-2585.724609375
45,0.05,0.92,0.0,1.0,-2587.100341796875
46,0.05,0.94,0.0,1.0,-2591.13525390625
47,0.05,0.96,0.0,1.0,-2615.21435546875
48,0.05,0.98,0.0,1.0,-2598.91357421875
49,0.05,1.0,0.0,1.0,-2602.77490234375
