idx,alpha,mu,omega,rho,loglike
0,0.05,0.38,0.0,1.0,-2431.1953125
1,0.05,0.3808,0.0,1.0,-2427.65576171875
2,0.05,0.3816,0.0,1.0,-2427.353515625
3,0.05,0.3824,0.0,1.0,-2424.49560546875
4,0.05,0.3832,0.0,1.0,-2422.057861328125
5,0.05,0.384,0.0,1.0,-2427.67919921875
6,0.05,0.3848,0.0,1.0,-2430.22412109375
7,0.05,0.3856,0.0,1.0,-2434.1103515625
8,0.05,0.3864,0.0,1.0,-2433.681884765625
9,0.05,0.3872,0.0,1.0,-2427.442626953125
10,0.05,0.388,0.0,1.0,-2429.79345703125
11,0.05,0.3888,0.0,1.0,-2421.66259765625
12,0.05,0.3896,0.0,1.0,-2425.32275390625
13,0.05,0.3904,0.0,1.0,-2425.11767578125
14,0.05,0.3912,0.0,1.0,-2421.99365234375
15,0.05,0.392,0.0,1.0,-2433.8759765625
16,0.05,0.3928,0.0,1.0,-2434.45361328125
17,0.05,0.3936,0.0,1.0,-2428.81787109375
18,0.05,0.3944,0.0,1.0,-2428.73193359375
19,0.05,0.3952,0.0,1.0,-2433.6279296875
20,0.05,0.396,0.0,1.0,-2429.259765625
21,0.05,0.3968,0.0,1.0,-2429.33251953125
22,0.05,0.3976,0.0,1.0,-2427.587890625
23,0.05,0.3984,0.0,1.0,-2433.30615234375
24,0.05,0.3992,0.0,1.0,-2427.16552734375
25,0.05,0.4,0.0,1.0,-2427.940673828125
26,0.05,0.4008,0.0,1.0,-2424.8876953125
27,0.05,0.4016,0.0,1.0,-2422.2275390625
28,0.05,0.4024,0.0,1.0,-2423.95703125
29,0.05,0.4032,0.0,1.0,-2435.881591796875
30,0.05,0.404,0.0,1.0,-2438.519775390625
31,0.05,0.4048,0.0,1.0,-2430.19580078125
32,0.05,0.4056,0.0,1.0,-2423.3818359375
33,0.05,0.4064,0.0,1.0,-2426.7998046875
34,0.05,0.4072,0.0,1.0,-2428.63671875
35,0.05,0.408,0.0,1.0,-2427.3955078125
36,0.05,0.4088,0.0,1.0,-2426.68505859375
37,0.05,0.4096,0.0,1.0,-2431.2646484375
38,0.05,0.4104,0.0,1.0,-2428.647216796875
39,0.05,0.4112,0.0,1.0,-2427.881591796875
40,0.05,0.412,0.0,1.0,-2433.669677734375
41,0.05,0.4128,0.0,1.0,-2440.12255859375
42,0.05,0.4136,0.0,1.0,-2429.20068359375
43,0.05,0.4144,0.0,1.0,-2429.212646484375
44,0.05,0.4152,0.0,1.0,-2437.39501953125
45,0.05,0.416,0.0,1.0,-2432.89599609375
46,0.05,0.4168,0.0,1.0,-2435.20458984375
47,0.05,0.4176,0.0,1.0,-2431.278076171875
48,0.05,0.4184,0.0,1.0,-2433.7724609375
49,0.05,0.4192,0.0,1.0,-2433.69287109375
50,0.05,0.42,0.0,1.0,-2439.927734375
