idx,alpha,mu,omega,rho,loglike
0,0.05,0.02,0.0,1.0,-inf
1,0.05,0.04,0.0,1.0,-inf
2,0.05,0.06,0.0,1.0,-inf
3,0.05,0.08,0.0,1.0,-inf
4,0.05,0.1,0.0,1.0,-inf
5,0.05,0.12,0.0,1.0,-inf
6,0.05,0.14,0.0,1.0,-inf
7,0.05,0.16,0.0,1.0,-inf
8,0.05,0.18,0.0,1.0,-inf
9,0.05,0.2,0.0,1.0,-inf
10,0.05,0.22,0.0,1.0,-inf
11,0.05,0.24,0.0,1.0,-8199.1025390625
12,0.05,0.26,0.0,1.0,-7174.61328125
13,0.05,0.28,0.0,1.0,-5015.80029296875
14,0.05,0.3,0.0,1.0,-4344.095703125
15,0.05,0.32,0.0,1.0,-3478.38427734375
16,0.05,0.34,0.0,1.0,-2869.172607421875
17,0.05,0.36,0.0,1.0,-2411.060791015625
18,0.05,0.38,0.0,1.0,-2389.05322265625
19,0.05,0.4,0.0,1.0,-2373.904296875
20,0.05,0.42,0.0,1.0,-2391.446044921875
21,0.05,0.44,0.0,1.0,-2383.4287109375
22,0.05,0.46,0.0,1.0,-2394.60595703125
23,0.05,0.48,0.0,1.0,-2399.854736328125
24,0.05,0.5,0.0,1.0,-2405.3779296875
25,0.05,0.52,0.0,1.0,-2417.7451171875
26,0.05,0.54,0.0,1.0,-2421.22119140625
27,0.05,0.56,0.0,1.0,-2432.82470703125
28,0.05,0.58,0.0,1.0,-2446.954345703125
29,0.05,0.6,0.0,1.0,-2450.18798828125
30,0.05,0.62,0.0,1.0,-2462.3984375
31,0.05,0.64,0.0,1.0,-2461.041015625
32,0.05,0.66,0.0,1.0,-2465.482666015625
33,0.05,0.68,0.0,1.0,-2474.744140625
34,0.05,0.7,0.0,1.0,-2469.9404296875
35,0.05,0.72,0.0,1.0,-2480.39501953125
36,0.05,0.74,0.0,1.0,-2487.938720703125
37,0.05,0.76,0.0,1.0,-2496.7509765625
38,0.05,0.78,0.0,1.0,-2510.161376953125
39,0.05,0.8,0.0,1.0,-2510.502197265625
40,0.05,0.82,0.0,1.0,-2502.105712890625
41,0.05,0.84,0.0,1.0,-2514.235107421875
42,0.05,0.86,0.0,1.0,-2528.813720703125
43,0.05,0.88,0.0,1.0,-2536.4716796875
44,0.05,0.9,0.0,1.0,-2521.595947265625
45,0.05,0.92,0.0,1.0,-2533.8935546875
46,0.05,0.94,0.0,1.0,-2534.05078125
47,0.05,0.96,0.0,1.0,-2523.1318359375
48,0.05,0.98,0.0,1.0,-2555.544921875
49,0.05,1.0,0.0,1.0,-2536.27099609375
