mu,rho,ll
0.400194,1.0,-2426.241211
0.400194,1.0,-2425.818848
0.400194,1.0,-2427.658447
0.401624,1.0,-2426.865723
0.400941,1.0,-2428.299805
0.400941,1.0,-2426.36377
0.400941,1.0,-2423.442139
0.398833,1.0,-2422.751221
0.398833,1.0,-2423.454102
0.399324,1.0,-2428.488525
0.400596,1.0,-2428.986328
0.401241,1.0,-2423.79248
0.401241,1.0,-2428.753662
0.401241,1.0,-2421.748047
0.402167,1.0,-2427.732666
0.402167,1.0,-2429.209961
0.402167,1.0,-2422.079102
0.402539,1.0,-2423.492432
0.402924,1.0,-2430.377441
0.402924,1.0,-2426.823242
0.405015,1.0,-2424.160156
0.405772,1.0,-2429.853516
0.407001,1.0,-2426.41333
0.407622,1.0,-2427.997314
0.407972,1.0,-2427.677246
0.406051,1.0,-2426.708496
0.405779,1.0,-2434.961914
0.404631,1.0,-2427.531738
0.404959,1.0,-2424.729004
0.402779,1.0,-2430.771484
0.404452,1.0,-2428.434082
0.405089,1.0,-2424.156738
0.405089,1.0,-2426.849609
0.405089,1.0,-2427.081787
0.404011,1.0,-2423.563721
0.404011,1.0,-2427.16748
0.402928,1.0,-2431.115723
0.402298,1.0,-2426.429443
0.402298,1.0,-2423.963867
0.402298,1.0,-2428.431885
0.402298,1.0,-2430.0271
0.402298,1.0,-2427.540039
0.402298,1.0,-2423.903809
0.402298,1.0,-2423.577881
0.402298,1.0,-2428.034668
0.402619,1.0,-2422.334473
0.402619,1.0,-2422.424805
0.402619,1.0,-2420.688232
0.402619,1.0,-2426.827393
0.402297,1.0,-2429.59082
0.402297,1.0,-2424.860352
0.403129,1.0,-2425.582275
0.403129,1.0,-2425.084961
0.403129,1.0,-2424.532959
0.403129,1.0,-2426.484619
0.40178,1.0,-2428.71875
0.401958,1.0,-2426.118408
0.401386,1.0,-2422.510742
0.400828,1.0,-2420.844727
0.400828,1.0,-2427.462402
0.400828,1.0,-2424.029785
0.400783,1.0,-2425.85376
0.400807,1.0,-2429.875977
0.400807,1.0,-2432.025879
0.400807,1.0,-2425.944824
0.400807,1.0,-2432.712402
0.400807,1.0,-2425.25293
0.400807,1.0,-2425.151855
0.400053,1.0,-2427.90332
0.400053,1.0,-2425.181152
0.399763,1.0,-2423.852051
0.399763,1.0,-2428.445312
0.399694,1.0,-2427.478027
0.399694,1.0,-2426.01123
0.399097,1.0,-2432.767578
0.399097,1.0,-2423.018066
0.399771,1.0,-2430.321289
0.39991,1.0,-2424.451904
0.39991,1.0,-2429.828369
0.400054,1.0,-2425.84082
0.400054,1.0,-2426.767578
0.400054,1.0,-2425.075195
0.399467,1.0,-2424.779785
0.398401,1.0,-2426.802246
0.397856,1.0,-2426.173828
0.396775,1.0,-2427.219238
0.396775,1.0,-2426.328613
0.395841,1.0,-2422.97998
0.39694,1.0,-2427.87207
0.39694,1.0,-2428.771729
0.39694,1.0,-2428.652344
0.39767,1.0,-2423.377441
0.396734,1.0,-2427.074463
0.395151,1.0,-2428.792236
0.396251,1.0,-2430.749023
0.39707,1.0,-2429.080566
0.39707,1.0,-2423.077393
0.397365,1.0,-2427.918701
0.397365,1.0,-2425.513672
0.397454,1.0,-2424.413086
0.397454,1.0,-2431.675781
0.397454,1.0,-2424.995117
0.398036,1.0,-2422.843506
0.397291,1.0,-2428.026855
0.398873,1.0,-2424.152832
0.398169,1.0,-2429.942383
0.399484,1.0,-2424.004395
0.399245,1.0,-2424.124512
0.397787,1.0,-2430.886719
0.397403,1.0,-2426.873779
0.395906,1.0,-2424.327148
0.394487,1.0,-2428.693359
0.395028,1.0,-2425.85791
0.394428,1.0,-2431.739014
0.395306,1.0,-2432.275879
0.395835,1.0,-2427.345703
0.395835,1.0,-2427.097168
0.395855,1.0,-2429.718262
0.397514,1.0,-2427.112549
0.395628,1.0,-2428.614014
0.395801,1.0,-2422.948242
0.39447,1.0,-2425.034668
0.393009,1.0,-2429.528564
0.392711,1.0,-2431.318848
0.392216,1.0,-2427.630371
0.392438,1.0,-2423.521484
0.392438,1.0,-2426.988281
0.391477,1.0,-2430.257812
0.392176,1.0,-2424.58252
0.391762,1.0,-2421.75293
0.391762,1.0,-2422.591064
0.392143,1.0,-2428.402344
0.391214,1.0,-2427.003174
0.391375,1.0,-2424.369141
0.39145,1.0,-2425.722168
0.392264,1.0,-2423.480957
0.393499,1.0,-2427.336914
0.392774,1.0,-2428.48999
0.39287,1.0,-2426.727539
0.39287,1.0,-2424.514404
0.39247,1.0,-2427.609863
0.39247,1.0,-2425.734863
0.390555,1.0,-2428.129639
0.390102,1.0,-2424.093262
0.390871,1.0,-2429.212891
0.390957,1.0,-2423.506836
0.390808,1.0,-2427.556396
0.390711,1.0,-2427.04248
0.390711,1.0,-2423.069824
0.391117,1.0,-2426.278809
0.391117,1.0,-2423.357422
0.391117,1.0,-2426.44873
0.391548,1.0,-2421.442627
0.391848,1.0,-2421.204102
0.390698,1.0,-2425.894043
0.390698,1.0,-2424.782227
0.390698,1.0,-2427.45166
0.390698,1.0,-2424.747314
0.390698,1.0,-2426.351562
0.391127,1.0,-2425.165039
0.391679,1.0,-2423.846436
0.391679,1.0,-2426.979004
0.390605,1.0,-2427.646729
0.390506,1.0,-2423.81543
0.390506,1.0,-2426.49707
0.38979,1.0,-2423.522949
0.389837,1.0,-2424.249512
0.389562,1.0,-2426.58252
0.389514,1.0,-2422.445557
0.390234,1.0,-2425.122559
0.390231,1.0,-2428.692383
0.390522,1.0,-2424.307129
0.390916,1.0,-2424.705078
0.392712,1.0,-2423.82373
0.392712,1.0,-2422.520752
0.392712,1.0,-2426.147949
0.392712,1.0,-2423.614502
0.393219,1.0,-2425.658203
0.394045,1.0,-2422.531738
0.394045,1.0,-2425.012451
0.394045,1.0,-2427.738281
0.393721,1.0,-2429.08667
0.394128,1.0,-2425.820801
0.394281,1.0,-2423.202637
0.39476,1.0,-2427.895264
0.39476,1.0,-2426.09668
0.393391,1.0,-2425.162109
0.392226,1.0,-2431.78125
0.392226,1.0,-2424.629883
0.392226,1.0,-2424.868652
0.392226,1.0,-2423.683105
0.392226,1.0,-2424.008789
0.392226,1.0,-2425.904541
0.391698,1.0,-2424.111328
0.39238,1.0,-2429.508789
0.39292,1.0,-2421.888672
0.391933,1.0,-2421.535645
0.392758,1.0,-2423.047119
0.393077,1.0,-2424.40625
0.393077,1.0,-2422.81543
0.392903,1.0,-2428.013916
0.393681,1.0,-2426.271973
0.394866,1.0,-2424.928711
0.394866,1.0,-2426.498047
0.394866,1.0,-2427.677246
0.394866,1.0,-2426.378174
0.394626,1.0,-2423.21582
0.393989,1.0,-2423.828857
0.394447,1.0,-2427.681152
0.392783,1.0,-2429.375
0.392783,1.0,-2423.162109
0.393824,1.0,-2427.460449
0.393395,1.0,-2428.45874
