mu,alpha_fixed,omega_fixed,d=omega*mu,loglike
1.0,0.04,0.6153846153846154,0.6153846153846154,-1938.2970229145187
1.02,0.04,0.6153846153846154,0.6276923076923078,-1935.8576080956404
1.04,0.04,0.6153846153846154,0.64,-1934.8707017912716
1.06,0.04,0.6153846153846154,0.6523076923076924,-1936.9118194153157
1.08,0.04,0.6153846153846154,0.6646153846153847,-1935.0228891312986
1.1,0.04,0.6153846153846154,0.676923076923077,-1938.221618783596
1.12,0.04,0.6153846153846154,0.6892307692307693,-1937.2253766919914
1.1400000000000001,0.04,0.6153846153846154,0.7015384615384617,-1941.6588808727408
1.16,0.04,0.6153846153846154,0.7138461538461538,-1940.808725841154
1.18,0.04,0.6153846153846154,0.7261538461538461,-1940.416655139294
1.2,0.04,0.6153846153846154,0.7384615384615385,-1947.2211170127716
1.22,0.04,0.6153846153846154,0.7507692307692307,-1945.1786286242927
1.24,0.04,0.6153846153846154,0.7630769230769231,-1947.5856587570215
1.26,0.04,0.6153846153846154,0.7753846153846154,-1948.4630684344054
1.28,0.04,0.6153846153846154,0.7876923076923078,-1949.7787510437379
1.3,0.04,0.6153846153846154,0.8,-1950.2964465388618
1.32,0.04,0.6153846153846154,0.8123076923076924,-1952.6811169090797
1.34,0.04,0.6153846153846154,0.8246153846153847,-1955.0003956159483
1.3599999999999999,0.04,0.6153846153846154,0.8369230769230769,-1956.4482024616418
1.38,0.04,0.6153846153846154,0.8492307692307692,-1958.810771201394
1.4,0.04,0.6153846153846154,0.8615384615384616,-1959.501286487371
1.42,0.04,0.6153846153846154,0.8738461538461538,-1961.2822709859433
1.44,0.04,0.6153846153846154,0.8861538461538462,-1961.2708640381643
1.46,0.04,0.6153846153846154,0.8984615384615385,-1963.8211446510004
1.48,0.04,0.6153846153846154,0.9107692307692308,-1964.574211255264
1.5,0.04,0.6153846153846154,0.9230769230769231,-1965.5042010184284
1.52,0.04,0.6153846153846154,0.9353846153846155,-1969.639774172349
1.54,0.04,0.6153846153846154,0.9476923076923077,-1970.3755029859128
1.56,0.04,0.6153846153846154,0.9600000000000001,-1969.3534235514912
1.58,0.04,0.6153846153846154,0.9723076923076924,-1970.8358733042232
1.6,0.04,0.6153846153846154,0.9846153846153847,-1977.9477381304182
1.62,0.04,0.6153846153846154,0.996923076923077,-1975.592712267236
1.6400000000000001,0.04,0.6153846153846154,1.0092307692307694,-1976.8937569394998
1.6600000000000001,0.04,0.6153846153846154,1.0215384615384617,-1973.2183790824815
1.6800000000000002,0.04,0.6153846153846154,1.033846153846154,-1980.0610622950912
1.7000000000000002,0.04,0.6153846153846154,1.0461538461538462,-1977.3370971831173
1.72,0.04,0.6153846153846154,1.0584615384615386,-1982.9849375153642
1.74,0.04,0.6153846153846154,1.070769230769231,-1982.9692372298464
1.76,0.04,0.6153846153846154,1.083076923076923,-1986.9051669739783
1.78,0.04,0.6153846153846154,1.0953846153846154,-1983.224038137214
1.8,0.04,0.6153846153846154,1.1076923076923078,-1987.1269296537962
1.82,0.04,0.6153846153846154,1.12,-1987.011177097762
1.8399999999999999,0.04,0.6153846153846154,1.1323076923076922,-1987.592146839124
1.8599999999999999,0.04,0.6153846153846154,1.1446153846153846,-1989.69056785692
1.88,0.04,0.6153846153846154,1.156923076923077,-1990.1546908602254
1.9,0.04,0.6153846153846154,1.1692307692307693,-1995.4476218407412
1.92,0.04,0.6153846153846154,1.1815384615384616,-1992.1469554679652
1.94,0.04,0.6153846153846154,1.1938461538461538,-1996.8041560762153
1.96,0.04,0.6153846153846154,1.2061538461538461,-1996.8298739542315
1.98,0.04,0.6153846153846154,1.2184615384615385,-1994.555529824197
2.0,0.04,0.6153846153846154,1.2307692307692308,-1999.7688032831857
2.02,0.04,0.6153846153846154,1.2430769230769232,-1995.276763308124
2.04,0.04,0.6153846153846154,1.2553846153846155,-1999.9918180283128
2.06,0.04,0.6153846153846154,1.267692307692308,-2002.1429351766228
2.08,0.04,0.6153846153846154,1.28,-2002.1294835175586
2.1,0.04,0.6153846153846154,1.2923076923076924,-2006.1570881288396
2.12,0.04,0.6153846153846154,1.3046153846153847,-2003.8771363358883
2.14,0.04,0.6153846153846154,1.316923076923077,-2004.1464198676258
2.16,0.04,0.6153846153846154,1.3292307692307694,-2006.5088717384456
2.1799999999999997,0.04,0.6153846153846154,1.3415384615384613,-2007.8231537981146
2.2,0.04,0.6153846153846154,1.353846153846154,-2008.43041884699
2.2199999999999998,0.04,0.6153846153846154,1.366153846153846,-2004.870567273757
2.24,0.04,0.6153846153846154,1.3784615384615386,-2009.1737742972925
2.26,0.04,0.6153846153846154,1.3907692307692308,-2011.229962721118
2.2800000000000002,0.04,0.6153846153846154,1.4030769230769233,-2010.1611630064888
2.3,0.04,0.6153846153846154,1.4153846153846155,-2013.9987211155403
2.3200000000000003,0.04,0.6153846153846154,1.427692307692308,-2017.9917365578663
2.34,0.04,0.6153846153846154,1.44,-2016.7501808496281
2.3600000000000003,0.04,0.6153846153846154,1.4523076923076925,-2013.781228206039
2.38,0.04,0.6153846153846154,1.4646153846153847,-2016.8435289833624
2.4000000000000004,0.04,0.6153846153846154,1.4769230769230772,-2017.255882351707
2.42,0.04,0.6153846153846154,1.4892307692307694,-2018.9462722168876
2.44,0.04,0.6153846153846154,1.5015384615384615,-2016.2918052996547
2.46,0.04,0.6153846153846154,1.5138461538461538,-2017.4645872062306
2.48,0.04,0.6153846153846154,1.5261538461538462,-2025.4926668533199
2.5,0.04,0.6153846153846154,1.5384615384615385,-2017.9189458917285
2.52,0.04,0.6153846153846154,1.550769230769231,-2020.427909661485
2.54,0.04,0.6153846153846154,1.5630769230769233,-2026.5932625648816
2.56,0.04,0.6153846153846154,1.5753846153846156,-2021.1926744558498
2.58,0.04,0.6153846153846154,1.5876923076923077,-2025.1070048488941
2.6,0.04,0.6153846153846154,1.6,-2024.1806837616386
2.62,0.04,0.6153846153846154,1.6123076923076924,-2026.2734281000007
2.64,0.04,0.6153846153846154,1.6246153846153848,-2030.6699679294477
2.66,0.04,0.6153846153846154,1.6369230769230771,-2030.0815017590512
2.6799999999999997,0.04,0.6153846153846154,1.649230769230769,-2028.5921290509493
2.7,0.04,0.6153846153846154,1.6615384615384616,-2028.3171323671836
2.7199999999999998,0.04,0.6153846153846154,1.6738461538461538,-2024.4722898836424
2.74,0.04,0.6153846153846154,1.6861538461538463,-2031.4345006857654
2.76,0.04,0.6153846153846154,1.6984615384615385,-2031.8840467315654
2.7800000000000002,0.04,0.6153846153846154,1.710769230769231,-2030.7362791453843
2.8,0.04,0.6153846153846154,1.7230769230769232,-2035.4678111074913
2.8200000000000003,0.04,0.6153846153846154,1.7353846153846157,-2036.8785172040562
2.84,0.04,0.6153846153846154,1.7476923076923077,-2034.9801451540807
2.8600000000000003,0.04,0.6153846153846154,1.7600000000000002,-2036.4238590776572
2.88,0.04,0.6153846153846154,1.7723076923076924,-2033.1238263643
2.9000000000000004,0.04,0.6153846153846154,1.784615384615385,-2040.9206887229657
2.92,0.04,0.6153846153846154,1.796923076923077,-2038.6431099763909
2.94,0.04,0.6153846153846154,1.8092307692307692,-2037.7644692053884
2.96,0.04,0.6153846153846154,1.8215384615384616,-2038.535236325075
2.98,0.04,0.6153846153846154,1.833846153846154,-2036.9313791461168
3.0,0.04,0.6153846153846154,1.8461538461538463,-2037.1694563641522
