idx,alpha,mu,omega,rho,loglike
0,0.05,0.01,0.0,1.0,-inf
1,0.05,0.02,0.0,1.0,-inf
2,0.05,0.03,0.0,1.0,-inf
3,0.05,0.04,0.0,1.0,-inf
4,0.05,0.05,0.0,1.0,-inf
5,0.05,0.06,0.0,1.0,-inf
6,0.05,0.07,0.0,1.0,-inf
7,0.05,0.08,0.0,1.0,-inf
8,0.05,0.09,0.0,1.0,-inf
9,0.05,0.1,0.0,1.0,-inf
10,0.05,0.11,0.0,1.0,-inf
11,0.05,0.12,0.0,1.0,-inf
12,0.05,0.13,0.0,1.0,-inf
13,0.05,0.14,0.0,1.0,-inf
14,0.05,0.15,0.0,1.0,-inf
15,0.05,0.16,0.0,1.0,-inf
16,0.05,0.17,0.0,1.0,-inf
17,0.05,0.18,0.0,1.0,-inf
18,0.05,0.19,0.0,1.0,-inf
19,0.05,0.2,0.0,1.0,-inf
20,0.05,0.21,0.0,1.0,-inf
21,0.05,0.22,0.0,1.0,-7334.951171875
22,0.05,0.23,0.0,1.0,-6308.25244140625
23,0.05,0.24,0.0,1.0,-5709.10888671875
24,0.05,0.25,0.0,1.0,-5139.0
25,0.05,0.26,0.0,1.0,-3606.6455078125
26,0.05,0.27,0.0,1.0,-3275.06494140625
27,0.05,0.28,0.0,1.0,-3333.39697265625
28,0.05,0.29,0.0,1.0,-2822.25390625
29,0.05,0.3,0.0,1.0,-2128.021728515625
30,0.05,0.31,0.0,1.0,-1483.7197265625
31,0.05,0.32,0.0,1.0,-1456.609375
32,0.05,0.33,0.0,1.0,-1072.07373046875
33,0.05,0.34,0.0,1.0,-813.119384765625
34,0.05,0.35,0.0,1.0,-783.7257690429688
35,0.05,0.36,0.0,1.0,-720.13818359375
36,0.05,0.37,0.0,1.0,-689.048583984375
37,0.05,0.38,0.0,1.0,-685.4713134765625
38,0.05,0.39,0.0,1.0,-683.734130859375
39,0.05,0.4,0.0,1.0,-681.7435302734375
40,0.05,0.41,0.0,1.0,-682.564208984375
41,0.05,0.42,0.0,1.0,-681.7399291992188
42,0.05,0.43,0.0,1.0,-681.2008056640625
43,0.05,0.44,0.0,1.0,-684.4235229492188
44,0.05,0.45,0.0,1.0,-682.091796875
45,0.05,0.46,0.0,1.0,-681.2325439453125
46,0.05,0.47,0.0,1.0,-681.632568359375
47,0.05,0.48,0.0,1.0,-683.5693359375
48,0.05,0.49,0.0,1.0,-685.0072021484375
49,0.05,0.5,0.0,1.0,-684.4454956054688
50,0.05,0.51,0.0,1.0,-684.963134765625
51,0.05,0.52,0.0,1.0,-686.6786499023438
52,0.05,0.53,0.0,1.0,-689.031494140625
53,0.05,0.54,0.0,1.0,-688.7379150390625
54,0.05,0.55,0.0,1.0,-689.4908447265625
55,0.05,0.56,0.0,1.0,-692.7457885742188
56,0.05,0.57,0.0,1.0,-691.669921875
57,0.05,0.58,0.0,1.0,-692.3323974609375
58,0.05,0.59,0.0,1.0,-692.58984375
59,0.05,0.6,0.0,1.0,-694.7276611328125
60,0.05,0.61,0.0,1.0,-695.5926513671875
61,0.05,0.62,0.0,1.0,-695.6861572265625
62,0.05,0.63,0.0,1.0,-697.080078125
63,0.05,0.64,0.0,1.0,-696.775390625
64,0.05,0.65,0.0,1.0,-698.689208984375
65,0.05,0.66,0.0,1.0,-698.622802734375
66,0.05,0.67,0.0,1.0,-698.9408569335938
67,0.05,0.68,0.0,1.0,-703.87939453125
68,0.05,0.69,0.0,1.0,-700.6314086914062
69,0.05,0.7,0.0,1.0,-701.809814453125
70,0.05,0.71,0.0,1.0,-704.2381591796875
71,0.05,0.72,0.0,1.0,-708.4349365234375
72,0.05,0.73,0.0,1.0,-704.1273193359375
73,0.05,0.74,0.0,1.0,-709.622314453125
74,0.05,0.75,0.0,1.0,-708.76171875
75,0.05,0.76,0.0,1.0,-705.9591064453125
76,0.05,0.77,0.0,1.0,-707.8929443359375
77,0.05,0.78,0.0,1.0,-708.1976318359375
78,0.05,0.79,0.0,1.0,-708.62109375
79,0.05,0.8,0.0,1.0,-709.8463134765625
80,0.05,0.81,0.0,1.0,-709.3095092773438
81,0.05,0.82,0.0,1.0,-709.458740234375
82,0.05,0.83,0.0,1.0,-714.2427978515625
83,0.05,0.84,0.0,1.0,-712.227294921875
84,0.05,0.85,0.0,1.0,-715.21435546875
85,0.05,0.86,0.0,1.0,-715.6309204101562
86,0.05,0.87,0.0,1.0,-713.135009765625
87,0.05,0.88,0.0,1.0,-711.6318359375
88,0.05,0.89,0.0,1.0,-714.1387939453125
89,0.05,0.9,0.0,1.0,-714.4237670898438
90,0.05,0.91,0.0,1.0,-717.7291259765625
91,0.05,0.92,0.0,1.0,-717.4429931640625
92,0.05,0.93,0.0,1.0,-717.0667724609375
93,0.05,0.94,0.0,1.0,-717.109130859375
94,0.05,0.95,0.0,1.0,-716.53857421875
95,0.05,0.96,0.0,1.0,-716.9031982421875
96,0.05,0.97,0.0,1.0,-734.0877685546875
97,0.05,0.98,0.0,1.0,-721.311279296875
98,0.05,0.99,0.0,1.0,-719.6962890625
99,0.05,1.0,0.0,1.0,-720.95166015625
