idx,alpha,mu,omega,rho,loglike
0,0.05,0.2,0.0,0.08,-1588.270751953125
1,0.05,0.2,0.0,0.0824,-1602.390625
2,0.05,0.2,0.0,0.0848,-1606.6485595703125
3,0.05,0.2,0.0,0.0872,-1631.733154296875
4,0.05,0.2,0.0,0.0896,-1590.735107421875
5,0.05,0.2,0.0,0.092,-1615.99609375
6,0.05,0.2,0.0,0.0944,-1612.3326416015625
7,0.05,0.2,0.0,0.0968,-1598.827392578125
8,0.05,0.2,0.0,0.0992,-1607.881591796875
9,0.05,0.2,0.0,0.1016,-1595.4853515625
10,0.05,0.2,0.0,0.104,-1612.474609375
11,0.05,0.2,0.0,0.1064,-1597.3377685546875
12,0.05,0.2,0.0,0.1088,-1579.5557861328125
13,0.05,0.2,0.0,0.1112,-1588.143310546875
14,0.05,0.2,0.0,0.1136,-1608.23046875
15,0.05,0.2,0.0,0.116,-1579.711669921875
16,0.05,0.2,0.0,0.1184,-1587.359130859375
17,0.05,0.2,0.0,0.1208,-1573.7237548828125
18,0.05,0.2,0.0,0.1232,-1587.055908203125
19,0.05,0.2,0.0,0.1256,-1600.116455078125
20,0.05,0.2,0.0,0.128,-1608.6097412109375
21,0.05,0.2,0.0,0.1304,-1570.953369140625
22,0.05,0.2,0.0,0.1328,-1591.20556640625
23,0.05,0.2,0.0,0.1352,-1562.94384765625
24,0.05,0.2,0.0,0.1376,-1590.5919189453125
25,0.05,0.2,0.0,0.14,-1599.1517333984375
26,0.05,0.2,0.0,0.1424,-1578.0052490234375
27,0.05,0.2,0.0,0.1448,-1577.779052734375
28,0.05,0.2,0.0,0.1472,-1602.19677734375
29,0.05,0.2,0.0,0.1496,-1560.746337890625
30,0.05,0.2,0.0,0.152,-1574.4906005859375
31,0.05,0.2,0.0,0.1544,-1591.488037109375
32,0.05,0.2,0.0,0.1568,-1594.77490234375
33,0.05,0.2,0.0,0.1592,-1591.5777587890625
34,0.05,0.2,0.0,0.1616,-1594.569580078125
35,0.05,0.2,0.0,0.164,-1598.7138671875
36,0.05,0.2,0.0,0.1664,-1572.641357421875
37,0.05,0.2,0.0,0.1688,-1594.3985595703125
38,0.05,0.2,0.0,0.1712,-1588.4337158203125
39,0.05,0.2,0.0,0.1736,-1600.74365234375
40,0.05,0.2,0.0,0.176,-1594.31298828125
41,0.05,0.2,0.0,0.1784,-1587.825439453125
42,0.05,0.2,0.0,0.1808,-1598.317626953125
43,0.05,0.2,0.0,0.1832,-1578.63818359375
44,0.05,0.2,0.0,0.1856,-1592.633544921875
45,0.05,0.2,0.0,0.188,-1614.3984375
46,0.05,0.2,0.0,0.1904,-1582.3001708984375
47,0.05,0.2,0.0,0.1928,-1596.5999755859375
48,0.05,0.2,0.0,0.1952,-1586.212646484375
49,0.05,0.2,0.0,0.1976,-1577.68896484375
50,0.05,0.2,0.0,0.2,-1590.078125
51,0.05,0.2016,0.0,0.08,-1630.958251953125
52,0.05,0.2016,0.0,0.0824,-1632.8460693359375
53,0.05,0.2016,0.0,0.0848,-1611.2861328125
54,0.05,0.2016,0.0,0.0872,-1616.409423828125
55,0.05,0.2016,0.0,0.0896,-1618.49560546875
56,0.05,0.2016,0.0,0.092,-1611.893798828125
