mu,rho,ll
0.24,0.14,-1542.19458
0.240957,0.1389,-1542.578491
0.240957,0.1389,-1539.326416
0.240738,0.138508,-1545.630005
0.239725,0.140128,-1540.12915
0.240734,0.139095,-1539.366211
0.240734,0.139095,-1539.18042
0.240734,0.139095,-1542.862061
0.240018,0.139401,-1540.951904
0.24033,0.137189,-1539.376221
0.239986,0.13451,-1541.239624
0.239347,0.1356,-1537.879883
0.239347,0.1356,-1541.662598
0.239196,0.134482,-1540.788208
0.239196,0.134482,-1540.288574
0.238536,0.136459,-1540.078003
0.237772,0.135695,-1538.041016
0.237989,0.136219,-1541.879761
0.237989,0.136219,-1543.979248
0.23903,0.138361,-1538.016113
0.239576,0.139529,-1543.659912
0.239576,0.139529,-1538.653198
0.239322,0.138245,-1540.068237
0.237954,0.137976,-1545.962891
0.236461,0.139058,-1544.376099
0.236555,0.139535,-1537.628174
0.235575,0.139364,-1542.141602
0.234892,0.139892,-1541.541992
0.236294,0.139261,-1541.690918
0.236459,0.139659,-1540.592773
0.236459,0.139659,-1544.967407
0.236459,0.139659,-1540.170532
0.236918,0.139568,-1541.517334
0.237804,0.13685,-1537.770264
0.237034,0.137546,-1540.783691
0.237797,0.137512,-1540.96167
0.237797,0.137512,-1539.406982
0.237797,0.137512,-1541.919189
0.238404,0.138863,-1545.736572
0.238404,0.138863,-1548.198975
0.237392,0.140514,-1542.878662
0.236882,0.142574,-1538.435669
0.236929,0.14182,-1536.322998
0.235623,0.143672,-1543.825439
0.235797,0.144529,-1542.468872
0.235699,0.143912,-1537.648804
0.235442,0.143846,-1540.160767
0.235442,0.143846,-1549.222412
0.235462,0.141912,-1542.28479
0.235462,0.141912,-1542.804932
0.235422,0.140731,-1541.989014
0.235192,0.140449,-1537.109863
0.234914,0.141012,-1538.444824
0.236273,0.140245,-1537.506104
0.236273,0.140245,-1544.315918
0.235555,0.140658,-1539.754761
0.235555,0.140658,-1541.808228
0.235555,0.140658,-1542.994507
0.235555,0.140658,-1536.512695
0.234727,0.140964,-1543.632812
0.234841,0.139766,-1538.470215
0.23667,0.139996,-1543.837036
0.237097,0.141016,-1543.866455
0.237097,0.141016,-1537.116455
0.236257,0.140789,-1544.713013
0.236257,0.140789,-1538.606201
0.236257,0.140789,-1538.619629
0.237079,0.141956,-1539.647705
0.237079,0.141956,-1539.454346
0.235469,0.140294,-1539.621216
0.235664,0.143314,-1541.296143
0.235557,0.14397,-1540.8396
0.236937,0.145421,-1538.625
0.236378,0.146447,-1541.006592
0.236494,0.145585,-1544.326782
0.236469,0.14628,-1537.227051
0.236469,0.14628,-1545.101929
0.236732,0.148606,-1539.973511
0.236732,0.148606,-1540.052002
0.236724,0.147629,-1537.873047
0.235596,0.147926,-1544.114258
0.235596,0.147926,-1538.657471
0.236238,0.146524,-1545.089844
0.235494,0.145902,-1544.72229
0.235823,0.147093,-1542.887451
0.235823,0.147093,-1540.627197
0.23456,0.146747,-1542.099243
0.23456,0.146747,-1538.140625
0.23518,0.145725,-1546.736572
0.23518,0.145725,-1538.042114
0.235133,0.146035,-1544.816528
0.234555,0.145813,-1536.680786
0.234555,0.145813,-1541.327148
0.234555,0.145813,-1545.274902
0.234555,0.145813,-1543.550781
0.234555,0.145813,-1539.46167
0.234555,0.145813,-1548.650879
0.234555,0.145813,-1536.756592
0.234252,0.144143,-1542.573853
0.234622,0.142513,-1543.033813
0.234622,0.142513,-1539.882324
0.235167,0.140942,-1543.096191
0.235371,0.141257,-1537.013184
0.235371,0.141257,-1544.911499
0.234509,0.141507,-1540.382446
0.234561,0.142172,-1541.337402
0.233992,0.141858,-1543.605835
0.234361,0.140967,-1538.287598
0.234045,0.14059,-1537.768311
0.234045,0.14059,-1534.792725
0.234045,0.14059,-1536.76355
0.234338,0.14106,-1539.068848
0.234338,0.14106,-1544.871094
0.234185,0.142184,-1543.574951
0.232265,0.142939,-1543.843262
0.232265,0.142939,-1541.736084
0.23303,0.141829,-1539.469604
0.23303,0.141829,-1540.22522
0.233148,0.1413,-1546.216309
0.23304,0.142118,-1549.062378
0.23304,0.142118,-1539.852661
0.232588,0.142289,-1537.843628
0.232588,0.142289,-1534.713745
0.232588,0.142289,-1544.741943
0.232564,0.143412,-1544.195801
0.232564,0.143412,-1538.781982
0.232393,0.145044,-1543.403442
0.232393,0.145044,-1543.51001
0.232521,0.145858,-1543.767334
0.232886,0.143934,-1550.41333
0.233541,0.14426,-1534.612549
0.233355,0.1448,-1539.34668
0.233355,0.1448,-1539.513672
0.233355,0.1448,-1537.71521
0.233355,0.1448,-1541.757324
0.232626,0.143852,-1540.558838
0.232013,0.14451,-1535.960449
0.23453,0.14408,-1547.561768
0.23461,0.144097,-1542.177246
0.235267,0.141466,-1545.665161
0.234799,0.14186,-1548.328125
0.234936,0.143804,-1540.764038
0.234936,0.143804,-1548.318604
0.234146,0.143482,-1541.335083
0.234875,0.143924,-1539.617188
0.234875,0.143924,-1552.03064
0.234875,0.143924,-1539.012451
0.234875,0.143924,-1545.923584
0.234875,0.143924,-1537.625244
0.23458,0.143814,-1542.317017
0.23458,0.143814,-1542.897095
0.232707,0.144361,-1536.875488
0.232554,0.142928,-1548.973145
0.232554,0.142928,-1543.677124
0.232554,0.142928,-1547.503662
0.231078,0.143404,-1547.70752
0.231078,0.143404,-1547.235474
0.231078,0.143404,-1547.986816
0.230616,0.145251,-1545.705078
0.230086,0.144648,-1548.266113
0.230086,0.144648,-1536.705811
0.230086,0.144648,-1544.92749
0.230702,0.144801,-1543.46167
0.230702,0.144801,-1540.312744
0.230064,0.145724,-1546.461426
0.23153,0.143444,-1549.869141
0.23153,0.143444,-1548.35144
0.232182,0.147408,-1539.5802
0.231901,0.150508,-1542.370483
0.232303,0.151504,-1553.779541
0.232303,0.151504,-1543.515747
0.232631,0.150464,-1542.256958
0.232631,0.150464,-1551.05542
0.232631,0.150464,-1536.515137
0.233153,0.149888,-1546.017822
0.233153,0.149888,-1540.016846
0.233563,0.151021,-1541.760498
0.232701,0.151866,-1540.171021
0.232951,0.152742,-1538.67334
0.232951,0.152742,-1552.251953
0.232951,0.152742,-1542.219238
0.23339,0.154251,-1538.877686
0.233365,0.15312,-1549.392822
0.233909,0.153422,-1538.634033
0.233909,0.153422,-1540.857178
0.233909,0.153422,-1541.825195
0.233909,0.153422,-1537.586426
0.233909,0.153422,-1542.294189
0.234485,0.151891,-1546.814453
0.234485,0.151891,-1546.987549
0.234485,0.151891,-1540.911621
0.234121,0.15395,-1537.816406
0.2336,0.156194,-1541.414307
0.233734,0.156595,-1543.833862
0.233734,0.156595,-1544.1521
0.233734,0.156595,-1545.28125
0.235105,0.157251,-1544.085327
0.235105,0.157251,-1545.206665
0.234433,0.155465,-1540.412109
0.233929,0.156015,-1542.807617
0.233479,0.156185,-1548.564087
0.233479,0.156185,-1541.08606
0.234379,0.154577,-1551.974976
0.234379,0.154577,-1541.209961
0.234379,0.154577,-1550.312012
0.233337,0.156504,-1553.310791
0.232577,0.156804,-1542.594971
0.232639,0.157794,-1542.681641
0.232825,0.158587,-1538.442139
0.232414,0.160188,-1547.867188
0.231725,0.161568,-1540.915649
0.231311,0.161743,-1546.321289
0.233365,0.163271,-1549.619995
0.233365,0.163271,-1548.750122
0.233365,0.163271,-1541.22168
0.233365,0.163271,-1548.191406
0.233216,0.162968,-1549.160645
0.233216,0.162968,-1542.985596
0.233216,0.162968,-1549.253296
0.233216,0.162968,-1544.574707
0.233686,0.161918,-1546.393555
0.233686,0.161918,-1542.277344
0.233686,0.161918,-1544.202271
0.233591,0.161921,-1552.848877
0.234053,0.160662,-1548.338867
0.233001,0.161581,-1541.274658
0.233001,0.161581,-1546.086426
0.233297,0.161483,-1549.183105
0.233572,0.162051,-1540.927734
0.233054,0.162185,-1549.766113
0.233772,0.16305,-1545.484497
0.234431,0.163287,-1549.077515
0.234431,0.163287,-1547.20166
0.234266,0.162114,-1547.100586
0.234561,0.159979,-1538.836182
0.234855,0.160925,-1542.427734
0.234913,0.162481,-1549.168701
0.234913,0.162481,-1540.996582
0.234392,0.162012,-1540.991455
0.233996,0.162253,-1541.223389
0.233996,0.162253,-1548.058838
0.233996,0.162253,-1546.776855
0.234297,0.162043,-1544.60498
0.234297,0.162043,-1551.333374
0.234278,0.162807,-1542.917969
0.234669,0.161632,-1552.386719
0.234669,0.161632,-1544.286377
0.234669,0.161632,-1550.417969
0.234899,0.163731,-1550.425049
0.234899,0.163731,-1546.086426
0.234899,0.163731,-1546.426758
0.233786,0.162439,-1540.950928
0.233531,0.162812,-1542.029541
0.233531,0.162812,-1542.811523
0.233241,0.164157,-1549.064209
0.23353,0.163939,-1560.626465
0.23353,0.163939,-1539.740845
0.23491,0.164764,-1544.692139
