idx,alpha,mu,omega,rho,loglike
0,0.05,0.38,0.0,0.06,-2172.75634765625
1,0.05,0.38,0.0,0.0632,-2126.4248046875
2,0.05,0.38,0.0,0.0664,-2126.19580078125
3,0.05,0.38,0.0,0.0696,-2129.63525390625
4,0.05,0.38,0.0,0.0728,-2083.376953125
5,0.05,0.38,0.0,0.076,-2120.516357421875
6,0.05,0.38,0.0,0.0792,-2131.53125
7,0.05,0.38,0.0,0.0824,-2144.825927734375
8,0.05,0.38,0.0,0.0856,-2131.193359375
9,0.05,0.38,0.0,0.0888,-2139.851806640625
10,0.05,0.38,0.0,0.092,-2124.99365234375
11,0.05,0.38,0.0,0.0952,-2133.68701171875
12,0.05,0.38,0.0,0.0984,-2116.94482421875
13,0.05,0.38,0.0,0.1016,-2082.31494140625
14,0.05,0.38,0.0,0.1048,-2109.750244140625
15,0.05,0.38,0.0,0.108,-2075.986572265625
16,0.05,0.38,0.0,0.1112,-2105.64013671875
17,0.05,0.38,0.0,0.1144,-2127.64306640625
18,0.05,0.38,0.0,0.1176,-2100.92529296875
19,0.05,0.38,0.0,0.1208,-2097.51416015625
20,0.05,0.38,0.0,0.124,-2128.65087890625
21,0.05,0.38,0.0,0.1272,-2072.6494140625
22,0.05,0.38,0.0,0.1304,-2147.083251953125
23,0.05,0.38,0.0,0.1336,-2131.5146484375
24,0.05,0.38,0.0,0.1368,-2102.55224609375
25,0.05,0.38,0.0,0.14,-2108.424560546875
26,0.05,0.38,0.0,0.1432,-2140.80419921875
27,0.05,0.38,0.0,0.1464,-2059.61669921875
28,0.05,0.38,0.0,0.1496,-2115.60302734375
29,0.05,0.38,0.0,0.1528,-2133.31982421875
30,0.05,0.38,0.0,0.156,-2132.15771484375
31,0.05,0.38,0.0,0.1592,-2075.007568359375
32,0.05,0.38,0.0,0.1624,-2095.1142578125
33,0.05,0.38,0.0,0.1656,-2123.80126953125
34,0.05,0.38,0.0,0.1688,-2133.0986328125
35,0.05,0.38,0.0,0.172,-2122.013916015625
36,0.05,0.38,0.0,0.1752,-2099.982421875
37,0.05,0.38,0.0,0.1784,-2133.52294921875
38,0.05,0.38,0.0,0.1816,-2122.95458984375
39,0.05,0.38,0.0,0.1848,-2138.08154296875
40,0.05,0.38,0.0,0.188,-2127.369873046875
41,0.05,0.38,0.0,0.1912,-2126.122314453125
42,0.05,0.38,0.0,0.1944,-2084.189453125
43,0.05,0.38,0.0,0.1976,-2105.59326171875
44,0.05,0.38,0.0,0.2008,-2161.3046875
45,0.05,0.38,0.0,0.204,-2130.55615234375
46,0.05,0.38,0.0,0.2072,-2125.49609375
47,0.05,0.38,0.0,0.2104,-2116.912109375
48,0.05,0.38,0.0,0.2136,-2094.9833984375
49,0.05,0.38,0.0,0.2168,-2117.494140625
50,0.05,0.38,0.0,0.22,-2134.43359375
51,0.05,0.3824,0.0,0.06,-2088.31640625
52,0.05,0.3824,0.0,0.0632,-2113.04296875
53,0.05,0.3824,0.0,0.0664,-2132.96923828125
54,0.05,0.3824,0.0,0.0696,-2102.83056640625
55,0.05,0.3824,0.0,0.0728,-2092.575439453125
56,0.05,0.3824,0.0,0.076,-2130.15185546875
57,0.05,0.3824,0.0,0.0792,-2112.45361328125
58,0.05,0.3824,0.0,0.0824,-2091.68359375
59,0.05,0.3824,0.0,0.0856,-2138.78125
60,0.05,0.3824,0.0,0.0888,-2121.81396484375
61,0.05,0.3824,0.0,0.092,-2087.70166015625
