mu,rho,ll
0.440233,0.140223,-2037.289917
0.440233,0.140223,-2037.938843
0.440499,0.14034,-2038.176514
0.438609,0.13963,-2037.767578
0.439874,0.138467,-2038.522095
0.44107,0.139341,-2037.898804
0.440638,0.138434,-2038.279785
0.440638,0.138434,-2038.595703
0.441246,0.137918,-2037.847656
0.440022,0.138836,-2037.869019
0.440022,0.138836,-2037.743286
0.440022,0.138836,-2037.806152
0.440022,0.138836,-2038.254272
0.438618,0.138514,-2038.501221
0.439997,0.139407,-2038.317505
0.440739,0.139161,-2038.911621
0.440739,0.139161,-2037.743896
0.440739,0.139161,-2037.557373
0.440739,0.139161,-2036.976929
0.440865,0.137935,-2039.039917
0.442021,0.137767,-2038.707886
0.442871,0.138237,-2038.231934
0.44446,0.135813,-2037.209595
0.44446,0.135813,-2038.351196
0.443731,0.134961,-2038.102539
0.441492,0.13274,-2037.410522
0.44148,0.131942,-2037.453979
0.442511,0.134429,-2037.015137
0.443721,0.136819,-2037.710693
0.443141,0.137554,-2038.764038
0.443253,0.135736,-2037.264404
0.443641,0.134991,-2038.60376
0.444388,0.13524,-2037.552002
0.444388,0.13524,-2036.480103
0.444215,0.135819,-2036.854736
0.443748,0.136986,-2037.111572
0.443748,0.136986,-2037.276123
0.442826,0.136817,-2038.005249
0.441692,0.135485,-2037.7229
0.441692,0.135485,-2037.174194
0.441692,0.135485,-2037.590576
0.440734,0.134534,-2038.0448
0.441327,0.134301,-2038.244019
0.441327,0.134301,-2037.46167
0.442739,0.134304,-2036.943115
0.445755,0.132924,-2037.382935
0.446855,0.134976,-2037.07666
0.447668,0.136963,-2038.483398
0.447668,0.136963,-2037.796143
0.445032,0.137262,-2038.307739
0.443668,0.136477,-2037.679199
0.443399,0.137737,-2038.201416
0.445611,0.13917,-2037.246216
0.445935,0.139786,-2037.178467
0.445789,0.142892,-2037.414673
0.44428,0.143489,-2038.373047
0.443008,0.143466,-2039.40625
0.443576,0.146007,-2038.404419
0.442796,0.146003,-2038.282959
0.441476,0.144235,-2039.070068
0.441476,0.144235,-2038.547119
0.43987,0.143015,-2038.861328
0.43987,0.143015,-2037.997314
0.438405,0.143999,-2038.223877
0.438405,0.143999,-2038.234985
0.438386,0.14343,-2038.940308
0.438651,0.143132,-2037.875977
0.436425,0.141478,-2038.915283
