idx,alpha,mu,omega,rho,loglike
0,0.05,0.01,0.0,1.0,-inf
1,0.05,0.02,0.0,1.0,-inf
2,0.05,0.03,0.0,1.0,-inf
3,0.05,0.04,0.0,1.0,-inf
4,0.05,0.05,0.0,1.0,-inf
5,0.05,0.06,0.0,1.0,-inf
6,0.05,0.07,0.0,1.0,-inf
7,0.05,0.08,0.0,1.0,-inf
8,0.05,0.09,0.0,1.0,-inf
9,0.05,0.1,0.0,1.0,-inf
10,0.05,0.11,0.0,1.0,-inf
11,0.05,0.12,0.0,1.0,-inf
12,0.05,0.13,0.0,1.0,-6871.87109375
13,0.05,0.14,0.0,1.0,-5571.560546875
14,0.05,0.15,0.0,1.0,-5547.60498046875
15,0.05,0.16,0.0,1.0,-5053.5888671875
16,0.05,0.17,0.0,1.0,-4826.78125
17,0.05,0.18,0.0,1.0,-4426.60009765625
18,0.05,0.19,0.0,1.0,-3986.758056640625
19,0.05,0.2,0.0,1.0,-3743.135009765625
20,0.05,0.21,0.0,1.0,-3854.3896484375
21,0.05,0.22,0.0,1.0,-3497.68505859375
22,0.05,0.23,0.0,1.0,-3371.79150390625
23,0.05,0.24,0.0,1.0,-3164.000732421875
24,0.05,0.25,0.0,1.0,-3095.253662109375
25,0.05,0.26,0.0,1.0,-2816.75537109375
26,0.05,0.27,0.0,1.0,-2861.931640625
27,0.05,0.28,0.0,1.0,-2789.80712890625
28,0.05,0.29,0.0,1.0,-2705.13232421875
29,0.05,0.3,0.0,1.0,-2660.564208984375
30,0.05,0.31,0.0,1.0,-2663.910400390625
31,0.05,0.32,0.0,1.0,-2649.17578125
32,0.05,0.33,0.0,1.0,-2640.288330078125
33,0.05,0.34,0.0,1.0,-2648.364990234375
34,0.05,0.35,0.0,1.0,-2640.70703125
35,0.05,0.36,0.0,1.0,-2639.718017578125
36,0.05,0.37,0.0,1.0,-2636.85009765625
37,0.05,0.38,0.0,1.0,-2647.2294921875
38,0.05,0.39,0.0,1.0,-2649.01806640625
39,0.05,0.4,0.0,1.0,-2648.952880859375
40,0.05,0.41,0.0,1.0,-2653.697265625
41,0.05,0.42,0.0,1.0,-2662.132568359375
42,0.05,0.43,0.0,1.0,-2669.010009765625
43,0.05,0.44,0.0,1.0,-2663.624267578125
44,0.05,0.45,0.0,1.0,-2672.0126953125
45,0.05,0.46,0.0,1.0,-2677.343017578125
46,0.05,0.47,0.0,1.0,-2688.168212890625
47,0.05,0.48,0.0,1.0,-2690.24951171875
48,0.05,0.49,0.0,1.0,-2687.025146484375
49,0.05,0.5,0.0,1.0,-2703.622802734375
