idx,alpha,mu,omega,rho,loglike
0,0.05,0.38,0.0,1.0,-2643.589599609375
1,0.05,0.3808,0.0,1.0,-2644.56884765625
2,0.05,0.3816,0.0,1.0,-2646.1865234375
3,0.05,0.3824,0.0,1.0,-2644.21337890625
4,0.05,0.3832,0.0,1.0,-2639.74365234375
5,0.05,0.384,0.0,1.0,-2646.255126953125
6,0.05,0.3848,0.0,1.0,-2651.44775390625
7,0.05,0.3856,0.0,1.0,-2652.504638671875
8,0.05,0.3864,0.0,1.0,-2653.222900390625
9,0.05,0.3872,0.0,1.0,-2648.040771484375
10,0.05,0.388,0.0,1.0,-2648.76953125
11,0.05,0.3888,0.0,1.0,-2642.51171875
12,0.05,0.3896,0.0,1.0,-2645.215087890625
13,0.05,0.3904,0.0,1.0,-2644.759765625
14,0.05,0.3912,0.0,1.0,-2640.404296875
15,0.05,0.392,0.0,1.0,-2654.768310546875
16,0.05,0.3928,0.0,1.0,-2655.726318359375
17,0.05,0.3936,0.0,1.0,-2650.706298828125
18,0.05,0.3944,0.0,1.0,-2647.169921875
19,0.05,0.3952,0.0,1.0,-2656.85302734375
20,0.05,0.396,0.0,1.0,-2652.28857421875
21,0.05,0.3968,0.0,1.0,-2655.2578125
22,0.05,0.3976,0.0,1.0,-2653.034912109375
23,0.05,0.3984,0.0,1.0,-2655.39794921875
24,0.05,0.3992,0.0,1.0,-2648.255859375
25,0.05,0.4,0.0,1.0,-2652.970703125
26,0.05,0.4008,0.0,1.0,-2650.087890625
27,0.05,0.4016,0.0,1.0,-2644.6650390625
28,0.05,0.4024,0.0,1.0,-2647.88427734375
29,0.05,0.4032,0.0,1.0,-2662.0068359375
30,0.05,0.404,0.0,1.0,-2659.75537109375
31,0.05,0.4048,0.0,1.0,-2654.75927734375
32,0.05,0.4056,0.0,1.0,-2648.45947265625
33,0.05,0.4064,0.0,1.0,-2650.53076171875
34,0.05,0.4072,0.0,1.0,-2655.891845703125
35,0.05,0.408,0.0,1.0,-2652.89794921875
36,0.05,0.4088,0.0,1.0,-2651.8701171875
37,0.05,0.4096,0.0,1.0,-2656.842041015625
38,0.05,0.4104,0.0,1.0,-2654.66552734375
39,0.05,0.4112,0.0,1.0,-2655.48486328125
40,0.05,0.412,0.0,1.0,-2658.852783203125
41,0.05,0.4128,0.0,1.0,-2663.7177734375
42,0.05,0.4136,0.0,1.0,-2655.8935546875
43,0.05,0.4144,0.0,1.0,-2654.369140625
44,0.05,0.4152,0.0,1.0,-2662.284423828125
45,0.05,0.416,0.0,1.0,-2659.99755859375
46,0.05,0.4168,0.0,1.0,-2663.8369140625
47,0.05,0.4176,0.0,1.0,-2657.90478515625
48,0.05,0.4184,0.0,1.0,-2660.48974609375
49,0.05,0.4192,0.0,1.0,-2659.7412109375
50,0.05,0.42,0.0,1.0,-2664.2373046875
