mu,rho,ll
0.400078,1.0,-2645.526855
0.400078,1.0,-2642.75293
0.4001,1.0,-2654.053223
0.399692,1.0,-2650.989258
0.399692,1.0,-2650.672363
0.399692,1.0,-2645.769043
0.3998,1.0,-2647.312012
0.39957,1.0,-2648.84668
0.399033,1.0,-2651.141113
0.399015,1.0,-2650.904297
0.398466,1.0,-2649.269043
0.398215,1.0,-2651.70166
0.39827,1.0,-2649.549561
0.39827,1.0,-2647.162354
0.39827,1.0,-2647.836914
0.39827,1.0,-2649.582764
0.398269,1.0,-2650.125977
0.398269,1.0,-2648.325684
0.398269,1.0,-2657.469727
0.398184,1.0,-2649.401123
0.398385,1.0,-2649.803711
0.398819,1.0,-2646.497559
0.398819,1.0,-2652.499023
0.398819,1.0,-2649.981689
0.398819,1.0,-2641.621582
0.398982,1.0,-2644.175781
0.398982,1.0,-2650.224121
0.398488,1.0,-2653.265625
0.398488,1.0,-2643.628418
0.398522,1.0,-2645.708496
0.398522,1.0,-2651.479004
0.398522,1.0,-2646.104248
0.398457,1.0,-2652.663086
0.398457,1.0,-2649.097412
0.398457,1.0,-2645.42334
0.398685,1.0,-2648.109375
0.398586,1.0,-2652.03125
0.398511,1.0,-2646.344727
0.398511,1.0,-2649.490723
0.398718,1.0,-2646.427734
0.398718,1.0,-2647.887939
0.398718,1.0,-2647.805664
0.398718,1.0,-2648.895996
0.398718,1.0,-2647.984863
0.398718,1.0,-2641.72998
0.399551,1.0,-2646.102783
0.399823,1.0,-2648.55957
0.399823,1.0,-2650.021973
0.399885,1.0,-2650.132812
0.40061,1.0,-2646.96582
0.399918,1.0,-2652.505615
0.399918,1.0,-2645.64502
0.399918,1.0,-2645.405762
0.40009,1.0,-2650.702148
0.400279,1.0,-2646.712402
0.400326,1.0,-2650.664062
0.400326,1.0,-2654.803223
0.400326,1.0,-2651.397949
0.400326,1.0,-2647.301758
0.39984,1.0,-2653.668945
0.400127,1.0,-2653.650879
0.400527,1.0,-2651.304688
0.400527,1.0,-2650.552002
0.400667,1.0,-2653.164551
0.400627,1.0,-2645.877686
0.400711,1.0,-2651.920166
0.400917,1.0,-2653.093262
0.400917,1.0,-2648.595947
0.401019,1.0,-2649.001221
0.401019,1.0,-2645.056152
0.401293,1.0,-2650.449951
0.401293,1.0,-2650.304443
0.401106,1.0,-2647.687988
0.401106,1.0,-2650.064941
0.400962,1.0,-2650.26123
0.400973,1.0,-2657.410889
0.401252,1.0,-2647.598145
0.401252,1.0,-2655.55957
0.402166,1.0,-2649.746582
0.402166,1.0,-2648.251221
0.402049,1.0,-2649.474121
0.403027,1.0,-2648.531982
0.403095,1.0,-2657.03125
0.403095,1.0,-2649.749512
0.403095,1.0,-2651.463379
0.403431,1.0,-2648.387207
0.403975,1.0,-2652.71582
0.403884,1.0,-2653.862793
0.403297,1.0,-2655.031006
0.404297,1.0,-2650.498535
0.404297,1.0,-2652.234619
0.404109,1.0,-2653.114014
0.403852,1.0,-2654.974121
0.403009,1.0,-2654.294434
0.403009,1.0,-2645.82373
0.403429,1.0,-2653.30957
0.403429,1.0,-2646.372803
0.403178,1.0,-2648.321289
0.403178,1.0,-2657.080078
0.403178,1.0,-2651.017334
0.403602,1.0,-2654.291504
0.403602,1.0,-2650.229248
0.403892,1.0,-2655.756348
0.404293,1.0,-2654.504639
0.404136,1.0,-2655.972656
0.403608,1.0,-2652.32373
0.403397,1.0,-2650.957764
0.403397,1.0,-2647.653809
0.4024,1.0,-2649.969238
