idx,alpha,mu,omega,rho,loglike
0,0.05,0.3,0.0,0.08,-1979.1417236328125
1,0.05,0.3,0.0,0.0824,-1968.490234375
2,0.05,0.3,0.0,0.0848,-1980.876953125
3,0.05,0.3,0.0,0.0872,-1988.89111328125
4,0.05,0.3,0.0,0.0896,-1984.9324951171875
5,0.05,0.3,0.0,0.092,-1979.41748046875
6,0.05,0.3,0.0,0.0944,-1992.362060546875
7,0.05,0.3,0.0,0.0968,-2001.2733154296875
8,0.05,0.3,0.0,0.0992,-1997.0205078125
9,0.05,0.3,0.0,0.1016,-1977.8631591796875
10,0.05,0.3,0.0,0.104,-1977.41845703125
11,0.05,0.3,0.0,0.1064,-1974.131103515625
12,0.05,0.3,0.0,0.1088,-1977.0418701171875
13,0.05,0.3,0.0,0.1112,-1951.635498046875
14,0.05,0.3,0.0,0.1136,-1949.9091796875
15,0.05,0.3,0.0,0.116,-1960.502685546875
16,0.05,0.3,0.0,0.1184,-1973.144287109375
17,0.05,0.3,0.0,0.1208,-1969.520263671875
18,0.05,0.3,0.0,0.1232,-1977.450927734375
19,0.05,0.3,0.0,0.1256,-1970.023681640625
20,0.05,0.3,0.0,0.128,-1988.6324462890625
21,0.05,0.3,0.0,0.1304,-1950.4635009765625
22,0.05,0.3,0.0,0.1328,-1968.152587890625
23,0.05,0.3,0.0,0.1352,-1955.9853515625
24,0.05,0.3,0.0,0.1376,-1980.742919921875
25,0.05,0.3,0.0,0.14,-1982.8092041015625
26,0.05,0.3,0.0,0.1424,-1982.604248046875
27,0.05,0.3,0.0,0.1448,-1987.973876953125
28,0.05,0.3,0.0,0.1472,-1972.99169921875
29,0.05,0.3,0.0,0.1496,-1970.43994140625
30,0.05,0.3,0.0,0.152,-1964.763916015625
31,0.05,0.3,0.0,0.1544,-1970.0989990234375
32,0.05,0.3,0.0,0.1568,-1985.5126953125
33,0.05,0.3,0.0,0.1592,-1975.67529296875
34,0.05,0.3,0.0,0.1616,-1971.3060302734375
35,0.05,0.3,0.0,0.164,-1971.28076171875
36,0.05,0.3,0.0,0.1664,-1980.3074951171875
37,0.05,0.3,0.0,0.1688,-1961.547119140625
38,0.05,0.3,0.0,0.1712,-1977.203857421875
39,0.05,0.3,0.0,0.1736,-1972.2205810546875
40,0.05,0.3,0.0,0.176,-1980.337158203125
41,0.05,0.3,0.0,0.1784,-1970.063232421875
42,0.05,0.3,0.0,0.1808,-1974.19580078125
43,0.05,0.3,0.0,0.1832,-2005.124755859375
44,0.05,0.3,0.0,0.1856,-1979.9534912109375
45,0.05,0.3,0.0,0.188,-1968.047119140625
46,0.05,0.3,0.0,0.1904,-1989.0240478515625
47,0.05,0.3,0.0,0.1928,-1978.833251953125
48,0.05,0.3,0.0,0.1952,-1960.69287109375
49,0.05,0.3,0.0,0.1976,-1983.055419921875
50,0.05,0.3,0.0,0.2,-1975.72705078125
51,0.05,0.302,0.0,0.08,-1967.990478515625
52,0.05,0.302,0.0,0.0824,-1971.5260009765625
53,0.05,0.302,0.0,0.0848,-1987.32373046875
54,0.05,0.302,0.0,0.0872,-1966.8631591796875
55,0.05,0.302,0.0,0.0896,-1970.085205078125
56,0.05,0.302,0.0,0.092,-1996.3017578125
57,0.05,0.302,0.0,0.0944,-1989.6829833984375
