mu,rho,ll
0.35,0.14,-1902.831299
0.350459,0.138204,-1901.67749
0.349248,0.141124,-1903.936401
0.346544,0.141942,-1904.197876
0.346161,0.14024,-1900.641724
0.345735,0.140373,-1901.342529
0.346838,0.141887,-1898.950439
0.347321,0.14519,-1902.671631
0.347321,0.14519,-1902.00293
0.347321,0.14519,-1902.280273
0.347321,0.14519,-1901.458374
0.347321,0.14519,-1903.2052
0.349889,0.145173,-1902.045654
0.349889,0.145173,-1903.03772
0.345655,0.145457,-1903.72998
0.348404,0.144192,-1900.994019
0.342254,0.148615,-1902.447998
0.342254,0.148615,-1900.133789
0.342254,0.148615,-1903.637451
0.342254,0.148615,-1903.647339
0.349508,0.142736,-1902.782959
0.349989,0.140036,-1902.678955
0.349989,0.140036,-1902.628906
0.352032,0.139411,-1903.755005
0.354423,0.143314,-1904.673706
0.353457,0.138516,-1903.445679
0.353681,0.138972,-1903.113281
0.353681,0.138972,-1904.381592
0.351928,0.138009,-1904.767456
0.353723,0.141593,-1904.256104
0.354204,0.141591,-1904.210815
0.356674,0.14268,-1905.046631
0.356674,0.14268,-1904.557861
0.356674,0.14268,-1905.20166
0.352741,0.14667,-1905.485352
0.355502,0.140304,-1903.623291
0.355502,0.140304,-1904.074463
0.357947,0.137659,-1904.847534
0.356468,0.135339,-1904.831299
0.356468,0.135339,-1903.92334
0.356468,0.135339,-1903.887939
0.356453,0.134855,-1904.011108
0.355047,0.132843,-1904.834595
0.355047,0.132843,-1904.387085
0.355047,0.132843,-1902.844238
0.355005,0.126449,-1905.264893
0.351194,0.128264,-1904.157227
0.351194,0.128264,-1902.154419
0.349544,0.126656,-1902.939331
0.350903,0.126252,-1902.138428
0.351334,0.127252,-1903.476196
0.348807,0.123578,-1903.030273
0.346369,0.124171,-1900.959473
0.344916,0.127044,-1902.131348
0.344916,0.127044,-1900.247314
0.345793,0.125777,-1902.022461
0.345793,0.125777,-1901.440308
0.345793,0.125777,-1903.359131
0.345793,0.125777,-1901.477539
0.345793,0.125777,-1901.585205
0.345793,0.125777,-1901.108276
0.34652,0.130581,-1901.095215
0.34652,0.130581,-1900.543579
0.346603,0.127252,-1899.772095
0.343513,0.133338,-1904.665039
0.343512,0.131884,-1898.850098
0.34543,0.132065,-1901.391724
0.34543,0.132065,-1900.732178
0.343503,0.129109,-1901.81311
0.345421,0.130061,-1900.562012
0.347399,0.128222,-1901.233154
0.349462,0.126169,-1902.658447
0.352759,0.128584,-1902.630371
0.350339,0.129914,-1905.531982
0.349713,0.127893,-1907.013428
0.350857,0.124701,-1904.167725
0.353961,0.123669,-1904.719849
0.357184,0.124176,-1903.995728
0.357184,0.124176,-1904.641113
0.357184,0.124176,-1904.692993
0.355738,0.12377,-1905.019043
0.354763,0.126404,-1904.012939
0.353847,0.127077,-1902.725708
0.35121,0.124815,-1902.138184
0.350821,0.118286,-1902.845703
0.348919,0.121962,-1901.210449
0.347631,0.123114,-1902.98645
0.345284,0.124804,-1902.830444
0.342695,0.124862,-1905.2146
0.344831,0.125346,-1901.234863
0.344831,0.125346,-1899.916992
0.344831,0.125346,-1899.574463
0.344831,0.125346,-1905.085693
0.345323,0.124314,-1903.686157
0.344105,0.126705,-1900.634277
0.344105,0.126705,-1899.558594
0.343957,0.128027,-1901.875732
0.344555,0.125543,-1901.010254
0.344555,0.125543,-1900.217651
0.346927,0.124496,-1899.998413
0.346927,0.124496,-1905.271973
0.346927,0.124496,-1900.872559
0.344429,0.123169,-1905.93689
0.343917,0.126454,-1900.864258
0.34015,0.130013,-1900.967529
0.346384,0.130078,-1902.181885
0.343682,0.123316,-1902.378662
0.340189,0.118706,-1904.33313
0.336594,0.118842,-1907.248535
0.336594,0.118842,-1908.159912
0.344841,0.120115,-1905.425415
0.344595,0.123764,-1901.028931
0.346015,0.12324,-1904.344604
0.346015,0.12324,-1902.226929
0.349278,0.124516,-1904.205811
0.347144,0.123923,-1903.451416
0.347144,0.123923,-1901.42627
0.347144,0.123923,-1900.902588
0.347144,0.123923,-1903.431396
0.351299,0.12359,-1904.280273
0.351898,0.123055,-1903.529663
0.351898,0.123055,-1901.361084
0.351898,0.123055,-1902.924561
0.351109,0.121861,-1902.719238
0.351109,0.121861,-1902.292114
0.351109,0.121861,-1901.756592
0.351894,0.121331,-1903.482178
0.351894,0.121331,-1903.335571
0.353275,0.130484,-1903.212158
0.353275,0.130484,-1904.049805
0.348933,0.130542,-1900.01062
