idx,alpha,mu,omega,rho,loglike
0,0.05,0.22,0.0,0.02,-1492.921875
1,0.05,0.22,0.0,0.0224,-1491.4224853515625
2,0.05,0.22,0.0,0.0248,-1461.987548828125
3,0.05,0.22,0.0,0.0272,-1487.4864501953125
4,0.05,0.22,0.0,0.0296,-1452.4515380859375
5,0.05,0.22,0.0,0.032,-1489.30615234375
6,0.05,0.22,0.0,0.0344,-1440.603271484375
7,0.05,0.22,0.0,0.0368,-1467.3251953125
8,0.05,0.22,0.0,0.0392,-1453.484130859375
9,0.05,0.22,0.0,0.0416,-1454.24560546875
10,0.05,0.22,0.0,0.044,-1432.5111083984375
11,0.05,0.22,0.0,0.0464,-1451.5987548828125
12,0.05,0.22,0.0,0.0488,-1436.6455078125
13,0.05,0.22,0.0,0.0512,-1426.62158203125
14,0.05,0.22,0.0,0.0536,-1452.81103515625
15,0.05,0.22,0.0,0.056,-1469.8922119140625
16,0.05,0.22,0.0,0.0584,-1453.620849609375
17,0.05,0.22,0.0,0.0608,-1429.574951171875
18,0.05,0.22,0.0,0.0632,-1433.03759765625
19,0.05,0.22,0.0,0.0656,-1443.12353515625
20,0.05,0.22,0.0,0.068,-1429.995849609375
21,0.05,0.22,0.0,0.0704,-1425.9305419921875
22,0.05,0.22,0.0,0.0728,-1444.30810546875
23,0.05,0.22,0.0,0.0752,-1457.22998046875
24,0.05,0.22,0.0,0.0776,-1422.8533935546875
25,0.05,0.22,0.0,0.08,-1430.27490234375
26,0.05,0.22,0.0,0.0824,-1457.4095458984375
27,0.05,0.22,0.0,0.0848,-1439.7999267578125
28,0.05,0.22,0.0,0.0872,-1447.03857421875
29,0.05,0.22,0.0,0.0896,-1449.9600830078125
30,0.05,0.22,0.0,0.092,-1446.13916015625
31,0.05,0.22,0.0,0.0944,-1444.943115234375
32,0.05,0.22,0.0,0.0968,-1431.663818359375
33,0.05,0.22,0.0,0.0992,-1447.2286376953125
34,0.05,0.22,0.0,0.1016,-1455.625244140625
35,0.05,0.22,0.0,0.104,-1462.701904296875
36,0.05,0.22,0.0,0.1064,-1432.09326171875
37,0.05,0.22,0.0,0.1088,-1445.126220703125
38,0.05,0.22,0.0,0.1112,-1452.4659423828125
39,0.05,0.22,0.0,0.1136,-1466.918212890625
40,0.05,0.22,0.0,0.116,-1447.4736328125
41,0.05,0.22,0.0,0.1184,-1457.8887939453125
42,0.05,0.22,0.0,0.1208,-1475.27783203125
43,0.05,0.22,0.0,0.1232,-1442.45947265625
44,0.05,0.22,0.0,0.1256,-1461.570068359375
45,0.05,0.22,0.0,0.128,-1464.8094482421875
46,0.05,0.22,0.0,0.1304,-1444.7984619140625
47,0.05,0.22,0.0,0.1328,-1475.9560546875
48,0.05,0.22,0.0,0.1352,-1471.61669921875
49,0.05,0.22,0.0,0.1376,-1475.7822265625
50,0.05,0.22,0.0,0.14,-1471.170654296875
51,0.05,0.2228,0.0,0.02,-1474.904052734375
52,0.05,0.2228,0.0,0.0224,-1475.7510986328125
53,0.05,0.2228,0.0,0.0248,-1478.012451171875
54,0.05,0.2228,0.0,0.0272,-1461.7381591796875
55,0.05,0.2228,0.0,0.0296,-1447.943359375
56,0.05,0.2228,0.0,0.032,-1471.162841796875
57,0.05,0.2228,0.0,0.0344,-1464.8233642578125
58,0.05,0.2228,0.0,0.0368,-1452.99853515625
59,0.05,0.2228,0.0,0.0392,-1436.3519287109375
60,0.05,0.2228,0.0,0.0416,-1443.273681640625
61,0.05,0.2228,0.0,0.044,-1466.8751220703125
62,0.05,0.2228,0.0,0.0464,-1432.3232421875
63,0.05,0.2228,0.0,0.0488,-1442.25634765625
64,0.05,0.2228,0.0,0.0512,-1438.13037109375
65,0.05,0.2228,0.0,0.0536,-1459.68798828125
66,0.05,0.2228,0.0,0.056,-1444.0498046875
67,0.05,0.2228,0.0,0.0584,-1424.9102783203125
68,0.05,0.2228,0.0,0.0608,-1443.57421875
69,0.05,0.2228,0.0,0.0632,-1428.2384033203125
70,0.05,0.2228,0.0,0.0656,-1426.655517578125
71,0.05,0.2228,0.0,0.068,-1430.93017578125
72,0.05,0.2228,0.0,0.0704,-1424.578125
73,0.05,0.2228,0.0,0.0728,-1421.189453125
74,0.05,0.2228,0.0,0.0752,-1426.25927734375
75,0.05,0.2228,0.0,0.0776,-1445.2215576171875
76,0.05,0.2228,0.0,0.08,-1446.0146484375
77,0.05,0.2228,0.0,0.0824,-1452.794921875
78,0.05,0.2228,0.0,0.0848,-1431.4315185546875
79,0.05,0.2228,0.0,0.0872,-1450.70166015625
80,0.05,0.2228,0.0,0.0896,-1425.32958984375
81,0.05,0.2228,0.0,0.092,-1443.30078125
82,0.05,0.2228,0.0,0.0944,-1448.03759765625
83,0.05,0.2228,0.0,0.0968,-1429.003662109375
84,0.05,0.2228,0.0,0.0992,-1436.4217529296875
85,0.05,0.2228,0.0,0.1016,-1428.7479248046875
86,0.05,0.2228,0.0,0.104,-1437.0911865234375
87,0.05,0.2228,0.0,0.1064,-1456.2303466796875
88,0.05,0.2228,0.0,0.1088,-1437.179931640625
89,0.05,0.2228,0.0,0.1112,-1436.37744140625
90,0.05,0.2228,0.0,0.1136,-1453.24365234375
91,0.05,0.2228,0.0,0.116,-1437.180419921875
92,0.05,0.2228,0.0,0.1184,-1449.666748046875
93,0.05,0.2228,0.0,0.1208,-1445.0087890625
94,0.05,0.2228,0.0,0.1232,-1470.290771484375
95,0.05,0.2228,0.0,0.1256,-1440.9193115234375
96,0.05,0.2228,0.0,0.128,-1459.6072998046875
97,0.05,0.2228,0.0,0.1304,-1464.965576171875
98,0.05,0.2228,0.0,0.1328,-1475.78076171875
99,0.05,0.2228,0.0,0.1352,-1447.040283203125
100,0.05,0.2228,0.0,0.1376,-1463.1165771484375
101,0.05,0.2228,0.0,0.14,-1450.0174560546875
102,0.05,0.2256,0.0,0.02,-1469.8623046875
103,0.05,0.2256,0.0,0.0224,-1477.4530029296875
104,0.05,0.2256,0.0,0.0248,-1481.280029296875
105,0.05,0.2256,0.0,0.0272,-1459.44140625
106,0.05,0.2256,0.0,0.0296,-1450.895751953125
107,0.05,0.2256,0.0,0.032,-1445.7762451171875
108,0.05,0.2256,0.0,0.0344,-1439.5247802734375
109,0.05,0.2256,0.0,0.0368,-1439.9189453125
110,0.05,0.2256,0.0,0.0392,-1446.07763671875
111,0.05,0.2256,0.0,0.0416,-1464.9686279296875
112,0.05,0.2256,0.0,0.044,-1437.7808837890625
113,0.05,0.2256,0.0,0.0464,-1431.1268310546875
114,0.05,0.2256,0.0,0.0488,-1434.3135986328125
115,0.05,0.2256,0.0,0.0512,-1431.344970703125
116,0.05,0.2256,0.0,0.0536,-1426.2890625
117,0.05,0.2256,0.0,0.056,-1429.24072265625
118,0.05,0.2256,0.0,0.0584,-1437.3492431640625
119,0.05,0.2256,0.0,0.0608,-1426.439453125
120,0.05,0.2256,0.0,0.0632,-1423.958251953125
121,0.05,0.2256,0.0,0.0656,-1422.8331298828125
122,0.05,0.2256,0.0,0.068,-1421.533203125
123,0.05,0.2256,0.0,0.0704,-1430.8663330078125
124,0.05,0.2256,0.0,0.0728,-1425.2330322265625
125,0.05,0.2256,0.0,0.0752,-1435.0909423828125
126,0.05,0.2256,0.0,0.0776,-1440.0394287109375
127,0.05,0.2256,0.0,0.08,-1431.510009765625
128,0.05,0.2256,0.0,0.0824,-1431.483642578125
129,0.05,0.2256,0.0,0.0848,-1425.1717529296875
130,0.05,0.2256,0.0,0.0872,-1439.3599853515625
131,0.05,0.2256,0.0,0.0896,-1438.838623046875
132,0.05,0.2256,0.0,0.092,-1433.9759521484375
133,0.05,0.2256,0.0,0.0944,-1426.459228515625
134,0.05,0.2256,0.0,0.0968,-1425.703125
135,0.05,0.2256,0.0,0.0992,-1428.333740234375
136,0.05,0.2256,0.0,0.1016,-1438.8629150390625
137,0.05,0.2256,0.0,0.104,-1431.85400390625
138,0.05,0.2256,0.0,0.1064,-1428.1962890625
139,0.05,0.2256,0.0,0.1088,-1439.979248046875
140,0.05,0.2256,0.0,0.1112,-1431.228759765625
141,0.05,0.2256,0.0,0.1136,-1437.669677734375
142,0.05,0.2256,0.0,0.116,-1428.95947265625
143,0.05,0.2256,0.0,0.1184,-1436.3861083984375
144,0.05,0.2256,0.0,0.1208,-1441.0426025390625
145,0.05,0.2256,0.0,0.1232,-1439.03564453125
146,0.05,0.2256,0.0,0.1256,-1435.304443359375
147,0.05,0.2256,0.0,0.128,-1441.7796630859375
148,0.05,0.2256,0.0,0.1304,-1440.02978515625
149,0.05,0.2256,0.0,0.1328,-1449.8624267578125
150,0.05,0.2256,0.0,0.1352,-1445.095703125
151,0.05,0.2256,0.0,0.1376,-1446.94091796875
152,0.05,0.2256,0.0,0.14,-1450.494873046875
153,0.05,0.2284,0.0,0.02,-1464.798828125
154,0.05,0.2284,0.0,0.0224,-1461.661865234375
155,0.05,0.2284,0.0,0.0248,-1457.3079833984375
