mu,rho,ll
0.29,0.08,-1405.786621
0.29,0.08,-1405.627319
0.29,0.08,-1406.328857
0.28922,0.078759,-1407.305664
0.293361,0.074591,-1407.787598
0.295061,0.072586,-1407.112061
0.29389,0.077366,-1407.769165
0.292658,0.07757,-1407.567749
0.292658,0.07757,-1407.338135
0.294522,0.073919,-1408.26001
0.294522,0.073919,-1406.824585
0.286326,0.075512,-1407.011597
0.284433,0.072842,-1406.051392
0.284433,0.072842,-1405.701416
0.284386,0.076207,-1405.769775
0.284386,0.076207,-1404.615112
0.283114,0.073946,-1405.469238
0.286275,0.071718,-1405.867554
0.279911,0.068595,-1405.624756
0.279317,0.069368,-1404.952637
0.279507,0.073444,-1406.009766
0.278267,0.072914,-1404.658813
0.275657,0.072709,-1405.106812
0.279532,0.072514,-1405.134033
0.28215,0.074855,-1406.51416
0.276954,0.072941,-1404.484131
0.281384,0.072938,-1405.482788
0.284304,0.072097,-1405.992432
0.284304,0.072097,-1405.121094
0.283004,0.070301,-1405.743896
0.283004,0.070301,-1404.393799
0.282094,0.071662,-1404.401123
0.282094,0.071662,-1405.848999
0.277714,0.069537,-1404.823486
0.272361,0.073818,-1405.482178
0.275662,0.069346,-1404.088623
0.280442,0.07165,-1405.514038
0.280442,0.07165,-1405.278564
0.280442,0.07165,-1403.788086
0.274229,0.069132,-1405.526855
0.275584,0.067006,-1405.742798
0.279374,0.067004,-1405.514648
0.278335,0.064897,-1405.602173
0.278335,0.064897,-1405.116333
0.278456,0.066172,-1404.956787
0.282177,0.066596,-1405.764648
0.28286,0.069118,-1405.830811
0.28286,0.069118,-1404.420166
0.28286,0.069118,-1404.88916
0.283147,0.070217,-1405.636963
0.282521,0.071347,-1405.161499
0.278779,0.070841,-1406.526123
0.286609,0.071045,-1406.178711
0.286609,0.071045,-1404.852051
0.286905,0.068979,-1405.286987
0.291331,0.066238,-1406.307495
0.291331,0.066238,-1406.386475
0.285732,0.064414,-1407.057861
0.285732,0.064414,-1405.437744
0.28874,0.067232,-1405.948486
0.28874,0.067232,-1405.418091
0.290096,0.067267,-1406.808594
0.290218,0.065538,-1406.667725
0.289517,0.062242,-1406.870605
0.289517,0.062242,-1406.3479
0.289517,0.062242,-1406.552856
0.289947,0.060444,-1407.052856
0.285686,0.057803,-1407.908081
0.28369,0.057436,-1406.460693
0.289343,0.060578,-1406.53479
0.284942,0.052921,-1407.950684
0.284942,0.052921,-1407.893799
0.286538,0.055194,-1408.179443
0.283781,0.051757,-1409.894531
0.277101,0.053769,-1408.245605
0.277681,0.052903,-1408.630859
0.281521,0.052461,-1408.10791
0.281521,0.052461,-1408.252197
0.287526,0.051856,-1409.182861
0.287526,0.051856,-1409.152832
0.28955,0.051118,-1409.458008
0.284554,0.05283,-1408.826416
0.284554,0.05283,-1408.723145
0.284554,0.05283,-1409.223145
0.284554,0.05283,-1409.315308
0.290975,0.054493,-1408.906616
0.287304,0.052309,-1408.876831
0.283804,0.051141,-1409.200439
0.281977,0.055086,-1407.508789
0.280816,0.056321,-1406.454712
0.280816,0.056321,-1406.625244
0.280816,0.056321,-1407.194824
0.280816,0.056321,-1406.4104
0.280775,0.058221,-1407.22998
0.279105,0.059377,-1405.233643
0.279105,0.059377,-1405.916992
0.278211,0.058633,-1406.740845
0.283676,0.058229,-1407.157593
0.283676,0.058229,-1406.626709
0.283688,0.06289,-1405.462646
