idx,alpha,mu,omega,rho,loglike
0,0.04,0.34,0.0,0.14,-2695.399169921875
1,0.04,0.34,0.0,0.1448,-2707.78564453125
2,0.04,0.34,0.0,0.1496,-2705.4599609375
3,0.04,0.34,0.0,0.1544,-2664.583984375
4,0.04,0.34,0.0,0.1592,-2691.93359375
5,0.04,0.34,0.0,0.164,-2695.387939453125
6,0.04,0.34,0.0,0.1688,-2708.3603515625
7,0.04,0.34,0.0,0.1736,-2708.8818359375
8,0.04,0.34,0.0,0.1784,-2699.685302734375
9,0.04,0.34,0.0,0.1832,-2681.70849609375
10,0.04,0.34,0.0,0.188,-2655.783203125
11,0.04,0.34,0.0,0.1928,-2690.890625
12,0.04,0.34,0.0,0.1976,-2680.9814453125
13,0.04,0.34,0.0,0.2024,-2696.283447265625
14,0.04,0.34,0.0,0.2072,-2685.20361328125
15,0.04,0.34,0.0,0.212,-2694.685546875
16,0.04,0.34,0.0,0.2168,-2686.49951171875
17,0.04,0.34,0.0,0.2216,-2655.91796875
18,0.04,0.34,0.0,0.2264,-2710.283935546875
19,0.04,0.34,0.0,0.2312,-2673.00634765625
20,0.04,0.34,0.0,0.236,-2697.11279296875
21,0.04,0.34,0.0,0.2408,-2683.35791015625
22,0.04,0.34,0.0,0.2456,-2707.3671875
23,0.04,0.34,0.0,0.2504,-2695.01611328125
24,0.04,0.34,0.0,0.2552,-2696.2900390625
25,0.04,0.34,0.0,0.26,-2675.88427734375
26,0.04,0.34,0.0,0.2648,-2697.32373046875
27,0.04,0.34,0.0,0.2696,-2672.26513671875
28,0.04,0.34,0.0,0.2744,-2683.71728515625
29,0.04,0.34,0.0,0.2792,-2692.685302734375
30,0.04,0.34,0.0,0.284,-2681.33544921875
31,0.04,0.34,0.0,0.2888,-2704.71435546875
32,0.04,0.34,0.0,0.2936,-2671.211181640625
33,0.04,0.34,0.0,0.2984,-2664.30810546875
34,0.04,0.34,0.0,0.3032,-2696.86572265625
35,0.04,0.34,0.0,0.308,-2686.30859375
36,0.04,0.34,0.0,0.3128,-2694.17236328125
37,0.04,0.34,0.0,0.3176,-2684.086181640625
38,0.04,0.34,0.0,0.3224,-2694.498779296875
39,0.04,0.34,0.0,0.3272,-2689.4482421875
40,0.04,0.34,0.0,0.332,-2714.34814453125
41,0.04,0.34,0.0,0.3368,-2697.886962890625
42,0.04,0.34,0.0,0.3416,-2718.51806640625
43,0.04,0.34,0.0,0.3464,-2700.320556640625
44,0.04,0.34,0.0,0.3512,-2694.205810546875
45,0.04,0.34,0.0,0.356,-2707.017578125
46,0.04,0.34,0.0,0.3608,-2670.4716796875
47,0.04,0.34,0.0,0.3656,-2687.7451171875
