mu,rho,ll
0.390194,0.260334,-2629.938477
0.391908,0.267703,-2631.411865
0.391491,0.267216,-2631.396729
0.390278,0.264208,-2631.216797
0.390278,0.264208,-2630.47998
0.389808,0.259828,-2631.291748
0.392319,0.25996,-2632.049316
0.389615,0.259835,-2630.344482
0.389615,0.259835,-2629.243652
0.389462,0.260299,-2631.272461
0.390146,0.262417,-2630.015625
0.389452,0.261232,-2630.510254
0.389452,0.261232,-2630.264648
0.38877,0.261132,-2630.713379
0.388525,0.260933,-2630.256836
0.390012,0.258826,-2630.587158
0.390466,0.258877,-2630.283447
0.391104,0.260874,-2630.608398
0.390907,0.263078,-2631.279297
0.388845,0.265558,-2628.58252
0.389588,0.267901,-2630.345215
0.389487,0.26462,-2631.25293
0.389487,0.26462,-2630.723633
0.38919,0.262273,-2630.063965
0.389638,0.264627,-2631.689209
0.389544,0.264747,-2630.281494
0.390129,0.265562,-2631.299316
0.39117,0.266109,-2631.955566
0.390854,0.266912,-2630.445312
0.389944,0.265067,-2631.819336
0.389591,0.265177,-2630.40332
0.389531,0.263086,-2630.093262
0.389531,0.263086,-2630.992676
0.387811,0.264132,-2630.276855
0.387349,0.265596,-2630.464111
0.386372,0.263626,-2630.148193
0.386572,0.261518,-2628.90332
0.386572,0.261518,-2629.929443
0.386572,0.261518,-2629.178223
0.387075,0.262115,-2630.274902
0.387891,0.262698,-2630.23877
0.387587,0.264546,-2630.482422
0.385024,0.260044,-2629.663574
0.385024,0.260044,-2629.249268
0.385024,0.260044,-2628.49292
0.383472,0.259086,-2628.906006
0.383963,0.255558,-2629.648926
0.383963,0.255558,-2627.990967
0.38305,0.257055,-2628.208008
0.381425,0.259343,-2627.56665
0.382382,0.261822,-2630.997314
0.382382,0.261822,-2627.801758
0.38356,0.263141,-2627.336914
0.38356,0.263141,-2628.267578
0.383328,0.265127,-2628.992676
0.383328,0.265127,-2627.026367
0.382253,0.259165,-2627.816895
0.382253,0.259165,-2628.075928
0.382253,0.259165,-2627.02002
0.38258,0.260318,-2627.739258
0.38321,0.263386,-2628.660156
0.38321,0.263386,-2627.379883
0.38321,0.263386,-2627.425781
0.383945,0.262624,-2628.129395
0.38432,0.261925,-2628.641602
0.382724,0.26057,-2629.27417
0.381505,0.256167,-2627.214355
0.379342,0.256814,-2625.462891
0.379342,0.256814,-2627.621094
0.380538,0.262523,-2628.403564
0.380288,0.25909,-2628.028809
0.380288,0.25909,-2628.56543
0.381011,0.254476,-2626.462158
0.380763,0.258019,-2627.230713
0.38128,0.261274,-2627.246826
0.381675,0.263213,-2627.566406
0.380186,0.263925,-2627.791504
0.380119,0.266424,-2628.979492
0.380119,0.266424,-2628.041016
0.380119,0.266424,-2627.436035
0.379851,0.262589,-2626.435303
0.380508,0.264726,-2627.580566
0.380508,0.264726,-2627.001465
0.380479,0.264673,-2627.448975
0.379294,0.26543,-2628.69751
0.379964,0.265012,-2628.157227
0.379964,0.265012,-2628.080566
0.380723,0.26273,-2628.679688
0.381299,0.263269,-2627.480957
0.381016,0.261273,-2627.06543
0.37985,0.255829,-2628.93335
0.378656,0.254392,-2625.338379
0.378656,0.254392,-2628.157227
0.378656,0.254392,-2626.729736
0.377405,0.25326,-2624.768311
0.378544,0.251893,-2626.93042
0.378544,0.251893,-2627.549316
0.37808,0.250954,-2627.07373
0.37808,0.250954,-2627.898926
0.378103,0.25313,-2626.00415
0.378962,0.251927,-2626.097656
0.378962,0.251927,-2627.149902
0.379118,0.252912,-2627.247803
0.377726,0.254827,-2626.77002
0.375728,0.251276,-2625.240234
0.374802,0.252828,-2625.0
0.375452,0.253518,-2626.924805
0.375889,0.249486,-2627.289307
0.376432,0.245364,-2626.310547
0.376432,0.245364,-2624.862061
0.376432,0.245364,-2627.150391
0.376516,0.244429,-2626.5271
0.376516,0.244429,-2626.301758
0.377792,0.239658,-2628.849121
0.378922,0.240089,-2627.388184
0.378922,0.240089,-2625.626465
0.378295,0.242391,-2625.776855
0.376933,0.243174,-2625.28125
0.376933,0.243174,-2626.987793
0.376856,0.243273,-2625.666504
0.376856,0.243273,-2628.648438
0.378069,0.243743,-2625.514893
0.378434,0.245198,-2626.674316
0.378017,0.241872,-2628.068848
0.378017,0.241872,-2626.337402
0.377395,0.246129,-2625.185059
0.377923,0.244539,-2627.375488
0.377425,0.245838,-2628.682129
0.375719,0.249401,-2623.893799
0.376223,0.24918,-2625.300537
0.376214,0.247983,-2626.018066
0.376214,0.247983,-2628.67749
0.376207,0.247489,-2627.114258
0.376207,0.247489,-2627.501465
0.377041,0.248286,-2625.788574
0.37757,0.244722,-2626.709961
0.37757,0.244722,-2626.736328
0.37757,0.244722,-2627.018066
0.378119,0.245987,-2626.461426
0.378119,0.245987,-2627.566162
0.378119,0.245987,-2628.490723
0.379104,0.249263,-2627.90625
0.379029,0.248816,-2627.634766
0.377107,0.247079,-2627.633789
0.377107,0.247079,-2626.20874
0.377736,0.244132,-2626.219727
0.377736,0.244132,-2625.371582
0.376838,0.242182,-2625.625244
0.376838,0.242182,-2625.904297
0.375034,0.240709,-2625.390137
0.375034,0.240709,-2627.120605
0.375034,0.240709,-2626.758789
0.37422,0.244112,-2626.59668
0.372596,0.241877,-2625.78125
0.372596,0.241877,-2623.779785
0.372596,0.241877,-2626.175293
0.372596,0.241877,-2626.47998
0.371696,0.239591,-2623.033691
0.370779,0.239671,-2624.47168
0.370779,0.239671,-2625.688232
0.371195,0.242531,-2630.602539
0.371323,0.244598,-2623.38501
0.370773,0.248471,-2625.260742
0.370382,0.245859,-2626.156982
0.370382,0.245859,-2622.864746
0.370382,0.245859,-2624.476318
0.370203,0.243611,-2626.51709
0.370203,0.243611,-2624.538086
