idx,alpha,mu,omega,rho,loglike
0,0.04,0.28,0.0,0.02,-1931.8369140625
1,0.04,0.28,0.0,0.0224,-1921.04345703125
2,0.04,0.28,0.0,0.0248,-1910.2960205078125
3,0.04,0.28,0.0,0.0272,-1904.3438720703125
4,0.04,0.28,0.0,0.0296,-1904.37890625
5,0.04,0.28,0.0,0.032,-1899.045166015625
6,0.04,0.28,0.0,0.0344,-1870.048583984375
7,0.04,0.28,0.0,0.0368,-1895.672607421875
8,0.04,0.28,0.0,0.0392,-1883.252685546875
9,0.04,0.28,0.0,0.0416,-1883.0146484375
10,0.04,0.28,0.0,0.044,-1881.945068359375
11,0.04,0.28,0.0,0.0464,-1888.5284423828125
12,0.04,0.28,0.0,0.0488,-1891.7318115234375
13,0.04,0.28,0.0,0.0512,-1877.6220703125
14,0.04,0.28,0.0,0.0536,-1868.3306884765625
15,0.04,0.28,0.0,0.056,-1887.3092041015625
16,0.04,0.28,0.0,0.0584,-1876.21240234375
17,0.04,0.28,0.0,0.0608,-1876.519287109375
18,0.04,0.28,0.0,0.0632,-1876.1815185546875
19,0.04,0.28,0.0,0.0656,-1866.380859375
20,0.04,0.28,0.0,0.068,-1904.2733154296875
21,0.04,0.28,0.0,0.0704,-1890.46875
22,0.04,0.28,0.0,0.0728,-1880.0595703125
23,0.04,0.28,0.0,0.0752,-1862.950439453125
24,0.04,0.28,0.0,0.0776,-1886.4293212890625
25,0.04,0.28,0.0,0.08,-1867.222412109375
26,0.04,0.28,0.0,0.0824,-1875.6541748046875
27,0.04,0.28,0.0,0.0848,-1879.70166015625
28,0.04,0.28,0.0,0.0872,-1883.998046875
29,0.04,0.28,0.0,0.0896,-1870.463134765625
30,0.04,0.28,0.0,0.092,-1878.15771484375
31,0.04,0.28,0.0,0.0944,-1866.373779296875
32,0.04,0.28,0.0,0.0968,-1883.4935302734375
33,0.04,0.28,0.0,0.0992,-1883.66357421875
34,0.04,0.28,0.0,0.1016,-1869.69384765625
35,0.04,0.28,0.0,0.104,-1873.68701171875
36,0.04,0.28,0.0,0.1064,-1872.257568359375
37,0.04,0.28,0.0,0.1088,-1868.57568359375
38,0.04,0.28,0.0,0.1112,-1881.10791015625
39,0.04,0.28,0.0,0.1136,-1885.141357421875
40,0.04,0.28,0.0,0.116,-1898.3946533203125
41,0.04,0.28,0.0,0.1184,-1896.3255615234375
42,0.04,0.28,0.0,0.1208,-1892.8492431640625
43,0.04,0.28,0.0,0.1232,-1873.56396484375
44,0.04,0.28,0.0,0.1256,-1899.330322265625
45,0.04,0.28,0.0,0.128,-1892.7269287109375
46,0.04,0.28,0.0,0.1304,-1890.74072265625
47,0.04,0.28,0.0,0.1328,-1900.634765625
48,0.04,0.28,0.0,0.1352,-1898.4844970703125
49,0.04,0.28,0.0,0.1376,-1903.6591796875
50,0.04,0.28,0.0,0.14,-1905.3883056640625
51,0.04,0.2832,0.0,0.02,-1915.2879638671875
52,0.04,0.2832,0.0,0.0224,-1901.5491943359375
53,0.04,0.2832,0.0,0.0248,-1898.639404296875
54,0.04,0.2832,0.0,0.0272,-1886.772705078125
55,0.04,0.2832,0.0,0.0296,-1891.849365234375
56,0.04,0.2832,0.0,0.032,-1889.4417724609375
57,0.04,0.2832,0.0,0.0344,-1886.252197265625
58,0.04,0.2832,0.0,0.0368,-1881.4844970703125
59,0.04,0.2832,0.0,0.0392,-1877.2412109375
60,0.04,0.2832,0.0,0.0416,-1874.3326416015625
61,0.04,0.2832,0.0,0.044,-1882.442626953125
62,0.04,0.2832,0.0,0.0464,-1869.13427734375
63,0.04,0.2832,0.0,0.0488,-1883.677734375
64,0.04,0.2832,0.0,0.0512,-1864.711181640625
65,0.04,0.2832,0.0,0.0536,-1884.0897216796875
66,0.04,0.2832,0.0,0.056,-1863.0775146484375
67,0.04,0.2832,0.0,0.0584,-1857.1182861328125
68,0.04,0.2832,0.0,0.0608,-1870.7677001953125
69,0.04,0.2832,0.0,0.0632,-1874.760498046875
70,0.04,0.2832,0.0,0.0656,-1869.032470703125
71,0.04,0.2832,0.0,0.068,-1880.169921875
72,0.04,0.2832,0.0,0.0704,-1860.1658935546875
73,0.04,0.2832,0.0,0.0728,-1864.2900390625
74,0.04,0.2832,0.0,0.0752,-1874.1483154296875
75,0.04,0.2832,0.0,0.0776,-1875.928955078125
76,0.04,0.2832,0.0,0.08,-1869.21875
77,0.04,0.2832,0.0,0.0824,-1878.9483642578125
78,0.04,0.2832,0.0,0.0848,-1871.0372314453125
79,0.04,0.2832,0.0,0.0872,-1864.1407470703125
80,0.04,0.2832,0.0,0.0896,-1869.2459716796875
81,0.04,0.2832,0.0,0.092,-1887.38037109375
82,0.04,0.2832,0.0,0.0944,-1885.6002197265625
83,0.04,0.2832,0.0,0.0968,-1879.7373046875
84,0.04,0.2832,0.0,0.0992,-1877.1766357421875
85,0.04,0.2832,0.0,0.1016,-1873.25830078125
86,0.04,0.2832,0.0,0.104,-1884.4527587890625
87,0.04,0.2832,0.0,0.1064,-1885.2103271484375
88,0.04,0.2832,0.0,0.1088,-1878.28369140625
89,0.04,0.2832,0.0,0.1112,-1880.342529296875
90,0.04,0.2832,0.0,0.1136,-1889.332275390625
91,0.04,0.2832,0.0,0.116,-1883.36767578125
92,0.04,0.2832,0.0,0.1184,-1870.4971923828125
93,0.04,0.2832,0.0,0.1208,-1876.802490234375
94,0.04,0.2832,0.0,0.1232,-1881.064453125
95,0.04,0.2832,0.0,0.1256,-1890.52001953125
96,0.04,0.2832,0.0,0.128,-1892.3331298828125
97,0.04,0.2832,0.0,0.1304,-1880.0435791015625
98,0.04,0.2832,0.0,0.1328,-1901.7691650390625
99,0.04,0.2832,0.0,0.1352,-1886.1741943359375
