mu,rho,ll
0.36031,0.080167,-1825.951904
0.36031,0.080167,-1825.759521
0.359536,0.081335,-1825.986938
0.359627,0.080464,-1825.657837
0.358609,0.080435,-1826.077637
0.359549,0.081963,-1825.661377
0.3586,0.084541,-1826.806396
0.3586,0.084541,-1826.685303
0.3586,0.084541,-1826.395752
0.359211,0.084114,-1826.701416
0.359211,0.084114,-1825.912354
0.357549,0.0833,-1826.401367
0.357046,0.082143,-1826.113159
0.358054,0.084677,-1826.515625
0.362701,0.084197,-1827.439209
0.361775,0.0843,-1826.875488
0.362461,0.085728,-1827.562744
0.362954,0.08386,-1827.180786
0.364782,0.081455,-1826.54126
0.366209,0.080912,-1826.562744
0.369222,0.081973,-1827.333984
0.370028,0.080746,-1827.466187
0.367042,0.079877,-1826.122314
0.366645,0.079803,-1826.875488
0.368571,0.078028,-1827.284912
0.37106,0.075555,-1827.160889
0.373912,0.076884,-1828.372681
0.374284,0.077875,-1828.787842
0.374284,0.077875,-1828.35791
0.372757,0.076665,-1827.596436
0.371922,0.0772,-1827.442749
0.370273,0.07903,-1827.718628
0.372426,0.078293,-1827.781982
0.369485,0.077907,-1826.754272
0.371959,0.074588,-1827.097778
0.371959,0.074588,-1826.955078
0.370756,0.075625,-1827.183716
0.371271,0.07447,-1827.802246
0.371271,0.07447,-1827.306641
0.368379,0.074592,-1827.012817
0.37058,0.073008,-1826.390015
0.369666,0.07476,-1826.085815
0.369666,0.07476,-1826.951782
0.369724,0.074817,-1826.238403
0.368199,0.076291,-1826.678101
0.366453,0.076144,-1826.193115
0.364123,0.077605,-1826.213989
0.364123,0.077605,-1826.181641
0.363928,0.076168,-1825.749268
0.361911,0.077557,-1825.87915
0.359835,0.079058,-1826.324829
0.359235,0.078083,-1825.700806
0.357136,0.078711,-1825.259644
0.356865,0.081161,-1825.29895
0.356974,0.080608,-1825.428589
0.35737,0.08275,-1825.986084
0.353871,0.082099,-1825.764648
0.355502,0.082844,-1826.3479
0.35533,0.080952,-1825.039429
0.355723,0.082552,-1825.918701
0.355922,0.081189,-1825.674561
0.353283,0.080093,-1825.696899
0.352776,0.07818,-1825.12915
0.35323,0.078057,-1825.081787
0.352905,0.078795,-1825.602295
0.349766,0.07952,-1825.488037
0.351467,0.07901,-1825.769531
0.34906,0.078997,-1825.544067
0.349552,0.081315,-1825.483643
0.349782,0.081793,-1826.431885
0.349782,0.081793,-1825.545776
0.353131,0.084829,-1825.381592
0.353018,0.083422,-1825.875854
0.354396,0.081879,-1826.017334
0.35521,0.082039,-1826.07251
0.35413,0.08292,-1826.021973
0.354439,0.085602,-1826.718018
0.354439,0.085602,-1826.147705
0.355544,0.085438,-1826.48645
0.354419,0.086338,-1826.451294
0.35591,0.08487,-1825.201904
0.358287,0.084443,-1826.577148
0.357591,0.086551,-1826.187744
0.355685,0.085835,-1826.796997
0.358839,0.083966,-1826.147217
0.35718,0.085018,-1826.376343
0.35718,0.085018,-1826.860107
0.357643,0.085733,-1827.270386
0.35893,0.084576,-1826.504639
0.359266,0.085017,-1826.393066
0.360922,0.08359,-1826.675659
0.362505,0.084471,-1826.796143
0.363233,0.0825,-1826.707764
0.363162,0.079391,-1826.541748
0.363458,0.080464,-1826.561157
0.36194,0.078524,-1826.431885
0.36194,0.078524,-1826.050903
0.360473,0.077171,-1825.613281
0.35745,0.078232,-1825.62085
0.358218,0.07754,-1826.017822
0.355889,0.078534,-1825.529419
0.355889,0.078534,-1825.055298
0.354645,0.078226,-1825.889404
0.353349,0.077103,-1824.678467
0.353349,0.077103,-1824.936157
0.355716,0.078505,-1825.314087
0.356419,0.078655,-1825.920166
0.360682,0.076342,-1825.150635
0.360934,0.079061,-1826.132812
0.364367,0.078499,-1826.949463
0.364367,0.078499,-1826.786011
0.364367,0.078499,-1826.153809
0.364367,0.078499,-1826.418213
0.365572,0.078452,-1826.150757
0.366084,0.080913,-1826.84729
0.366226,0.078665,-1827.088013
0.367349,0.078081,-1827.001343
0.368073,0.079236,-1827.070923
0.365589,0.07979,-1826.645996
0.363951,0.081656,-1826.980225
0.361052,0.083398,-1825.973755
0.361022,0.083563,-1826.106201
0.363855,0.084043,-1827.9021
0.365138,0.084359,-1827.278687
0.366831,0.08774,-1828.605957
0.368876,0.085545,-1827.687256
0.371797,0.084762,-1828.037842
0.373386,0.085078,-1828.508301
0.373386,0.085078,-1828.744385
0.373386,0.085078,-1828.442749
0.376127,0.083918,-1828.689941
0.375172,0.083565,-1828.535767
0.37581,0.082929,-1829.270752
0.37581,0.082929,-1829.356201
0.375868,0.082927,-1828.509644
0.376729,0.083324,-1829.452637
0.375408,0.084604,-1829.726685
0.37479,0.086228,-1828.953125
0.371745,0.085066,-1829.196045
0.370598,0.086176,-1828.569702
0.370598,0.086176,-1828.591553
0.371532,0.085471,-1828.899902
0.371884,0.086225,-1828.792847
0.372415,0.088355,-1829.664673
0.374038,0.087579,-1829.599731
0.371975,0.088735,-1830.230103
0.368676,0.090313,-1828.581787
0.368676,0.090313,-1829.409302
0.368676,0.090313,-1829.814209
0.369545,0.088773,-1829.38208
0.370286,0.087767,-1829.707153
0.369706,0.086992,-1828.415894
0.369028,0.086919,-1828.75293
0.368871,0.088478,-1828.960205
0.368871,0.088478,-1828.929688
0.371521,0.086794,-1828.688843
0.371521,0.086794,-1829.307495
0.368992,0.087233,-1829.014526
0.368992,0.087233,-1828.648682
0.367223,0.087283,-1828.424683
0.367223,0.087283,-1828.248169
0.369268,0.086225,-1828.627197
0.367876,0.086293,-1828.30835
0.365979,0.086365,-1827.220703
0.366228,0.085845,-1827.862915
0.365774,0.084368,-1827.346313
0.366775,0.083145,-1827.383911
0.366775,0.083145,-1827.525269
0.368095,0.083374,-1828.404297
0.367351,0.083447,-1827.46875
0.367748,0.084006,-1828.262329
0.371181,0.085493,-1828.241211
0.372284,0.083278,-1829.258667
0.372359,0.085446,-1828.486572
0.374741,0.085193,-1829.245117
0.373256,0.084574,-1829.049194
0.373581,0.08622,-1828.924927
0.374171,0.088284,-1829.690186
0.371454,0.087479,-1829.113159
0.373082,0.088512,-1829.994507
0.372588,0.091271,-1830.030273
0.374238,0.090311,-1830.289795
0.374238,0.090311,-1829.539062
0.377145,0.088718,-1830.588379
0.370794,0.088301,-1830.352539
0.372021,0.087372,-1829.142456
0.372514,0.086488,-1829.566895
0.375008,0.086921,-1830.108643
0.376185,0.086229,-1829.542114
0.378362,0.085578,-1830.552856
0.377375,0.086827,-1830.064453
0.373913,0.086803,-1829.446655
0.375306,0.085647,-1829.699707
0.376549,0.083509,-1828.914795
0.375559,0.083272,-1829.517334
0.375559,0.084909,-1829.13562
0.375673,0.085124,-1829.913696
0.373854,0.086592,-1829.932861
0.373358,0.086383,-1829.186523
0.37229,0.085745,-1828.607178
0.373551,0.085578,-1829.408081
0.37519,0.086187,-1829.829224
0.372816,0.084333,-1828.801025
0.373196,0.084317,-1828.654053
0.373196,0.084317,-1827.794434
0.374714,0.085707,-1829.15564
0.375907,0.086842,-1830.562988
0.374265,0.0884,-1829.796631
0.372534,0.08982,-1830.525391
0.373628,0.089665,-1829.219727
0.373628,0.089665,-1829.917603
0.372668,0.090615,-1830.02002
0.372336,0.09224,-1830.610107
0.375293,0.09391,-1831.333252
0.376094,0.093711,-1832.071045
0.375084,0.093194,-1832.055664
0.375327,0.092758,-1830.906006
0.372929,0.093313,-1830.999146
0.370367,0.091278,-1829.995605
0.372903,0.092571,-1830.593262
0.370684,0.093182,-1831.320068
0.368717,0.093017,-1829.905518
0.367666,0.092369,-1829.163696
0.368019,0.092179,-1829.151123
0.368854,0.091494,-1830.0354
0.365569,0.093627,-1829.377319
0.363717,0.093991,-1829.927734
0.365204,0.092711,-1829.517212
0.365415,0.09167,-1829.419678
0.365688,0.092112,-1829.929443
