idx,alpha,mu,omega,loglike
0,0.01,0.08,0.038461538461538464,-inf
1,0.01,0.08,0.07692307692307693,-inf
2,0.01,0.08,0.11538461538461539,-inf
3,0.01,0.08,0.15384615384615385,-inf
4,0.01,0.08,0.19230769230769232,-inf
5,0.01,0.08,0.23076923076923078,-inf
6,0.01,0.08,0.2692307692307693,-inf
7,0.01,0.08,0.3076923076923077,-inf
8,0.01,0.08,0.34615384615384615,-inf
9,0.01,0.08,0.38461538461538464,-inf
10,0.01,0.08,0.42307692307692313,-inf
11,0.01,0.08,0.46153846153846156,-inf
12,0.01,0.08,0.5,-inf
13,0.01,0.08,0.5384615384615385,-inf
14,0.01,0.08,0.576923076923077,-inf
15,0.01,0.08,0.6153846153846154,-inf
16,0.01,0.08,0.6538461538461539,-inf
17,0.01,0.08,0.6923076923076923,-inf
18,0.01,0.08,0.7307692307692308,-inf
19,0.01,0.08,0.7692307692307693,-inf
20,0.01,0.08,0.8076923076923077,-inf
21,0.01,0.08,0.8461538461538463,-inf
22,0.01,0.08,0.8846153846153847,-inf
23,0.01,0.08,0.9230769230769231,-inf
24,0.01,0.08,0.9615384615384616,-inf
25,0.01,0.16,0.038461538461538464,-inf
26,0.01,0.16,0.07692307692307693,-inf
27,0.01,0.16,0.11538461538461539,-inf
28,0.01,0.16,0.15384615384615385,-inf
29,0.01,0.16,0.19230769230769232,-inf
30,0.01,0.16,0.23076923076923078,-inf
31,0.01,0.16,0.2692307692307693,-inf
32,0.01,0.16,0.3076923076923077,-inf
33,0.01,0.16,0.34615384615384615,-inf
34,0.01,0.16,0.38461538461538464,-inf
35,0.01,0.16,0.42307692307692313,-inf
36,0.01,0.16,0.46153846153846156,-inf
37,0.01,0.16,0.5,-inf
38,0.01,0.16,0.5384615384615385,-inf
39,0.01,0.16,0.576923076923077,-inf
40,0.01,0.16,0.6153846153846154,-inf
41,0.01,0.16,0.6538461538461539,-inf
42,0.01,0.16,0.6923076923076923,-inf
43,0.01,0.16,0.7307692307692308,-inf
44,0.01,0.16,0.7692307692307693,-inf
45,0.01,0.16,0.8076923076923077,-inf
46,0.01,0.16,0.8461538461538463,-inf
47,0.01,0.16,0.8846153846153847,-inf
