,alpha,mu,omega,logposterior
0,0.039982967,0.99374384,0.614549,-1969.711181640625
1,0.04055609,0.9940563,0.6155585,-1969.9757080078125
2,0.040087488,1.0152717,0.6112876,-1971.306640625
3,0.040087488,1.0152717,0.6112876,-1970.9239501953125
4,0.040087488,1.0152717,0.6112876,-1971.41748046875
5,0.040087488,1.0152717,0.6112876,-1971.50244140625
6,0.04036304,1.0161659,0.6227246,-1968.9400634765625
7,0.04036304,1.0161659,0.6227246,-1970.101318359375
8,0.04036304,1.0161659,0.6227246,-1968.8463134765625
9,0.03981335,1.0022024,0.634991,-1966.554443359375
10,0.03981335,1.0022024,0.634991,-1966.856689453125
11,0.03981335,1.0022024,0.634991,-1967.9317626953125
12,0.03981335,1.0022024,0.634991,-1966.8511962890625
13,0.03981335,1.0022024,0.634991,-1967.4066162109375
14,0.039751492,1.0058255,0.6305297,-1967.6710205078125
15,0.039751492,1.0058255,0.6305297,-1967.8055419921875
16,0.039751492,1.0058255,0.6305297,-1967.552490234375
17,0.039751492,1.0058255,0.6305297,-1967.2291259765625
18,0.039751492,1.0058255,0.6305297,-1968.7730712890625
19,0.039751492,1.0058255,0.6305297,-1967.216796875
20,0.040487688,1.0123992,0.62373257,-1968.3184814453125
21,0.040487688,1.0123992,0.62373257,-1969.2581787109375
22,0.040914327,1.0359328,0.6292939,-1968.7401123046875
23,0.040914327,1.0359328,0.6292939,-1969.240234375
24,0.041437108,1.0231459,0.6317562,-1968.4178466796875
25,0.041437108,1.0231459,0.6317562,-1969.425537109375
26,0.041173127,1.039938,0.6287123,-1969.575927734375
27,0.04102317,1.0472406,0.6322157,-1969.146240234375
28,0.04167353,1.059166,0.64565814,-1966.640625
29,0.041412022,1.0495367,0.6354838,-1968.0548095703125
30,0.041412022,1.0495367,0.6354838,-1967.9287109375
31,0.041412022,1.0495367,0.6354838,-1967.2410888671875
32,0.041622143,1.0345837,0.64172167,-1967.8026123046875
33,0.041622143,1.0345837,0.64172167,-1967.4356689453125
34,0.04190337,1.0295702,0.6512991,-1967.839111328125
35,0.04190337,1.0295702,0.6512991,-1966.3587646484375
36,0.04190337,1.0295702,0.6512991,-1974.2965087890625
37,0.04190337,1.0295702,0.6512991,-1970.514404296875
38,0.041759912,1.041894,0.6470438,-1967.70166015625
39,0.04178742,1.0485774,0.65071785,-1965.7403564453125
40,0.04178742,1.0485774,0.65071785,-1967.062255859375
41,0.041627076,1.0485635,0.65216386,-1966.299072265625
42,0.041627076,1.0485635,0.65216386,-1966.083740234375
43,0.041627076,1.0485635,0.65216386,-1965.9117431640625
44,0.041084293,1.0564029,0.6497439,-1966.3468017578125
45,0.041084293,1.0564029,0.6497439,-1965.1151123046875
46,0.04091267,1.0501931,0.652547,-1965.199462890625
47,0.04091267,1.0501931,0.652547,-1965.887451171875
48,0.04091267,1.0501931,0.652547,-1966.6094970703125
49,0.041012928,1.049243,0.6484868,-1967.230224609375
50,0.041223045,1.0665785,0.631067,-1968.5067138671875
51,0.041223045,1.0665785,0.631067,-1969.639404296875
52,0.041223045,1.0665785,0.631067,-1969.821533203125
53,0.041303437,1.052169,0.64333946,-1966.8468017578125
54,0.04117246,1.0796192,0.6362651,-1968.3123779296875
55,0.04125895,1.0705249,0.6428041,-1966.4105224609375
56,0.04148153,1.0579612,0.6524573,-1965.63671875
57,0.041525036,1.0565221,0.6519528,-1966.6920166015625
58,0.041525036,1.0565221,0.6519528,-1966.0523681640625
