ID,CFU_22,CFU_222,Day,Exp,Sync
1,3,0,1,CL101,7/7/2024
2,63,4,1,CL101,7/7/2024
3,18,32,1,CL101,7/7/2024
4,0,0,1,CL101,7/7/2024
5,0,0,1,CL101,7/7/2024
6,0,0,1,CL101,7/7/2024
7,0,0,1,CL101,7/7/2024
8,0,0,1,CL101,7/7/2024
9,0,0,1,CL101,7/7/2024
10,Uncountable,100,1,CL101,7/7/2024
11,0,0,1,CL101,7/7/2024
12,0,0,1,CL101,7/7/2024
13,17,1,1,CL101,7/7/2024
14,0,0,1,CL101,7/7/2024
15,353,36,1,CL101,7/7/2024
16,220,40,1,CL101,7/7/2024
17,1,0,1,CL101,7/7/2024
18,320,78,1,CL101,7/7/2024
19,4,0,1,CL101,7/7/2024
20,1,0,1,CL101,7/7/2024
21,5,0,1,CL101,7/7/2024
22,118,10,1,CL101,7/7/2024
23,0,0,1,CL101,7/7/2024
24,4,0,1,CL101,7/7/2024
25,1,0,1,CL101,7/7/2024
1,2,0,3,CL101,7/7/2024
2,0,0,3,CL101,7/7/2024
3,436,13,3,CL101,7/7/2024
4,24,1,3,CL101,7/7/2024
5,54,6,3,CL101,7/7/2024
6,116,25,3,CL101,7/7/2024
7,91,7,3,CL101,7/7/2024
8,uncountable,136,3,CL101,7/7/2024
9,1,0,3,CL101,7/7/2024
10,16,1,3,CL101,7/7/2024
11,7,0,3,CL101,7/7/2024
12,0,0,3,CL101,7/7/2024
13,2,1,3,CL101,7/7/2024
14,179,34,3,CL101,7/7/2024
15,16,1,3,CL101,7/7/2024
16,6,1,3,CL101,7/7/2024
17,1,1,3,CL101,7/7/2024
18,107,21,3,CL101,7/7/2024
19,0,0,3,CL101,7/7/2024
20,>626,110,3,CL101,7/7/2024
21,220,43,3,CL101,7/7/2024
22,2,2,3,CL101,7/7/2024
23,219,47,3,CL101,7/7/2024
24,1,0,3,CL101,7/7/2024
25,8,2,3,CL101,7/7/2024
1,262,20,5,CL101,7/7/2024
2,1,0,5,CL101,7/7/2024
3,48,3,5,CL101,7/7/2024
4,4,0,5,CL101,7/7/2024
5,3,2,5,CL101,7/7/2024
6,68,3,5,CL101,7/7/2024
7,0,0,5,CL101,7/7/2024
8,17,1,5,CL101,7/7/2024
9,uncountable,260,5,CL101,7/7/2024
10,,35,5,CL101,7/7/2024
11,2,0,5,CL101,7/7/2024
12,23,4,5,CL101,7/7/2024
13,7,1,5,CL101,7/7/2024
14,uncountable,39,5,CL101,7/7/2024
15,1,0,5,CL101,7/7/2024
16,4,0,5,CL101,7/7/2024
17,123,15,5,CL101,7/7/2024
18,1,0,5,CL101,7/7/2024
19,7,0,5,CL101,7/7/2024
20,1,0,5,CL101,7/7/2024
21,uncountable,85,5,CL101,7/7/2024
22,10,3,5,CL101,7/7/2024
23,>347,76,5,CL101,7/7/2024
24,>210,118,5,CL101,7/7/2024
25,1,0,5,CL101,7/7/2024
1,uncountable,113,7,CL101,7/7/2024
2,0,0,7,CL101,7/7/2024
3,46,25,7,CL101,7/7/2024
4,uncountable,175,7,CL101,7/7/2024
5,0,0,7,CL101,7/7/2024
6,uncountable,46,7,CL101,7/7/2024
7,uncountable,500,7,CL101,7/7/2024
8,175,38,7,CL101,7/7/2024
9,8,5,7,CL101,7/7/2024
10,11,0,7,CL101,7/7/2024
11,uncountable,42,7,CL101,7/7/2024
12,12,3,7,CL101,7/7/2024
13,0,0,7,CL101,7/7/2024
14,15,4,7,CL101,7/7/2024
15,uncountable,52,7,CL101,7/7/2024
16,uncountable,99,7,CL101,7/7/2024
17,uncountable,450,7,CL101,7/7/2024
18,24,4,7,CL101,7/7/2024
19,157,17,7,CL101,7/7/2024
20,3,0,7,CL101,7/7/2024
21,2,0,7,CL101,7/7/2024
22,uncountable,258,7,CL101,7/7/2024
23,uncountable,249,7,CL101,7/7/2024
24,1,0,7,CL101,7/7/2024
25,10,2,7,CL101,7/7/2024
1,uncountable,75,9,CL101,7/7/2024
2,123,13,9,CL101,7/7/2024
3,uncountable,435,9,CL101,7/7/2024
4,97,22,9,CL101,7/7/2024
5,208,18,9,CL101,7/7/2024
6,uncountale?,113,9,CL101,7/7/2024
7,56,21,9,CL101,7/7/2024
8,86,17,9,CL101,7/7/2024
9,uncountable,500,9,CL101,7/7/2024
10,13,2,9,CL101,7/7/2024
11,uncountable?,119,9,CL101,7/7/2024
12,9,1,9,CL101,7/7/2024
13,uncountable,275,9,CL101,7/7/2024
14,uncountable,90,9,CL101,7/7/2024
15,10,1,9,CL101,7/7/2024
16,21,5,9,CL101,7/7/2024
17,94,22,9,CL101,7/7/2024
18,uncountable,195,9,CL101,7/7/2024
19,17,1,9,CL101,7/7/2024
20,0,0,9,CL101,7/7/2024
21,278,65,9,CL101,7/7/2024
22,50,6,9,CL101,7/7/2024
23,291,58,9,CL101,7/7/2024
24,33,6,9,CL101,7/7/2024
25,59,10,9,CL101,7/7/2024
