ID,CFU_22,CFU_222,Day,Exp,Sync
1,9,3,1,ST008,8/17/2024
2,0,0,1,ST008,8/17/2024
3,35,0,1,ST008,8/17/2024
4,5,0,1,ST008,8/17/2024
5,0,0,1,ST008,8/17/2024
6,3,0,1,ST008,8/17/2024
7,0,0,1,ST008,8/17/2024
8,0,0,1,ST008,8/17/2024
9,3,0,1,ST008,8/17/2024
10,0,0,1,ST008,8/17/2024
11,1,0,1,ST008,8/17/2024
12,0,0,1,ST008,8/17/2024
13,0,0,1,ST008,8/17/2024
14,0,0,1,ST008,8/17/2024
15,0,0,1,ST008,8/17/2024
16,0,0,1,ST008,8/17/2024
17,0,0,1,ST008,8/17/2024
18,0,0,1,ST008,8/17/2024
19,0,0,1,ST008,8/17/2024
20,0,0,1,ST008,8/17/2024
21,0,0,1,ST008,8/17/2024
22,12,2,1,ST008,8/17/2024
23,0,0,1,ST008,8/17/2024
24,1,2,1,ST008,8/17/2024
25,148,17,1,ST008,8/17/2024
1,16,2,3,ST008,8/17/2024
2,46,6,3,ST008,8/17/2024
3,4,0,3,ST008,8/17/2024
4,0,0,3,ST008,8/17/2024
5,0,0,3,ST008,8/17/2024
6,0,0,3,ST008,8/17/2024
7,0,0,3,ST008,8/17/2024
8,0,0,3,ST008,8/17/2024
9,2,0,3,ST008,8/17/2024
10,2,0,3,ST008,8/17/2024
11,49,6,3,ST008,8/17/2024
12,0,0,3,ST008,8/17/2024
13,0,0,3,ST008,8/17/2024
14,0,0,3,ST008,8/17/2024
15,0,0,3,ST008,8/17/2024
16,2,0,3,ST008,8/17/2024
17,0,0,3,ST008,8/17/2024
18,2,0,3,ST008,8/17/2024
19,61,10,3,ST008,8/17/2024
20,0,0,3,ST008,8/17/2024
21,0,0,3,ST008,8/17/2024
22,0,0,3,ST008,8/17/2024
23,0,0,3,ST008,8/17/2024
24,0,0,3,ST008,8/17/2024
25,0,0,3,ST008,8/17/2024
1,1,0,5,ST008,8/17/2024
2,1,0,5,ST008,8/17/2024
3,0,0,5,ST008,8/17/2024
4,0,0,5,ST008,8/17/2024
5,10,1,5,ST008,8/17/2024
6,0,0,5,ST008,8/17/2024
7,625,74,5,ST008,8/17/2024
8,28,2,5,ST008,8/17/2024
9,unc,316,5,ST008,8/17/2024
10,3,0,5,ST008,8/17/2024
11,13,0,5,ST008,8/17/2024
12,2,1,5,ST008,8/17/2024
13,1,0,5,ST008,8/17/2024
14,4,1,5,ST008,8/17/2024
15,0,0,5,ST008,8/17/2024
16,0,0,5,ST008,8/17/2024
17,0,0,5,ST008,8/17/2024
18,53,5,5,ST008,8/17/2024
19,0,0,5,ST008,8/17/2024
