Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
1,7,0,,1,1/9/2025
2,3,0,,1,1/9/2025
3,1,0,,1,1/9/2025
4,233,37,,1,1/9/2025
5,0,0,,1,1/9/2025
6,40,4,,1,1/9/2025
7,96,7,,1,1/9/2025
8,10,0,,1,1/9/2025
9,4,1,,1,1/9/2025
10,5,3,,1,1/9/2025
11,0,0,,1,1/9/2025
12,7,0,,1,1/9/2025
13,0,0,,1,1/9/2025
14,7,7,,1,1/9/2025
15,0,0,,1,1/9/2025
16,109,6,,1,1/9/2025
17,0,0,,1,1/9/2025
18,0,0,,1,1/9/2025
19,unc,76,,1,1/9/2025
20,0,0,,1,1/9/2025
21,91,2,,1,1/9/2025
22,>260,45,,1,1/9/2025
23,1,0,,1,1/9/2025
24,1,0,,1,1/9/2025
25,1,0,,1,1/9/2025
1,2,1,,3,1/9/2025
2,unc,300,,3,1/9/2025
3,0,0,,3,1/9/2025
4,0,0,,3,1/9/2025
5,77,10,,3,1/9/2025
6,13,0,,3,1/9/2025
7,3,0,,3,1/9/2025
8,unc,334,,3,1/9/2025
9,2,1,,3,1/9/2025
10,7,1,,3,1/9/2025
11,5,0,,3,1/9/2025
12,19,3,,3,1/9/2025
13,6,1,,3,1/9/2025
14,unc,395,,3,1/9/2025
15,205,27,,3,1/9/2025
16,0,0,,3,1/9/2025
17,40,5,,3,1/9/2025
18,2,0,,3,1/9/2025
19,0,0,,3,1/9/2025
20,56,4,,3,1/9/2025
21,2,0,,3,1/9/2025
22,2,0,,3,1/9/2025
23,0,0,,3,1/9/2025
24,1,0,,3,1/9/2025
25,3,0,,3,1/9/2025
1,0,0,0,5,1/9/2025
2,2,0,0,5,1/9/2025
3,34,3,0,5,1/9/2025
4,unc,300,38,5,1/9/2025
5,0,0,0,5,1/9/2025
6,12,2,0,5,1/9/2025
7,9,0,1,5,1/9/2025
8,6,0,0,5,1/9/2025
9,8,2,0,5,1/9/2025
10,5,1,0,5,1/9/2025
11,unc,unc,63,5,1/9/2025
12,unc,41,28,5,1/9/2025
13,7,0,0,5,1/9/2025
14,unc,unc,36,5,1/9/2025
15,11,2,0,5,1/9/2025
16,unc,unc,402,5,1/9/2025
17,unc,unc,42,5,1/9/2025
18,13,0,0,5,1/9/2025
19,22,3,0,5,1/9/2025
20,257,39,3,5,1/9/2025
21,0,0,0,5,1/9/2025
22,73,7,0,5,1/9/2025
23,11,2,0,5,1/9/2025
24,2,0,0,5,1/9/2025
25,84,7,2,5,1/9/2025
1,unc,301,41,7,1/9/2025
2,unc,79,14,7,1/9/2025
3,60,8,4,7,1/9/2025
4,1,1,0,7,1/9/2025
5,unc,unc,74,7,1/9/2025
6,6,0,0,7,1/9/2025
7,5,0,0,7,1/9/2025
8,5,2,0,7,1/9/2025
9,unc,49,4,7,1/9/2025
10,19,1,1,7,1/9/2025
11,unc,unc,81,7,1/9/2025
12,unc,unc,64,7,1/9/2025
13,1,0,0,7,1/9/2025
14,16,1,1,7,1/9/2025
15,5,0,0,7,1/9/2025
16,12,1,0,7,1/9/2025
17,30,3,0,7,1/9/2025
18,unc,unc,453,7,1/9/2025
19,22,2,1,7,1/9/2025
20,3,1,0,7,1/9/2025
21,0,1,0,7,1/9/2025
22,unc,79,10,7,1/9/2025
23,9,2,0,7,1/9/2025
24,27,3,0,7,1/9/2025
25,unc,58,9,7,1/9/2025
1,40,7,4,9,1/9/2025
2,unc,165,20,9,1/9/2025
3,unc,47,10,9,1/9/2025
4,unc,unc,46,9,1/9/2025
5,unc,unc,120,9,1/9/2025
6,unc,unc,69,9,1/9/2025
7,unc,unc,170,9,1/9/2025
8,unc,unc,147,9,1/9/2025
9,unc,98,18,9,1/9/2025
10,97,18,2,9,1/9/2025
11,83,7,1,9,1/9/2025
12,199,23,3,9,1/9/2025
13,6,1,0,9,1/9/2025
14,0,0,0,9,1/9/2025
15,unc,unc,38,9,1/9/2025
16,unc,unc,63,9,1/9/2025
17,unc,unc,267,9,1/9/2025
18,0,0,0,9,1/9/2025
19,unc,unc,125,9,1/9/2025
20,109,14,0,9,1/9/2025
21,unc,271,52,9,1/9/2025
22,unc,unc,45,9,1/9/2025
23,25,3,0,9,1/9/2025
24,4,0,0,9,1/9/2025
25,5,0,0,9,1/9/2025
1,110,10,,1,1/21/2025
2,unc,81,,1,1/21/2025
3,unc,77,,1,1/21/2025
4,22,1,,1,1/21/2025
5,1,0,,1,1/21/2025
6,unc,33,,1,1/21/2025
7,unc,19,,1,1/21/2025
8,54,22,,1,1/21/2025
9,0,0,,1,1/21/2025
10,1,0,,1,1/21/2025
11,0,0,,1,1/21/2025
12,0,0,,1,1/21/2025
13,1,0,,1,1/21/2025
14,unc,6,,1,1/21/2025
15,7,2,,1,1/21/2025
16,unc,83,,1,1/21/2025
17,unc,50,,1,1/21/2025
18,0,0,,1,1/21/2025
19,0,0,,1,1/21/2025
20,135,33,,1,1/21/2025
21,10,2,,1,1/21/2025
22,0,0,,1,1/21/2025
23,16,3,,1,1/21/2025
24,0,0,,1,1/21/2025
25,99,23,,1,1/21/2025
1,311,278,45,3,1/21/2025
2,unc,45,1,3,1/21/2025
3,unc,unc,12,3,1/21/2025
4,unc,51,0,3,1/21/2025
5,349,28,0,3,1/21/2025
6,1,0,0,3,1/21/2025
7,unc,240,19,3,1/21/2025
8,unc,232,27,3,1/21/2025
9,5,0,0,3,1/21/2025
10,unc,205,27,3,1/21/2025
