Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
1,4,1,,1,2/17/2025
2,3,0,,1,2/17/2025
3,0,0,,1,2/17/2025
4,2,0,,1,2/17/2025
5,0,0,,1,2/17/2025
6,2,2,,1,2/17/2025
7,4,4,,1,2/17/2025
8,2,2,,1,2/17/2025
9,0,0,,1,2/17/2025
10,1,1,,1,2/17/2025
11,0,0,,1,2/17/2025
12,1,0,,1,2/17/2025
13,1,0,,1,2/17/2025
14,0,0,,1,2/17/2025
15,0,0,,1,2/17/2025
16,0,0,,1,2/17/2025
17,0,0,,1,2/17/2025
18,2,1,,1,2/17/2025
19,0,0,,1,2/17/2025
20,25,2,,1,2/17/2025
21,0,0,,1,2/17/2025
22,2,0,,1,2/17/2025
23,0,0,,1,2/17/2025
24,4,0,,1,2/17/2025
25,7,1,,1,2/17/2025
1,0,0,,3,2/17/2025
2,3,2,,3,2/17/2025
3,0,0,,3,2/17/2025
4,0,0,,3,2/17/2025
5,2,1,,3,2/17/2025
6,1,0,,3,2/17/2025
7,0,0,,3,2/17/2025
8,0,0,,3,2/17/2025
9,2,0,,3,2/17/2025
10,0,0,,3,2/17/2025
11,0,0,,3,2/17/2025
12,1,0,,3,2/17/2025
13,0,0,,3,2/17/2025
14,0,0,,3,2/17/2025
15,1,0,,3,2/17/2025
16,0,0,,3,2/17/2025
17,0,0,,3,2/17/2025
18,2,1,,3,2/17/2025
19,0,0,,3,2/17/2025
20,unc,67,,3,2/17/2025
21,229,36,,3,2/17/2025
22,unc,49,,3,2/17/2025
23,unc,97,,3,2/17/2025
24,7,1,,3,2/17/2025
25,0,0,,3,2/17/2025
1,18,5,,5,2/17/2025
2,4,0,,5,2/17/2025
3,6,0,,5,2/17/2025
4,0,0,,5,2/17/2025
5,0,0,,5,2/17/2025
6,0,0,,5,2/17/2025
7,0,0,,5,2/17/2025
8,44,4,,5,2/17/2025
9,0,1,,5,2/17/2025
10,8,2,,5,2/17/2025
11,0,0,,5,2/17/2025
12,0,0,,5,2/17/2025
13,6,0,,5,2/17/2025
14,3,0,,5,2/17/2025
15,0,0,,5,2/17/2025
16,0,0,,5,2/17/2025
17,0,1,,5,2/17/2025
18,0,0,,5,2/17/2025
19,0,0,,5,2/17/2025
20,12,1,,5,2/17/2025
21,0,0,,5,2/17/2025
