Worm #,CFU_22,CFU_222,CFU_2222,PFU,Day,Exp,Sync,
1,0,0,,0,1,ST041,3/25/2025,
2,0,0,,0,1,ST041,3/25/2025,
3,3,0,,0,1,ST041,3/25/2025,
4,17,1,,0,1,ST041,3/25/2025,
5,2,0,,0,1,ST041,3/25/2025,
6,0,1,,0,1,ST041,3/25/2025,
7,20,2,,0,1,ST041,3/25/2025,
8,0,0,,0,1,ST041,3/25/2025,
9,13,0,,0,1,ST041,3/25/2025,
10,6,1,,0,1,ST041,3/25/2025,
11,7,2,,0,1,ST041,3/25/2025,
12,0,0,,0,1,ST041,3/25/2025,
13,0,0,,0,1,ST041,3/25/2025,
14,7,1,,0,1,ST041,3/25/2025,
15,1,0,,0,1,ST041,3/25/2025,
16,0,0,,0,1,ST041,3/25/2025,
17,31,4,,0,1,ST041,3/25/2025,
18,16,1,,0,1,ST041,3/25/2025,
19,1,0,,0,1,ST041,3/25/2025,
20,4,0,,0,1,ST041,3/25/2025,
21,3,0,,0,1,ST041,3/25/2025,
22,0,0,,0,1,ST041,3/25/2025,
23,0,0,,0,1,ST041,3/25/2025,
24,1,0,,0,1,ST041,3/25/2025,
25,0,0,,0,1,ST041,3/25/2025,
1,0,0,,0,3,ST041,3/25/2025,
2,1,0,,0,3,ST041,3/25/2025,
3,0,0,,0,3,ST041,3/25/2025,
4,0,0,,0,3,ST041,3/25/2025,
5,0,0,,0,3,ST041,3/25/2025,
6,0,0,,0,3,ST041,3/25/2025,
7,0,0,,0,3,ST041,3/25/2025,
8,0,0,,0,3,ST041,3/25/2025,
9,0,0,,0,3,ST041,3/25/2025,
10,0,0,,0,3,ST041,3/25/2025,
11,1,0,,0,3,ST041,3/25/2025,
12,0,0,,0,3,ST041,3/25/2025,
13,1,0,,0,3,ST041,3/25/2025,
14,12,0,,0,3,ST041,3/25/2025,
15,0,0,,0,3,ST041,3/25/2025,
16,0,0,,0,3,ST041,3/25/2025,
17,0,0,,0,3,ST041,3/25/2025,
18,0,0,,0,3,ST041,3/25/2025,
19,0,0,,0,3,ST041,3/25/2025,
20,0,0,,0,3,ST041,3/25/2025,
21,1,0,,0,3,ST041,3/25/2025,
22,1,0,,0,3,ST041,3/25/2025,
23,69,8,,0,3,ST041,3/25/2025,
24,0,0,,0,3,ST041,3/25/2025,
25,0,0,,0,3,ST041,3/25/2025,
1,230,16,,0,5,ST041,3/25/2025,
2,1,0,,0,5,ST041,3/25/2025,
3,unc,212,,0,5,ST041,3/25/2025,
4,unc,96,,0,5,ST041,3/25/2025,
5,0,0,,0,5,ST041,3/25/2025,
6,0,0,,0,5,ST041,3/25/2025,
7,0,0,,0,5,ST041,3/25/2025,
8,0,0,,0,5,ST041,3/25/2025,
