Worm #,CFU_2,CFU_22,CFU_222,CFU_2222,Day,Cycle
1,4,0,0,,1,ST088
2,105,16,1,,1,ST088
3,1,0,0,,1,ST088
4,0,0,0,,1,ST088
5,17,0,0,,1,ST088
6,0,0,0,,1,ST088
7,9,1,0,,1,ST088
8,0,0,0,,1,ST088
9,6,0,0,,1,ST088
10,196,13,4,,1,ST088
11,0,0,0,,1,ST088
12,unc,190,11,,1,ST088
13,0,0,0,,1,ST088
14,2,0,0,,1,ST088
15,18,3,0,,1,ST088
16,unc,272,53,,1,ST088
17,unc,159,26,,1,ST088
18,0,0,0,,1,ST088
19,11,3,0,,1,ST088
20,0,0,0,,1,ST088
21,unc,unc,116,,1,ST088
22,unc,unc,285,,1,ST088
23,unc,unc,4,,1,ST088
24,1,1,0,,1,ST088
25,146,17,3,,1,ST088
1,4,0,0,,3,ST088
2,2,0,0,,3,ST088
3,0,1,0,,3,ST088
4,unc,unc,199,,3,ST088
5,unc,unc,42,,3,ST088
6,290,34,4,,3,ST088
7,5,4,0,,3,ST088
8,5,1,0,,3,ST088
9,unc,unc,116,,3,ST088
10,15,5,1,,3,ST088
11,2,0,0,,3,ST088
12,6,0,0,,3,ST088
13,79,16,1,,3,ST088
14,unc,594,59,,3,ST088
15,15,3,0,,3,ST088
16,60,6,1,,3,ST088
17,2,0,0,,3,ST088
18,unc,472,65,,3,ST088
19,4,0,0,,3,ST088
20,17,2,0,,3,ST088
21,unc,193,24,,3,ST088
22,unc,unc,65,,3,ST088
23,127,11,2,,3,ST088
24,477,39,3,,3,ST088
25,1,0,0,,3,ST088
1,23,4,0,0,5,ST088
2,2,1,0,0,5,ST088
3,0,0,0,0,5,ST088
4,1,0,0,0,5,ST088
5,8,3,0,0,5,ST088
6,2,1,0,0,5,ST088
7,unc,63,8,0,5,ST088
8,1,0,0,0,5,ST088
9,13,0,0,0,5,ST088
10,unc,597,74,7,5,ST088
11,90,3,0,0,5,ST088
12,8,0,0,0,5,ST088
13,396,35,2,1,5,ST088
14,8,0,0,0,5,ST088
15,unc,134,12,3,5,ST088
16,158,23,1,1,5,ST088
17,399,47,4,0,5,ST088
18,4,1,0,0,5,ST088
19,2,0,0,0,5,ST088
20,5,0,0,0,5,ST088
21,4,0,0,0,5,ST088
22,unc,unc,53,5,5,ST088
23,3,1,0,0,5,ST088
24,1,0,0,0,5,ST088
25,16,2,0,0,5,ST088
1,8,0,0,,7,ST088
2,205,29,2,,7,ST088
3,32,3,0,,7,ST088
4,53,0,0,,7,ST088
5,unc,unc,96,,7,ST088
6,62,8,0,,7,ST088
7,9,1,0,,7,ST088
8,8,0,0,,7,ST088
9,32,3,0,,7,ST088
10,31,3,0,,7,ST088
11,219,30,1,,7,ST088
12,unc,unc,251,,7,ST088
13,14,0,0,,7,ST088
14,unc,227,27,,7,ST088
15,28,4,0,,7,ST088
16,unc,99,12,,7,ST088
17,unc,58,3,,7,ST088
18,7,2,0,,7,ST088
19,7,2,0,,7,ST088
20,unc,unc,77,,7,ST088
21,17,0,1,,7,ST088
22,71,3,0,,7,ST088
23,47,4,0,,7,ST088
24,unc,115,6,,7,ST088
25,11,4,0,,7,ST088
1,unc,254,30,2,9,ST088
2,unc,unc,205,23,9,ST088
3,39,0,0,0,9,ST088
4,412,50,5,0,9,ST088
5,unc,69,5,1,9,ST088
6,unc,unc,138,14,9,ST088
7,0,0,0,0,9,ST088
8,4,0,0,0,9,ST088
9,unc,427,45,0,9,ST088
10,unc,unc,21,2,9,ST088
11,71,5,0,0,9,ST088
12,unc,unc,112,12,9,ST088
13,94,9,0,0,9,ST088
14,unc,133,8,0,9,ST088
15,imc,413,64,6,9,ST088
16,52,5,2,0,9,ST088
17,unc,unc,unc,4,9,ST088
18,unc,unc,82,14,9,ST088
19,26,2,0,0,9,ST088
20,0,0,0,0,9,ST088
