Worm #,CFU_2,CFU_22,CFU_222,CFU_2222,PFU_2,Day,Cycle
1,7,0,0,,0,1,ST088
2,1,0,0,,0,1,ST088
3,0,0,0,,0,1,ST088
4,0,0,0,,0,1,ST088
5,0,0,0,,0,1,ST088
6,0,0,0,,0,1,ST088
7,unc,290,26,,0,1,ST088
8,unc,186,13,,0,1,ST088
9,0,0,0,,0,1,ST088
10,3,0,0,,0,1,ST088
11,0,0,0,,0,1,ST088
12,1,0,0,,0,1,ST088
13,11,0,1,,0,1,ST088
14,0,0,0,,0,1,ST088
15,unc,68,8,,0,1,ST088
16,0,0,0,,0,1,ST088
17,0,0,0,,0,1,ST088
18,unc,385,42,,0,1,ST088
19,0,0,0,,0,1,ST088
20,1,0,0,,0,1,ST088
21,0,0,0,,0,1,ST088
22,1,0,0,,0,1,ST088
23,0,1,0,,0,1,ST088
24,0,0,0,,0,1,ST088
25,68,6,3,,0,1,ST088
1,0,0,0,,0,3,ST088
2,0,0,0,,0,3,ST088
3,unc,69,7,,0,3,ST088
4,1,0,0,,3,3,ST088
5,2,0,0,,8,3,ST088
6,0,0,0,,1,3,ST088
7,2,0,0,,0,3,ST088
8,3,0,0,,1,3,ST088
9,0,0,0,,0,3,ST088
10,0,0,0,,1,3,ST088
11,1,0,0,,0,3,ST088
12,0,0,0,,0,3,ST088
13,0,0,0,,17,3,ST088
14,2,0,0,,1,3,ST088
15,1,0,1,,1,3,ST088
16,unc,43,1,,4,3,ST088
17,0,0,0,,0,3,ST088
18,0,0,0,,2,3,ST088
19,5,0,0,,2,3,ST088
20,10,0,0,,5,3,ST088
21,0,0,0,,0,3,ST088
22,0,0,0,,0,3,ST088
23,0,0,0,,2,3,ST088
24,84,7,0,,12,3,ST088
25,0,0,0,,0,3,ST088
1,unc,364,28,,11,5,ST088
2,64,7,179,,41,5,ST088
3,0,0,0,,1,5,ST088
4,0,0,0,,27,5,ST088
5,0,0,0,,0,5,ST088
6,unc,84,0,,0,5,ST088
7,0,0,0,,0,5,ST088
8,0,0,1,,1,5,ST088
9,unc,105,89,,0,5,ST088
10,1,0,17,,2,5,ST088
11,0,0,1,,0,5,ST088
12,0,0,3,,0,5,ST088
13,0,0,0,,7,5,ST088
14,unc,1524,7,,39,5,ST088
15,110,10,45,,5,5,ST088
16,0,0,26,,1,5,ST088
17,0,0,15,,5,5,ST088
18,0,0,0,,8,5,ST088
19,0,0,0,,0,5,ST088
20,1,0,0,,0,5,ST088
21,0,0,7,,1,5,ST088
22,50,4,0,,9,5,ST088
23,0,0,1,,0,5,ST088
24,0,0,53,,0,5,ST088
25,0,0,0,,18,5,ST088
1,0,0,0,,7,7,ST088
2,160,15,2,,26,7,ST088
3,0,0,0,,1,7,ST088
4,70,7,0,,0,7,ST088
5,0,0,0,,28,7,ST088
6,0,0,0,,0,7,ST088
7,0,0,0,,15,7,ST088
8,0,0,0,,3,7,ST088
9,unc,492,43,,0,7,ST088
10,2,0,0,,179,7,ST088
11,0,0,0,,1,7,ST088
12,unc,81,6,,0,7,ST088
13,69,6,0,,0,7,ST088
14,13,0,0,,1,7,ST088
15,4,0,0,,0,7,ST088
16,3,0,0,,53,7,ST088
17,2,1,0,,0,7,ST088
18,0,0,0,,7,7,ST088
19,0,0,0,,89,7,ST088
20,0,0,0,,0,7,ST088
21,0,0,0,,0,7,ST088
22,0,0,0,,0,7,ST088
23,0,0,0,,45,7,ST088
24,7,1,0,,17,7,ST088
25,0,0,0,,0,7,ST088
1,0,0,0,,2,9,ST088
2,0,0,0,,2,9,ST088
3,unc,369,31,,1,9,ST088
4,0,0,0,,12,9,ST088
5,0,0,0,,1,9,ST088
6,0,0,0,,1,9,ST088
7,unc,unc,150,,173,9,ST088
8,0,0,0,,1,9,ST088
9,unc,unc,51,,79,9,ST088
10,0,0,0,,0,9,ST088
11,0,0,0,,4,9,ST088
12,0,0,0,,55,9,ST088
13,unc,80,6,,6,9,ST088
14,unc,unc,608,,738,9,ST088
15,0,0,0,,50,9,ST088
16,unc,unc,99,,0,9,ST088
17,unc,unc,61,,83,9,ST088
18,0,0,0,,11,9,ST088
19,unc,320,35,,80,9,ST088
20,0,0,0,,0,9,ST088
21,0,0,0,,17,9,ST088
22,2,0,0,,1,9,ST088
23,0,0,0,,78,9,ST088
24,0,0,0,,105,9,ST088
25,unc,649,53,,464,9,ST088
1,unc,0,0,,,1,CL100225
2,unc,0,0,,,1,CL100225
3,unc,0,0,,,1,CL100225
4,unc,0,0,,,1,CL100225
5,unc,0,0,,,1,CL100225
6,unc,0,0,,,1,CL100225
7,unc,19,1,,,1,CL100225
8,unc,0,0,,,1,CL100225
9,unc,0,0,,,1,CL100225
10,unc,unc,53,,,1,CL100225
11,unc,0,0,,,1,CL100225
12,unc,0,0,,,1,CL100225
13,unc,0,0,,,1,CL100225
14,unc,0,0,,,1,CL100225
15,unc,0,0,,,1,CL100225
16,unc,0,0,,,1,CL100225
17,unc,0,0,,,1,CL100225
18,unc,0,0,,,1,CL100225
19,unc,0,0,,,1,CL100225
20,unc,0,0,,,1,CL100225
21,unc,0,0,,,1,CL100225
22,unc,3,2,,,1,CL100225
23,unc,0,0,,,1,CL100225
24,unc,0,0,,,1,CL100225
25,unc,0,0,,,1,CL100225
1,0,0,,,0,3,CL100225
2,0,0,,,0,3,CL100225
3,0,0,,,0,3,CL100225
4,0,0,,,0,3,CL100225
5,0,1,,,0,3,CL100225
6,0,0,,,0,3,CL100225
7,0,0,,,0,3,CL100225
8,0,0,,,43,3,CL100225
9,1,0,,,0,3,CL100225
10,0,0,,,0,3,CL100225
11,0,0,,,0,3,CL100225
12,0,0,,,1,3,CL100225
13,0,0,,,0,3,CL100225
14,0,0,,,2,3,CL100225
15,0,0,,,0,3,CL100225
16,0,0,,,0,3,CL100225
17,0,0,,,0,3,CL100225
18,0,0,,,0,3,CL100225
19,0,0,,,0,3,CL100225
20,0,0,,,1,3,CL100225
21,0,0,,,0,3,CL100225
22,0,0,,,4,3,CL100225
23,0,0,,,0,3,CL100225
24,0,0,,,0,3,CL100225
25,0,0,,,0,3,CL100225
1,0,0,,,3,5,CL100225
2,1,0,,,0,5,CL100225
3,0,0,,,3,5,CL100225
4,0,0,,,0,5,CL100225
5,0,0,,,53,5,CL100225
6,4,0,,,0,5,CL100225
7,0,0,,,0,5,CL100225
8,0,0,,,0,5,CL100225
9,unc,unc (1500),,,98,5,CL100225
10,0,0,,,0,5,CL100225
