Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
1,0,0,,1,12/30/2024
2,0,0,,1,12/30/2024
3,0,0,,1,12/30/2024
4,0,0,,1,12/30/2024
5,0,0,,1,12/30/2024
6,0,0,,1,12/30/2024
7,26,5,,1,12/30/2024
8,19,2,,1,12/30/2024
9,213,30,,1,12/30/2024
10,0,0,,1,12/30/2024
11,0,0,,1,12/30/2024
12,1,0,,1,12/30/2024
13,2,0,,1,12/30/2024
14,2,0,,1,12/30/2024
15,4,1,,1,12/30/2024
16,0,0,,1,12/30/2024
17,76,9,,1,12/30/2024
18,0,0,,1,12/30/2024
19,1,0,,1,12/30/2024
20,1,0,,1,12/30/2024
21,0,0,,1,12/30/2024
22,0,0,,1,12/30/2024
23,5,0,,1,12/30/2024
24,0,0,,1,12/30/2024
25,0,0,,1,12/30/2024
1,unc,110,,3,12/30/2024
2,6,1,,3,12/30/2024
3,6,1,,3,12/30/2024
4,27,2,,3,12/30/2024
5,0,0,,3,12/30/2024
6,233,18,,3,12/30/2024
7,462,52,,3,12/30/2024
8,0,0,,3,12/30/2024
9,unc,136,,3,12/30/2024
10,0,0,,3,12/30/2024
11,0,0,,3,12/30/2024
12,3,0,,3,12/30/2024
13,752,56,,3,12/30/2024
14,1,0,,3,12/30/2024
15,5,0,,3,12/30/2024
16,146,10,,3,12/30/2024
17,0,0,,3,12/30/2024
18,unc,92,,3,12/30/2024
19,83,2,,3,12/30/2024
20,2,0,,3,12/30/2024
21,2,0,,3,12/30/2024
22,1,0,,3,12/30/2024
23,499,52,,3,12/30/2024
24,95,7,,3,12/30/2024
25,60,7,,3,12/30/2024
1,9,0,0,5,12/30/2024
2,unc,191,36,5,12/30/2024
3,199,20,4,5,12/30/2024
4,51,3,0,5,12/30/2024
5,63,5,0,5,12/30/2024
6,unc,535,68,5,12/30/2024
7,214,18,3,5,12/30/2024
8,unc,64,9,5,12/30/2024
9,unc,111,15,5,12/30/2024
10,0,0,0,5,12/30/2024
11,unc,316,42,5,12/30/2024
12,1,0,0,5,12/30/2024
13,7,1,0,5,12/30/2024
14,265,25,3,5,12/30/2024
15,173,30,7,5,12/30/2024
16,unc,218,21,5,12/30/2024
17,unc,65,8,5,12/30/2024
18,82,71,25,5,12/30/2024
19,unc,unc,185,5,12/30/2024
20,346,50,7,5,12/30/2024
21,0,0,0,5,12/30/2024
22,unc,370,53,5,12/30/2024
23,unc,125,29,5,12/30/2024
24,369,59,9,5,12/30/2024
25,unc,unc,243,5,12/30/2024
1,unc,65,13,7,12/30/2024
2,unc,unc,33,7,12/30/2024
3,unc,69,13,7,12/30/2024
4,27,3,0,7,12/30/2024
5,3,1,0,7,12/30/2024
6,unc,165,13,7,12/30/2024
7,3,0,0,7,12/30/2024
8,0,0,0,7,12/30/2024
9,unc,unc,58,7,12/30/2024
10,unc,157,22,7,12/30/2024
11,unc,264,34,7,12/30/2024
12,7,0,1,7,12/30/2024
13,17,4,0,7,12/30/2024
14,18,1,0,7,12/30/2024
15,unc,70,14,7,12/30/2024
16,unc,104,11,7,12/30/2024
17,39,4,2,7,12/30/2024
18,8,1,0,7,12/30/2024
19,unc,62,18,7,12/30/2024
20,61,5,0,7,12/30/2024
21,unc,unc,117,7,12/30/2024
22,unc,unc,63,7,12/30/2024
23,232,20,2,7,12/30/2024
24,1,1,0,7,12/30/2024
25,unc,48,6,7,12/30/2024
1,unc,407,37,9,12/30/2024
2,unc,282,43,9,12/30/2024
3,unc,403,46,9,12/30/2024
4,14,0,2,9,12/30/2024
5,unc,unc,121,9,12/30/2024
6,unc,unc,72,9,12/30/2024
7,20,1,0,9,12/30/2024
8,unc,unc,286,9,12/30/2024
9,1,0,0,9,12/30/2024
10,unc,unc,54,9,12/30/2024
11,38,5,2,9,12/30/2024
12,6,0,0,9,12/30/2024
13,unc,374,67,9,12/30/2024
14,unc,unc,193,9,12/30/2024
15,4,0,0,9,12/30/2024
16,unc,493,54,9,12/30/2024
17,unc,117,16,9,12/30/2024
18,140,7,0,9,12/30/2024
19,158,8,2,9,12/30/2024
20,unc,136,26,9,12/30/2024
21,unc,147,27,9,12/30/2024
22,4,0,0,9,12/30/2024
23,unc,202,44,9,12/30/2024
24,0,0,0,9,12/30/2024
25,unc,105,11,9,12/30/2024
