Worm #,CFU_22,CFU_222,CFU_2222,Day,Sync
1,0,0,,1,11/28/2024
2,0,0,,1,11/28/2024
3,unc,175,,1,11/28/2024
4,751,85,,1,11/28/2024
5,248,39,,1,11/28/2024
6,0,0,,1,11/28/2024
7,0,0,,1,11/28/2024
8,0,0,,1,11/28/2024
9,0,0,,1,11/28/2024
10,0,0,,1,11/28/2024
11,6,2,,1,11/28/2024
12,0,0,,1,11/28/2024
13,2,0,,1,11/28/2024
14,unc,236,,1,11/28/2024
15,0,0,,1,11/28/2024
16,0,0,,1,11/28/2024
17,0,0,,1,11/28/2024
18,0,0,,1,11/28/2024
19,125,17,,1,11/28/2024
20,723,103,,1,11/28/2024
21,9,1,,1,11/28/2024
22,52,0,,1,11/28/2024
23,7,1,,1,11/28/2024
24,0,0,,1,11/28/2024
25,5,0,,1,11/28/2024
1,0,0,,3,11/28/2024
2,1,0,,3,11/28/2024
3,unc,197,,3,11/28/2024
4,unc,127,,3,11/28/2024
5,34,4,,3,11/28/2024
6,unc,551,,3,11/28/2024
7,0,0,,3,11/28/2024
8,0,0,,3,11/28/2024
9,unc,295,,3,11/28/2024
10,0,0,,3,11/28/2024
11,1,0,,3,11/28/2024
12,5,0,,3,11/28/2024
13,unc,186,,3,11/28/2024
14,5,1,,3,11/28/2024
15,3,1,,3,11/28/2024
16,0,0,,3,11/28/2024
17,0,0,,3,11/28/2024
18,unc,340,,3,11/28/2024
19,0,0,,3,11/28/2024
20,unc,245,,3,11/28/2024
21,unc,519,,3,11/28/2024
22,0,0,,3,11/28/2024
23,0,0,,3,11/28/2024
24,0,0,,3,11/28/2024
25,1,0,,3,11/28/2024
1,1,0,0,5,11/28/2024
2,0,0,0,5,11/28/2024
3,0,0,0,5,11/28/2024
4,2,0,0,5,11/28/2024
5,0,0,0,5,11/28/2024
6,0,0,0,5,11/28/2024
7,2,0,0,5,11/28/2024
8,unc,210,54,5,11/28/2024
9,0,0,0,5,11/28/2024
10,2,0,0,5,11/28/2024
11,1,0,0,5,11/28/2024
12,1,0,0,5,11/28/2024
13,2,0,0,5,11/28/2024
14,5,2,0,5,11/28/2024
15,7,1,0,5,11/28/2024
16,0,0,0,5,11/28/2024
17,unc,436,127,5,11/28/2024
18,2,1,0,5,11/28/2024
19,unc,unc,186,5,11/28/2024
20,unc,57,3,5,11/28/2024
21,3,2,1,5,11/28/2024
22,1,0,0,5,11/28/2024
23,5,0,0,5,11/28/2024
24,12,1,0,5,11/28/2024
25,3,0,0,5,11/28/2024
1,2,0,0,7,11/28/2024
2,unc,317,24,7,11/28/2024
3,1,0,0,7,11/28/2024
4,unc,105,17,7,11/28/2024
5,28,3,1,7,11/28/2024
6,0,0,0,7,11/28/2024
7,3,0,0,7,11/28/2024
8,unc,259,11,7,11/28/2024
9,0,0,0,7,11/28/2024
10,0,1,0,7,11/28/2024
11,1,0,0,7,11/28/2024
12,6,1,1,7,11/28/2024
13,5,1,0,7,11/28/2024
14,0,0,0,7,11/28/2024
15,15,2,0,7,11/28/2024
16,30,7,0,7,11/28/2024
17,0,0,0,7,11/28/2024
18,5,0,0,7,11/28/2024
19,3,0,0,7,11/28/2024
20,0,0,0,7,11/28/2024
21,0,0,0,7,11/28/2024
22,0,0,0,7,11/28/2024
23,101,13,2,7,11/28/2024
24,4,1,0,7,11/28/2024
25,unc,146,15,7,11/28/2024
1,1,1,0,9,11/28/2024
2,2,1,0,9,11/28/2024
3,4,2,0,9,11/28/2024
4,83,17,1,9,11/28/2024
5,unc,118,34,9,11/28/2024
6,13,2,0,9,11/28/2024
7,0,0,0,9,11/28/2024
8,unc,234,32,9,11/28/2024
9,unc,171,44,9,11/28/2024
10,unc,217,18,9,11/28/2024
11,3,0,0,9,11/28/2024
12,225,13,1,9,11/28/2024
13,unc,183,unc,9,11/28/2024
14,unc,55,6,9,11/28/2024
15,unc,95,21,9,11/28/2024
16,unc,unc,145,9,11/28/2024
17,unc,39,1,9,11/28/2024
18,3,0,0,9,11/28/2024
19,unc,180,32,9,11/28/2024
20,80,9,2,9,11/28/2024
21,2,0,0,9,11/28/2024
22,4,0,0,9,11/28/2024
23,1,1,0,9,11/28/2024
24,21,0,0,9,11/28/2024
25,173,23,1,9,11/28/2024
