Worm #,CFU_22,CFU_222,CFU_2222,Day
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,1,0,0,1
7,0,0,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,1
21,0,0,0,1
22,0,0,0,1
23,1,0,0,1
24,1,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,0,1
28,0,0,0,1
29,0,0,0,1
30,0,0,0,1
31,1,0,0,1
32,0,0,0,1
33,0,0,0,1
34,3,0,0,1
35,0,0,0,1
36,0,0,0,1
37,0,0,0,1
38,0,0,0,1
39,0,0,0,1
40,0,0,0,1
41,0,0,0,1
42,0,0,0,1
43,0,0,0,1
44,0,0,0,1
45,0,0,0,1
46,0,0,0,1
47,0,0,0,1
48,0,0,0,1
49,1,0,0,1
50,1,0,0,1
51,0,0,0,1
52,2,0,0,1
53,0,0,0,1
54,0,0,0,1
55,0,0,0,1
56,0,0,0,1
57,0,0,0,1
58,0,0,0,1
59,0,0,0,1
60,0,0,0,1
61,0,0,0,1
62,0,0,0,1
63,0,0,0,1
64,0,0,0,1
65,0,0,0,1
66,0,0,0,1
67,0,0,0,1
68,0,0,0,1
69,0,0,0,1
70,0,0,0,1
71,0,0,0,1
72,0,0,0,1
73,0,0,0,1
74,0,0,0,1
75,0,0,0,1
1,0,0,0,3
2,0,0,0,3
3,0,0,0,3
4,0,0,0,3
5,0,0,0,3
6,0,0,0,3
7,1,0,0,3
8,6,1,0,3
9,0,0,0,3
10,2,0,0,3
11,0,0,0,3
12,0,0,0,3
13,4,0,1,3
14,6,0,0,3
15,1,0,0,3
16,0,0,0,3
17,0,0,0,3
18,1,0,0,3
19,0,0,0,3
20,3,0,0,3
21,2,1,0,3
22,0,0,0,3
23,0,0,0,3
24,0,0,0,3
25,0,1,0,3
26,0,0,0,3
27,0,0,0,3
28,1,0,0,3
29,2,0,0,3
30,0,1,0,3
31,0,0,0,3
32,0,0,0,3
33,0,0,0,3
34,0,0,0,3
35,6,0,0,3
36,2,0,0,3
37,2,0,0,3
38,1,0,0,3
39,0,0,0,3
40,0,0,0,3
41,1,0,0,3
42,0,1,0,3
43,0,0,0,3
44,0,0,0,3
45,18,1,0,3
46,1,1,0,3
47,0,0,0,3
48,0,0,0,3
49,1,0,0,3
50,0,0,0,3
51,2,1,0,3
52,0,0,0,3
53,1,0,0,3
54,2,0,0,3
55,0,0,0,3
56,0,0,0,3
57,0,0,0,3
58,0,0,0,3
59,0,0,0,3
60,0,0,0,3
61,0,0,0,3
62,0,0,0,3
63,6,0,0,3
64,1,0,0,3
65,0,0,0,3
66,4,0,0,3
67,0,0,0,3
68,0,0,0,3
69,0,0,0,3
70,7,0,0,3
71,0,0,0,3
72,0,0,0,3
73,1,0,0,3
74,0,0,0,3
75,0,0,0,3
1,0,0,0,5
2,73,13,0,5
3,16,1,1,5
4,5,2,0,5
5,0,0,0,5
6,8,2,0,5
7,1,0,0,5
8,6,2,0,5
9,1,0,0,5
10,23,1,0,5
11,4,0,0,5
12,0,0,0,5
13,5,0,0,5
14,0,0,0,5
15,0,0,0,5
16,0,0,0,5
17,0,0,0,5
18,15,1,0,5
19,129,18,5,5
20,2,0,0,5
21,0,0,0,5
22,23,3,0,5
23,102,12,3,5
24,0,0,0,5
25,0,0,0,5
26,49,3,0,5
27,0,0,0,5
28,5,1,0,5
29,0,0,0,5
30,0,0,0,5
31,0,0,0,5
32,0,0,0,5
33,1,0,0,5
34,7,1,0,5
35,0,0,0,5
36,0,0,0,5
37,22,3,0,5
38,0,0,0,5
39,28,6,0,5
40,1,0,0,5
41,0,0,0,5
42,9,1,0,5
43,0,0,0,5
44,7,1,0,5
45,0,0,0,5
46,0,0,0,5
47,0,0,0,5
48,0,0,0,5
49,0,0,0,5
50,54,5,0,5
51,0,0,0,5
52,17,4,1,5
53,9,0,0,5
54,0,0,0,5
55,0,0,0,5
56,0,0,0,5
57,6,1,0,5
58,60,9,1,5
59,0,0,0,5
60,5,0,0,5
61,3,0,0,5
62,7,0,0,5
63,0,0,0,5
64,0,0,0,5
65,3,0,0,5
66,12,0,0,5
67,2,0,0,5
68,2,0,0,5
69,247,24,4,5
70,101,10,1,5
71,54,9,0,5
72,133,10,2,5
73,6,1,0,5
74,0,0,0,5
75,2,1,0,5
1,336,36,2,7
2,738,60,10,7
3,0,0,0,7
4,4,0,0,7
5,2,0,0,7
6,1059,94,8,7
7,0,0,0,7
8,1242,130,10,7
9,24,2,0,7
10,207,14,1,7
11,269,16,3,7
12,0,0,0,7
13,101,11,2,7
14,906,92,8,7
15,6,1,0,7
16,1720,173,25,7
17,160,26,2,7
18,114,8,1,7
19,0,0,0,7
20,168,24,1,7
21,3079,316,33,7
22,0,0,0,7
23,1005,97,10,7
24,8,1,0,7
25,2,0,0,7
26,1,0,0,7
27,246,22,0,7
28,1448,158,20,7
29,6,2,0,7
30,99,6,0,7
31,675,62,7,7
32,1,0,0,7
33,21,3,0,7
34,0,0,0,7
35,9,0,0,7
36,99,13,1,7
37,0,0,0,7
38,0,0,0,7
39,31,3,0,7
40,136,17,3,7
41,2891,274,23,7
42,2,0,0,7
43,913,101,6,7
44,962,85,9,7
45,939,91,4,7
46,40,1,0,7
47,285,33,0,7
48,0,0,0,7
49,20,4,0,7
50,22,1,0,7
51,393,31,3,7
52,1015,109,9,7
53,0,0,0,7
54,65,8,3,7
55,614,65,7,7
56,224,19,3,7
57,1,0,0,7
58,7,1,0,7
59,2506,266,33,7
60,0,0,0,7
61,331,37,2,7
62,85,11,1,7
63,0,0,0,7
64,1,0,0,7
65,27,6,2,7
66,55,7,1,7
67,8,1,0,7
68,186,15,0,7
69,89,13,1,7
70,0,0,0,7
71,54,5,0,7
72,1,0,0,7
73,487,60,3,7
74,129,12,2,7
75,272,32,1,7
1,5847,572,59,9
2,492,48,7,9
3,194,24,4,9
4,57,1,2,9
5,246,13,2,9
6,11644,1175,111,9
7,3,1,0,9
8,5501,571,54,9
9,4,0,0,9
10,5,0,0,9
11,3,0,0,9
12,81,11,0,9
13,1805,173,16,9
14,2537,293,23,9
15,33,5,0,9
16,0,0,0,9
17,3,1,0,9
18,51,7,0,9
19,2,0,0,9
20,14,4,0,9
21,5442,528,50,9
22,2026,198,25,9
23,3096,355,26,9
24,1218,118,7,9
25,0,0,0,9
26,303,22,3,9
27,137,15,1,9
28,13250,1260,119,9
29,0,0,0,9
30,0,0,0,9
31,673,58,5,9
32,1,1,0,9
33,119,14,1,9
34,521,53,6,9
35,41,4,1,9
36,494,56,4,9
37,163,18,2,9
38,0,0,0,9
39,3,0,0,9
40,432,46,2,9
41,2121,216,16,9
42,2526,304,21,9
43,4372,443,41,9
44,0,0,0,9
