Worm #,CFU_22,CFU_222,CFU_2222,Day
1,0,0,0,1
2,105,17,1,1
3,0,0,0,1
4,13,0,0,1
5,0,0,0,1
6,74,6,2,1
7,16,1,1,1
8,2,0,0,1
9,0,0,0,1
10,8,1,1,1
11,526,54,9,1
12,0,0,0,1
13,229,27,2,1
14,5,1,0,1
15,10,1,0,1
16,94,8,3,1
17,0,0,0,1
18,112,8,4,1
19,32,6,0,1
20,0,0,0,1
21,0,0,0,1
22,6,0,0,1
23,13,1,0,1
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,1,0,0,1
28,0,0,0,1
29,92,15,0,1
30,0,0,0,1
31,0,0,0,1
32,68,8,0,1
33,0,0,0,1
34,3,0,1,1
35,0,0,0,1
36,200,10,1,1
37,0,0,0,1
38,0,0,0,1
39,1,0,0,1
40,0,0,0,1
41,0,0,0,1
42,0,0,0,1
43,0,0,0,1
44,6,0,0,1
45,0,0,0,1
46,209,9,0,1
47,201,24,1,1
48,48,5,3,1
49,0,0,0,1
50,143,21,2,1
51,24,2,1,1
52,1,0,0,1
53,47,2,1,1
54,0,0,0,1
55,9,0,0,1
56,0,0,0,1
57,0,0,0,1
58,0,0,0,1
59,41,4,1,1
60,0,0,0,1
61,4,0,0,1
62,0,0,0,1
63,49,3,0,1
64,1,0,1,1
65,0,0,0,1
66,0,0,0,1
67,5,2,0,1
68,458,43,6,1
69,1,0,0,1
70,14,0,0,1
71,0,0,0,1
72,24,2,0,1
73,402,39,7,1
74,0,0,0,1
75,12,0,0,1
1,4556,458,37,3
2,132,12,1,3
3,5303,521,59,3
4,933,107,7,3
5,605,61,5,3
6,1253,113,14,3
7,985,97,12,3
8,372,39,5,3
9,464,47,5,3
10,1381,147,6,3
11,0,0,0,3
12,837,78,9,3
13,617,74,5,3
14,1597,167,16,3
15,13,3,0,3
16,594,55,6,3
17,0,0,0,3
18,402,36,0,3
19,21,8,0,3
20,1323,153,17,3
21,1114,99,8,3
22,0,0,0,3
23,145,20,1,3
24,660,66,8,3
25,1757,186,23,3
26,88,12,0,3
27,1704,165,15,3
28,572,59,11,3
29,57,9,0,3
30,1774,190,15,3
31,2903,298,33,3
32,163,16,2,3
33,43,2,0,3
34,1142,117,12,3
35,644,61,4,3
36,1022,108,14,3
37,6,0,0,3
38,3100,301,33,3
39,777,73,12,3
40,1678,140,18,3
41,618,66,8,3
42,1347,115,18,3
43,284,32,2,3
44,1600,157,12,3
45,89,11,1,3
46,589,61,5,3
47,656,79,11,3
48,0,0,0,3
49,223,20,3,3
50,2221,229,22,3
51,146,14,3,3
52,1076,111,16,3
53,1041,102,11,3
54,1507,141,13,3
55,497,47,4,3
56,0,0,0,3
57,1202,133,16,3
58,4480,424,53,3
59,266,17,2,3
60,1585,180,9,3
61,5416,532,40,3
62,114,10,1,3
63,589,68,9,3
64,1155,117,13,3
65,149,11,1,3
66,1,0,0,3
67,1151,125,21,3
68,1663,149,11,3
69,5211,493,50,3
70,62,4,1,3
71,726,83,6,3
72,821,73,10,3
73,5608,564,50,3
74,251,17,1,3
75,599,58,8,3
1,121,15,1,5
2,722,88,6,5
3,5370,521,56,5
4,1082,90,11,5
5,602,43,1,5
6,6822,682,83,5
7,1039,95,14,5
8,5458,531,70,5
9,54,4,0,5
10,796,95,6,5
11,2081,200,29,5
12,1545,147,13,5
13,752,91,8,5
14,895,78,7,5
15,756,65,12,5
16,892,104,15,5
17,313,31,0,5
18,1759,165,11,5
19,134,7,2,5
20,763,82,5,5
21,424,49,5,5
22,1452,127,13,5
23,1499,147,17,5
24,1350,149,13,5
25,5138,519,41,5
26,5071,481,52,5
27,230,16,3,5
28,180,15,2,5
29,186,14,3,5
30,1467,129,16,5
31,5630,589,76,5
32,5068,518,42,5
33,0,0,0,5
34,5586,559,64,5
35,3880,378,38,5
36,48,3,0,5
37,170,14,0,5
