Worm #,CFU_22,CFU_222,CFU_2222,Day
1,0,0,0,1
2,107,13,0,1
3,0,0,0,1
4,1,0,0,1
5,0,0,0,1
6,72,2,1,1
7,0,0,0,1
8,52,4,0,1
9,61,5,1,1
10,2,0,0,1
11,59,6,0,1
12,136,15,0,1
13,3,0,0,1
14,0,0,0,1
15,4,1,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,2,0,0,1
21,121,10,0,1
22,17,1,0,1
23,0,0,0,1
24,16,2,1,1
25,426,41,2,1
26,13,1,2,1
27,0,0,0,1
28,20,1,0,1
29,0,0,0,1
30,0,0,0,1
31,0,0,0,1
32,0,0,0,1
33,5,0,0,1
34,1,0,0,1
35,7,1,0,1
36,466,47,4,1
37,0,0,0,1
38,0,0,0,1
39,0,0,0,1
40,8,0,0,1
41,457,40,5,1
42,25,1,0,1
43,13,1,0,1
44,0,0,0,1
45,0,0,0,1
46,2,0,0,1
47,0,0,0,1
48,5,0,0,1
49,161,16,3,1
50,203,16,3,1
51,42,3,0,1
52,0,0,0,1
53,63,8,0,1
54,0,0,0,1
55,0,0,0,1
56,3,0,0,1
57,1,0,0,1
58,2,0,0,1
59,45,3,0,1
60,1,0,0,1
61,0,0,0,1
62,701,78,6,1
63,0,0,0,1
64,0,0,0,1
65,0,0,0,1
66,0,0,0,1
67,62,8,1,1
68,32,1,0,1
69,157,22,1,1
70,129,9,2,1
71,177,22,4,1
72,5,0,0,1
73,18,2,0,1
74,2,0,0,1
75,5,1,0,1
1,1,0,0,3
2,117,11,2,3
3,5097,534,53,3
4,0,0,0,3
5,1,0,0,3
6,1277,133,5,3
7,0,0,0,3
8,347,32,3,3
9,562,53,4,3
10,1338,132,18,3
11,1060,102,12,3
12,839,76,10,3
13,0,0,0,3
14,1649,159,16,3
15,675,63,6,3
16,587,62,3,3
17,4426,437,39,3
18,404,45,2,3
19,261,23,4,3
20,1359,137,10,3
21,912,81,6,3
22,0,0,0,3
23,0,0,0,3
24,594,50,4,3
25,2230,214,24,3
26,691,70,7,3
27,1775,184,17,3
28,551,45,9,3
29,293,33,2,3
30,1944,187,20,3
31,4225,411,37,3
32,0,0,0,3
33,0,0,0,3
34,3,0,0,3
35,638,54,5,3
36,69,8,1,3
37,231,23,2,3
38,0,0,0,3
39,0,0,0,3
40,4697,467,44,3
41,1727,163,18,3
42,0,0,0,3
43,52,2,2,3
44,1674,153,16,3
45,100,11,0,3
46,978,91,10,3
47,703,60,8,3
48,0,0,0,3
49,206,19,3,3
50,5455,555,63,3
51,153,17,2,3
52,1072,114,12,3
53,956,84,9,3
54,4780,473,47,3
55,505,36,2,3
56,4792,459,41,3
57,1264,127,15,3
58,4597,434,29,3
59,243,33,3,3
60,1439,134,17,3
61,5252,555,57,3
62,1,0,0,3
63,607,73,11,3
64,1112,105,17,3
65,162,13,0,3
66,892,71,11,3
67,1129,99,10,3
68,1576,144,18,3
69,1215,107,12,3
70,765,85,4,3
71,0,0,0,3
72,0,0,0,3
73,5554,531,70,3
74,217,33,3,3
75,871,90,5,3
1,107,8,1,5
2,803,79,8,5
3,5431,515,60,5
4,1085,110,10,5
5,557,60,7,5
6,6791,675,60,5
7,1037,105,6,5
8,5442,555,66,5
9,64,3,0,5
10,879,83,7,5
11,2152,230,39,5
12,1530,132,22,5
13,0,0,0,5
14,780,85,8,5
15,735,86,5,5
16,0,0,0,5
17,299,29,6,5
18,1773,169,13,5
19,117,15,4,5
20,765,92,7,5
21,457,50,13,5
22,1481,147,10,5
23,1493,142,14,5
24,1387,107,11,5
25,5093,475,50,5
26,5224,504,62,5
27,237,30,1,5
28,182,16,5,5
29,0,0,0,5
30,1446,146,14,5
31,121,11,1,5
32,5053,530,48,5
33,1257,104,10,5
34,5563,588,51,5
35,3759,386,34,5
36,33,4,1,5
37,1,0,0,5
38,79,15,0,5
39,139,12,1,5
40,5822,625,63,5
41,2191,189,20,5
42,5460,522,53,5
43,612,54,7,5
44,171,16,4,5
45,880,81,8,5
46,5737,534,52,5
47,622,71,5,5
48,4575,480,49,5
49,694,71,7,5
50,2035,176,25,5
51,325,29,2,5
52,872,78,8,5
53,544,54,4,5
54,290,24,2,5
55,0,0,0,5
56,1919,181,23,5
57,186,26,2,5
58,5101,540,63,5
59,5740,590,71,5
60,416,39,3,5
61,744,75,8,5
62,969,82,7,5
63,1187,105,18,5
64,744,82,10,5
65,201,19,2,5
66,5177,528,61,5
67,1300,136,18,5
68,85,14,0,5
69,1952,189,17,5
70,1430,144,10,5
71,267,27,2,5
72,1023,97,12,5
73,811,84,6,5
74,68,10,3,5
75,0,0,0,5
1,1353,132,16,7
2,547,51,1,7
3,63,6,1,7
4,125,14,0,7
5,1584,167,12,7
6,176,19,0,7
7,922,105,10,7
8,4728,453,44,7
9,0,0,0,7
10,438,43,4,7
11,93,7,2,7
12,804,80,6,7
13,2252,243,20,7
14,1057,108,9,7
15,123,12,2,7
16,1210,88,6,7
17,600,55,0,7
18,0,0,0,7
19,765,62,7,7
20,4181,420,37,7
21,5504,566,53,7
22,193,18,1,7
23,963,123,8,7
24,1624,166,26,7
25,428,41,6,7
26,412,50,5,7
27,316,28,2,7
28,250,19,2,7
29,4688,456,55,7
30,272,32,2,7
31,287,28,3,7
32,170,23,2,7
33,184,10,4,7
34,1619,182,20,7
35,468,51,6,7
36,1832,162,28,7
37,1075,98,13,7
38,2451,247,16,7
39,931,84,9,7
40,1588,165,11,7
41,1973,195,17,7
42,96,13,4,7
43,996,92,9,7
44,790,79,6,7
45,477,52,3,7
46,796,61,6,7
47,722,66,14,7
48,832,84,6,7
49,1979,210,22,7
50,2065,206,22,7
51,1145,121,9,7
52,1366,138,18,7
53,5655,547,50,7
54,28,1,0,7
55,669,54,5,7
56,0,0,0,7
57,962,115,6,7
58,297,27,7,7
59,1003,125,11,7
60,55,5,1,7
61,2487,253,23,7
62,5362,547,47,7
63,180,26,1,7
64,2039,200,20,7
65,678,61,8,7
66,100,7,0,7
67,5022,466,52,7
68,5156,512,51,7
69,102,12,2,7
70,1107,94,10,7
71,2046,188,22,7
72,1755,180,20,7
73,710,83,8,7
74,2927,263,33,7
75,2180,238,25,7
1,0,0,0,9
2,30,5,0,9
3,165,14,1,9
4,642,70,8,9
5,168,17,3,9
6,152,10,1,9
7,390,36,1,9
8,1133,112,13,9
9,904,77,10,9
10,450,52,5,9
11,5373,533,62,9
12,1248,132,13,9
13,1091,108,7,9
14,5270,539,44,9
15,1703,162,16,9
16,190,9,1,9
17,78,8,0,9
18,2850,253,30,9
19,740,60,10,9
20,103,10,1,9
21,807,83,7,9
22,686,69,6,9
23,739,61,3,9
24,759,61,11,9
25,494,57,2,9
26,810,87,13,9
27,877,83,11,9
28,5735,555,53,9
29,1249,141,13,9
30,1693,165,13,9
31,48,3,0,9
32,543,50,3,9
33,6020,553,58,9
34,413,36,6,9
35,858,80,14,9
36,3479,323,33,9
37,1097,121,17,9
38,4466,424,57,9
39,202,24,6,9
