Worm #,CFU_22,CFU_222,CFU_2222,Day
1,500,36,2,1
2,0,0,0,1
3,0,0,0,1
4,175,13,0,1
5,21,0,1,1
6,15,2,0,1
7,107,11,0,1
8,8,0,0,1
9,0,0,0,1
10,1,0,0,1
11,0,0,0,1
12,2,0,0,1
13,2,0,0,1
14,0,0,0,1
15,37,6,2,1
16,0,0,0,1
17,25,1,2,1
18,5,1,0,1
19,35,3,1,1
20,25,2,0,1
21,0,0,0,1
22,221,20,2,1
23,16,2,0,1
24,0,0,0,1
25,0,0,0,1
26,463,45,7,1
27,0,0,0,1
28,0,0,0,1
29,7,1,1,1
30,63,8,2,1
31,128,8,2,1
32,0,0,0,1
33,50,7,0,1
34,131,13,0,1
35,0,0,0,1
36,245,21,2,1
37,0,0,0,1
38,186,19,1,1
39,2,0,0,1
40,1,0,0,1
41,0,0,0,1
42,0,0,0,1
43,0,0,0,1
44,2,0,0,1
45,6,0,0,1
46,1,0,0,1
47,27,4,0,1
48,0,0,0,1
49,0,0,0,1
50,3,0,0,1
51,0,0,0,1
52,65,4,0,1
53,10,1,0,1
54,0,0,0,1
55,130,10,1,1
56,1,0,0,1
57,57,12,3,1
58,0,0,0,1
59,0,0,0,1
60,0,0,0,1
61,44,5,1,1
62,0,0,0,1
63,1,0,0,1
64,0,0,0,1
65,0,0,0,1
66,0,0,0,1
67,0,0,0,1
68,0,0,0,1
69,0,0,0,1
70,0,0,0,1
71,65,8,0,1
72,30,2,0,1
73,0,0,0,1
74,0,0,0,1
75,1,0,0,1
76,0,0,0,1
77,0,0,0,1
78,0,0,0,1
79,178,25,2,1
80,0,0,0,1
81,4,0,0,1
82,0,0,0,1
83,2,1,0,1
84,61,5,1,1
85,115,9,2,1
86,3,0,0,1
87,0,0,0,1
88,0,0,0,1
89,90,8,2,1
90,0,0,0,1
91,0,0,0,1
92,1,0,0,1
93,0,0,0,1
94,0,0,0,1
95,0,0,0,1
96,0,0,0,1
97,0,0,0,1
98,0,0,0,1
99,0,0,0,1
100,13,0,0,1
101,58,1,0,1
102,5,0,0,1
103,0,0,0,1
104,92,5,1,1
105,4,0,0,1
106,0,0,0,1
107,0,0,0,1
108,0,0,0,1
109,35,4,0,1
110,91,9,1,1
111,0,0,0,1
112,0,0,0,1
113,211,19,3,1
114,0,0,0,1
115,0,0,0,1
116,0,0,0,1
117,23,4,2,1
118,9,1,0,1
119,11,0,0,1
120,45,6,1,1
121,0,0,0,1
122,1,0,0,1
123,0,0,0,1
124,0,0,0,1
125,14,1,0,1
126,59,4,0,1
127,176,16,5,1
128,1,0,0,1
129,632,58,4,1
130,8,2,0,1
131,0,0,0,1
132,64,7,0,1
133,12,0,1,1
134,2,0,0,1
135,0,0,0,1
136,0,0,0,1
137,0,0,0,1
138,220,31,2,1
139,0,0,0,1
140,0,0,0,1
141,514,41,7,1
142,0,0,0,1
143,7,0,0,1
144,0,0,0,1
145,0,0,0,1
146,0,0,0,1
147,0,0,0,1
148,165,20,2,1
149,3,0,0,1
150,0,0,0,1
151,10,1,0,1
152,0,0,0,1
153,0,0,0,1
154,1,0,0,1
155,0,0,0,1
156,0,0,0,1
157,127,24,2,1
158,4,2,0,1
159,0,0,0,1
160,7,1,0,1
161,0,0,0,1
162,7,0,0,1
163,0,0,0,1
164,2,0,0,1
165,0,0,0,1
166,6,1,0,1
167,0,0,0,1
168,0,0,0,1
169,19,1,0,1
170,0,0,0,1
171,0,0,0,1
172,0,0,0,1
173,0,0,0,1
174,11,3,0,1
175,0,0,0,1
176,11,0,0,1
177,6,0,0,1
178,0,0,0,1
179,0,0,0,1
180,0,0,0,1
181,1,0,0,1
182,0,0,0,1
183,0,0,0,1
184,26,2,0,1
185,330,35,2,1
186,0,0,0,1
187,85,8,0,1
188,0,0,0,1
189,0,0,0,1
190,89,10,0,1
191,3,0,0,1
192,0,0,0,1
193,0,0,0,1
194,85,7,1,1
195,7,0,0,1
196,0,0,0,1
197,1,0,0,1
198,8,0,0,1
199,0,0,0,1
200,63,5,1,1
201,0,0,0,1
202,0,0,0,1
203,2,0,0,1
204,0,0,0,1
205,0,0,0,1
206,0,0,0,1
207,0,0,0,1
208,0,0,0,1
209,163,15,3,1
210,0,0,0,1
211,0,0,0,1
212,0,0,0,1
213,9,1,0,1
214,2,0,0,1
215,130,14,3,1
216,0,0,0,1
217,8,0,0,1
218,0,0,0,1
219,0,0,0,1
220,0,0,0,1
221,60,8,1,1
222,0,0,0,1
223,56,5,1,1
224,9,0,0,1
225,58,8,0,1
226,0,0,0,1
227,0,0,0,1
228,2,0,0,1
229,3,0,0,1
230,22,5,0,1
231,2,0,0,1
232,2,0,0,1
233,0,0,0,1
234,0,0,0,1
235,3,1,0,1
236,63,11,1,1
237,3,0,0,1
238,3,0,0,1
239,0,0,0,1
240,0,0,0,1
241,12,1,0,1
242,0,0,0,1
243,0,0,0,1
244,0,0,0,1
245,0,0,0,1
246,0,0,0,1
247,8,0,0,1
248,0,0,0,1
249,0,0,0,1
250,0,0,0,1
251,3,0,0,1
252,0,0,0,1
253,32,3,0,1
254,40,3,1,1
255,0,0,0,1
256,0,0,0,1
257,101,9,1,1
258,37,3,0,1
259,0,0,0,1
260,0,0,0,1
261,0,0,0,1
262,246,22,1,1
263,0,0,0,1
264,11,1,0,1
265,0,0,0,1
266,0,0,0,1
267,0,0,0,1
268,0,0,0,1
269,159,17,1,1
270,0,0,0,1
271,5,0,0,1
272,0,0,0,1
273,83,14,0,1
274,0,0,0,1
275,387,33,3,1
276,30,3,0,1
277,51,3,0,1
278,10,0,0,1
279,42,6,1,1
280,0,0,0,1
281,111,11,0,1
282,244,31,1,1
283,0,0,0,1
284,1,0,0,1
285,0,0,0,1
286,0,0,0,1
287,324,39,5,1
288,0,0,0,1
289,0,0,0,1
290,0,0,0,1
291,0,0,0,1
292,9,0,0,1
293,0,0,0,1
294,0,0,0,1
295,0,0,0,1
296,0,0,0,1
297,0,0,0,1
298,0,0,0,1
299,144,3,0,1
300,0,0,0,1
301,0,0,0,1
302,0,0,0,1
303,0,0,0,1
304,0,0,0,1
305,60,4,1,1
306,9,1,0,1
307,0,0,0,1
308,32,2,0,1
309,181,13,1,1
310,12,0,0,1
311,92,6,0,1
312,550,53,9,1
313,0,1,0,1
314,0,0,0,1
315,0,0,0,1
316,103,10,3,1
317,0,0,0,1
318,1,0,0,1
319,0,0,0,1
320,0,0,0,1
321,6,3,0,1
322,0,0,0,1
323,0,0,0,1
324,0,0,0,1
325,9,0,0,1
326,2,0,0,1
327,0,0,0,1
328,0,0,0,1
329,44,7,0,1
330,642,75,8,1
331,0,0,0,1
332,2,0,0,1
333,0,0,0,1
334,6,2,0,1
335,0,0,0,1
336,0,0,0,1
337,16,2,0,1
338,0,0,0,1
339,0,0,0,1
340,0,0,0,1
341,0,0,0,1
342,0,0,0,1
343,0,0,0,1
344,0,0,0,1
345,5,1,0,1
346,363,41,10,1
347,0,0,0,1
348,13,0,0,1
349,0,0,0,1
350,4,3,0,1
351,8,1,0,1
352,228,38,2,1
353,1,0,0,1
354,63,13,3,1
355,0,0,0,1
356,7,0,0,1
357,0,0,0,1
358,0,0,0,1
359,0,0,0,1
360,0,0,0,1
361,9,0,0,1
362,193,17,4,1
363,0,0,0,1
364,28,3,0,1
365,9,1,0,1
366,1,0,0,1
367,86,7,0,1
368,1,0,0,1
369,0,0,0,1
370,22,5,0,1
371,0,0,0,1
372,0,0,0,1
373,0,0,0,1
374,0,1,0,1
375,0,0,0,1
376,0,1,0,1
377,0,0,0,1
378,0,0,0,1
379,20,2,0,1
380,16,2,0,1
381,0,0,0,1
382,20,0,0,1
383,0,0,0,1
384,0,0,0,1
385,0,0,0,1
386,0,0,0,1
387,5,0,1,1
388,10,1,0,1
389,111,10,0,1
390,147,12,0,1
391,53,8,1,1
392,385,38,1,1
393,0,0,0,1
394,0,0,0,1
395,23,1,0,1
396,0,0,0,1
397,0,0,0,1
398,0,0,0,1
399,2,0,0,1
400,0,0,0,1
401,76,6,0,1
402,0,0,0,1
403,0,0,0,1
404,89,13,3,1
405,0,0,0,1
406,0,0,0,1
407,0,0,0,1
408,102,18,2,1
409,0,0,0,1
410,0,0,0,1
411,68,8,1,1
412,13,0,0,1
413,2,0,0,1
414,252,27,0,1
415,102,12,0,1
416,0,0,0,1
417,203,24,2,1
418,9,1,0,1
419,0,0,0,1
420,0,0,0,1
421,0,0,0,1
422,0,0,0,1
423,28,3,0,1
424,0,0,0,1
425,0,0,0,1
426,2,0,0,1
427,0,0,0,1
428,1,0,0,1
429,0,0,0,1
430,5,0,0,1
431,0,0,0,1
432,0,0,0,1
433,0,0,0,1
434,1,0,0,1
435,1,0,0,1
436,0,0,0,1
437,0,0,0,1
438,0,0,0,1
439,162,12,0,1
440,0,0,0,1
441,131,11,2,1
442,0,0,0,1
443,0,0,0,1
444,0,0,0,1
445,0,0,0,1
446,84,10,2,1
447,140,16,0,1
448,0,0,0,1
449,0,0,0,1
450,0,0,0,1
451,0,0,0,1
452,0,0,0,1
453,30,0,1,1
454,45,2,0,1
455,4,0,0,1
456,4,0,0,1
457,208,13,1,1
458,11,1,0,1
459,6,0,0,1
460,0,0,0,1
461,43,3,0,1
462,0,0,0,1
463,0,0,0,1
464,0,0,0,1
465,0,0,0,1
466,14,1,1,1
467,13,3,0,1
468,20,1,0,1
469,0,0,0,1
470,81,9,3,1
471,0,0,0,1
472,238,32,1,1
473,0,0,0,1
474,44,7,1,1
475,55,1,1,1
476,0,0,0,1
477,0,0,0,1
478,0,0,0,1
479,0,0,0,1
480,0,0,0,1
481,0,0,0,1
482,0,0,0,1
483,0,0,0,1
484,0,0,0,1
485,0,0,0,1
486,0,0,0,1
487,0,0,0,1
488,0,0,0,1
489,0,0,0,1
490,0,0,0,1
491,213,18,3,1
492,0,0,0,1
493,0,0,0,1
494,0,0,0,1
495,0,0,0,1
496,9,2,1,1
497,0,0,0,1
498,0,0,0,1
499,1,0,0,1
500,11,2,0,1
501,0,0,0,1
502,2,1,0,1
503,0,0,0,1
504,9,0,0,1
505,41,2,0,1
506,1,0,1,1
507,1,0,0,1
508,0,0,0,1
509,4,2,0,1
510,0,0,0,1
511,6,0,0,1
512,0,0,0,1
513,0,0,0,1
514,629,72,5,1
515,0,0,0,1
516,10,1,0,1
517,0,0,0,1
518,0,0,0,1
519,144,13,0,1
520,0,0,0,1
521,0,0,0,1
522,0,0,0,1
523,1,0,0,1
524,0,0,0,1
525,13,0,0,1
526,0,0,0,1
527,0,0,0,1
528,0,0,0,1
529,0,0,0,1
530,0,0,0,1
531,9,0,0,1
532,0,0,0,1
533,0,0,0,1
534,0,1,0,1
535,37,2,2,1
536,0,0,0,1
537,2,0,0,1
538,0,0,0,1
539,0,0,0,1
540,0,0,0,1
541,226,19,2,1
542,259,23,1,1
543,9,0,0,1
544,121,16,0,1
545,201,21,0,1
546,0,0,0,1
547,0,0,0,1
548,366,38,3,1
549,11,0,0,1
550,2,1,0,1
551,41,4,1,1
552,6,0,0,1
553,0,0,0,1
554,0,0,0,1
555,0,0,0,1
556,0,0,0,1
557,19,1,0,1
558,3,0,0,1
559,8,1,0,1
560,0,0,0,1
561,2,0,0,1
562,22,3,1,1
563,3,0,0,1
564,0,0,0,1
565,0,0,0,1
566,7,2,0,1
567,0,0,0,1
568,0,0,0,1
569,0,0,0,1
570,1,1,0,1
571,135,11,2,1
572,39,6,0,1
573,30,2,2,1
574,15,0,0,1
575,1,0,0,1
576,0,0,0,1
577,5,1,0,1
578,30,3,1,1
579,446,46,3,1
580,0,0,0,1
581,0,0,0,1
582,0,0,0,1
583,16,2,0,1
584,56,2,0,1
585,3,0,0,1
586,0,0,0,1
587,45,6,1,1
588,8,1,0,1
589,0,0,0,1
590,0,0,0,1
591,0,1,0,1
592,64,3,0,1
593,66,6,1,1
594,0,0,0,1
595,0,0,0,1
596,0,0,0,1
597,0,0,0,1
598,0,0,0,1
599,56,3,0,1
600,0,0,0,1
601,0,0,0,1
602,17,1,0,1
603,303,26,5,1
604,11,1,0,1
605,106,12,0,1
606,0,0,0,1
607,0,0,0,1
608,186,18,4,1
609,0,0,0,1
610,472,47,7,1
611,0,0,0,1
612,168,13,0,1
613,0,0,0,1
614,0,0,0,1
615,6,1,0,1
616,0,0,0,1
617,178,13,1,1
618,5,1,0,1
619,0,0,0,1
620,0,0,0,1
621,120,19,0,1
622,152,15,3,1
623,3,1,0,1
624,0,0,0,1
625,0,0,0,1
626,0,0,0,1
627,63,7,0,1
628,20,1,0,1
629,0,0,0,1
630,0,0,0,1
631,3,1,0,1
632,0,0,0,1
633,0,0,0,1
634,0,0,0,1
635,16,0,0,1
636,25,4,1,1
637,0,0,0,1
638,0,0,0,1
639,0,0,0,1
640,0,0,1,1
641,79,11,0,1
642,0,0,0,1
643,0,0,0,1
644,0,0,0,1
645,0,0,0,1
646,288,22,3,1
647,180,14,0,1
648,10,2,1,1
649,93,12,0,1
650,36,6,1,1
651,0,0,0,1
652,0,0,0,1
653,0,0,0,1
654,0,0,0,1
655,1,0,0,1
656,0,0,0,1
657,0,0,0,1
658,1,1,0,1
659,77,7,1,1
660,17,0,0,1
661,0,0,0,1
662,0,0,0,1
663,2,0,0,1
664,13,0,0,1
665,0,0,0,1
666,0,0,0,1
667,5,0,0,1
668,66,5,0,1
669,3,1,0,1
670,2,0,0,1
671,273,19,1,1
672,0,0,0,1
673,164,6,1,1
674,3,1,0,1
675,3,0,0,1
676,0,0,0,1
677,0,0,0,1
678,0,0,0,1
679,1,0,0,1
680,0,0,0,1
681,0,0,0,1
682,0,0,0,1
683,0,0,0,1
684,0,0,0,1
685,0,0,0,1
686,0,0,0,1
687,0,0,0,1
688,0,0,0,1
689,0,0,0,1
690,26,3,1,1
691,32,4,0,1
692,0,0,0,1
693,0,0,0,1
694,1,0,0,1
695,0,0,0,1
696,0,0,0,1
697,1,0,0,1
698,0,0,0,1
699,0,0,0,1
700,44,2,0,1
701,0,0,0,1
702,155,10,2,1
703,0,0,0,1
704,0,0,0,1
705,0,0,0,1
706,0,0,0,1
707,16,1,0,1
708,0,0,0,1
709,0,0,0,1
710,0,0,0,1
711,36,2,0,1
712,0,0,0,1
713,35,6,0,1
714,0,0,0,1
715,0,0,0,1
716,238,24,1,1
717,0,0,0,1
