Worm #,CFU_22,CFU_222,CFU_2222,Day
1,21,5,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,4,0,0,1
6,0,0,0,1
7,36,3,0,1
8,128,10,0,1
9,0,0,0,1
10,10,1,0,1
11,18,1,0,1
12,0,0,0,1
13,117,10,2,1
14,20,2,0,1
15,4,0,0,1
16,0,0,0,1
17,3,1,0,1
18,0,0,0,1
19,0,0,0,1
20,23,0,1,1
21,0,0,0,1
22,0,0,0,1
23,0,0,0,1
24,1,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,0,1
28,55,5,0,1
29,0,0,0,1
30,0,0,0,1
31,1,0,0,1
32,2,0,0,1
33,119,14,1,1
34,109,9,0,1
35,92,6,1,1
36,0,0,0,1
37,26,4,2,1
38,2,0,0,1
39,5,1,0,1
40,11,0,0,1
41,0,0,0,1
42,76,4,0,1
43,1,0,0,1
44,8,1,0,1
45,4,0,0,1
46,0,0,0,1
47,64,9,0,1
48,1,0,0,1
49,0,0,0,1
50,0,0,0,1
51,170,20,2,1
52,0,0,0,1
53,0,0,0,1
54,28,1,0,1
55,106,13,4,1
56,0,0,0,1
57,17,3,0,1
58,8,0,0,1
59,20,2,0,1
60,96,7,2,1
61,0,0,0,1
62,0,0,0,1
63,0,0,0,1
64,9,1,0,1
65,355,30,3,1
66,2,0,0,1
67,0,0,0,1
68,0,0,0,1
69,0,0,0,1
70,9,0,0,1
71,0,0,0,1
72,51,5,0,1
73,1,0,0,1
74,0,0,0,1
75,4,0,0,1
1,338,26,2,3
2,65,6,1,3
3,721,67,7,3
4,1365,136,11,3
5,1157,112,16,3
6,0,0,0,3
7,0,0,0,3
8,93,18,1,3
9,1661,157,18,3
10,133,13,2,3
11,587,65,5,3
12,165,11,1,3
13,0,0,0,3
14,0,0,0,3
15,831,80,8,3
16,637,47,7,3
17,764,80,4,3
18,701,80,11,3
19,1004,103,11,3
20,1059,124,16,3
21,0,0,0,3
22,0,0,0,3
23,1149,123,10,3
24,885,84,6,3
25,0,0,0,3
26,2161,209,30,3
27,302,32,5,3
28,0,0,0,3
29,1617,171,14,3
30,2517,226,24,3
31,77,4,1,3
32,0,0,0,3
33,0,0,0,3
34,1,0,0,3
35,2341,243,22,3
36,1015,94,8,3
37,0,0,0,3
38,0,0,0,3
39,0,0,0,3
40,1825,170,17,3
41,0,0,0,3
42,0,0,0,3
43,0,0,0,3
44,0,0,0,3
45,837,64,5,3
46,0,0,0,3
47,0,0,0,3
48,0,0,0,3
49,3136,298,36,3
50,1969,179,19,3
51,107,14,2,3
52,0,0,0,3
53,116,9,1,3
54,0,0,0,3
55,4349,390,38,3
56,839,85,11,3
57,734,78,6,3
58,0,0,0,3
59,2233,230,19,3
60,194,15,3,3
61,577,77,4,3
62,115,11,0,3
63,884,94,9,3
64,1035,93,13,3
65,977,97,7,3
66,906,84,12,3
67,231,24,3,3
68,0,0,0,3
69,572,52,3,3
70,0,0,0,3
71,434,35,5,3
72,1101,122,9,3
73,772,78,7,3
74,0,0,0,3
75,0,0,0,3
1,235,5,3,5
2,0,0,0,5
3,0,0,0,5
4,918,91,5,5
5,0,0,0,5
6,813,69,8,5
7,125,12,0,5
8,888,81,9,5
9,880,83,7,5
10,0,0,0,5
11,0,0,0,5
12,224,30,3,5
13,0,0,0,5
14,480,49,4,5
15,1853,198,18,5
16,1154,116,13,5
17,1429,148,12,5
18,103,15,1,5
19,0,0,0,5
20,1135,119,7,5
21,145,16,0,5
22,0,0,0,5
23,0,0,0,5
24,1,0,0,5
25,0,0,0,5
26,810,91,7,5
27,596,61,4,5
28,637,77,7,5
29,0,0,0,5
30,158,16,0,5
31,2220,214,22,5
32,1303,143,17,5
33,176,25,1,5
34,0,0,0,5
35,0,0,0,5
36,105,14,1,5
37,4578,467,33,5
38,1077,108,12,5
39,1102,109,11,5
40,338,40,3,5
41,1634,128,16,5
42,751,66,8,5
43,1791,180,16,5
44,0,0,0,5
45,1050,115,11,5
46,0,0,0,5
47,0,0,0,5
48,0,0,0,5
49,1091,115,4,5
50,52,7,0,5
51,2442,257,26,5
52,681,67,2,5
53,1131,111,10,5
54,4466,437,42,5
55,4747,489,56,5
56,0,0,0,5
57,546,55,7,5
58,740,62,4,5
59,700,83,8,5
60,170,21,3,5
61,156,26,4,5
62,1948,212,17,5
63,0,0,0,5
64,0,0,0,5
65,791,85,7,5
66,79,6,0,5
67,579,69,6,5
68,375,24,3,5
69,0,0,0,5
70,2317,241,21,5
71,0,0,0,5
72,0,0,0,5
73,686,69,6,5
74,103,15,0,5
75,551,61,3,5
1,1816,191,19,7
2,0,0,0,7
3,369,38,4,7
4,0,0,0,7
5,230,12,1,7
6,1192,142,12,7
7,0,0,0,7
8,736,69,11,7
9,929,104,9,7
10,4588,477,30,7
11,5675,617,55,7
12,0,0,0,7
13,0,0,0,7
14,0,0,0,7
15,807,82,10,7
16,115,8,1,7
17,1043,110,8,7
18,1163,143,14,7
19,0,0,0,7
20,5458,590,47,7
21,5570,550,72,7
22,0,0,0,7
23,0,0,0,7
24,0,0,0,7
25,0,0,0,7
26,647,77,7,7
27,723,92,10,7
28,2088,211,18,7
29,176,14,1,7
30,0,0,0,7
31,0,0,0,7
32,994,89,10,7
33,0,0,0,7
34,5405,538,48,7
35,663,53,6,7
36,1314,134,9,7
37,0,0,0,7
38,1006,104,4,7
39,1515,145,17,7
40,2065,207,24,7
41,719,86,6,7
42,6407,620,57,7
43,0,0,0,7
44,760,87,7,7
45,6036,573,58,7
46,599,56,4,7
47,5572,559,63,7
48,0,0,0,7
49,770,67,6,7
50,0,0,0,7
51,204,25,2,7
52,290,25,1,7
53,1751,199,14,7
54,1441,159,23,7
55,0,0,0,7
56,883,82,6,7
57,0,0,0,7
58,4697,453,40,7
59,449,34,2,7
60,1595,154,15,7
61,4901,511,43,7
62,1214,130,12,7
63,2746,285,28,7
64,904,67,9,7
65,835,84,8,7
66,2532,259,31,7
67,0,0,0,7
68,0,0,0,7
69,783,72,6,7
70,143,21,2,7
71,75,10,0,7
72,1904,194,24,7
73,0,0,0,7
74,0,0,0,7
75,0,0,0,7
1,550,59,4,9
2,0,0,0,9
3,2339,220,27,9
4,60,3,2,9
5,0,0,0,9
6,244,25,0,9
7,4291,430,36,9
8,1692,155,13,9
9,0,0,0,9
10,229,25,3,9
11,0,0,0,9
12,0,0,0,9
13,795,75,6,9
14,4862,504,52,9
15,1912,201,21,9
16,0,0,0,9
17,572,55,7,9
18,617,56,2,9
19,1236,116,12,9
20,157,17,3,9
21,105,10,0,9
22,1275,114,16,9
23,217,26,0,9
24,49,4,3,9
25,5920,588,49,9
26,0,0,0,9
27,737,66,5,9
28,161,15,3,9
29,563,66,9,9
30,2470,249,17,9
31,641,60,3,9
32,1030,100,9,9
33,242,17,4,9
34,0,0,0,9
35,224,23,2,9
36,793,81,8,9
37,1658,138,17,9
38,686,58,8,9
39,0,0,0,9
40,480,53,7,9
41,342,24,2,9
42,0,0,0,9
43,314,24,6,9
44,0,0,0,9
45,1601,184,15,9
46,882,70,9,9
47,0,0,0,9
48,2355,262,35,9
49,909,99,10,9
50,134,8,1,9
51,1747,171,15,9
52,150,10,2,9
53,1137,120,11,9
54,0,0,0,9
55,5109,515,41,9
56,1226,118,13,9
57,1498,150,17,9
58,620,85,5,9
59,0,0,0,9
60,5958,588,62,9
61,0,0,0,9
62,841,88,6,9
63,0,0,0,9
64,799,85,11,9
65,600,67,9,9
66,0,0,0,9
67,181,13,1,9
68,972,86,5,9
69,451,52,4,9
70,526,58,8,9
71,78,9,2,9
72,0,0,0,9
73,785,97,7,9
74,378,26,5,9
75,961,117,5,9
