Worm #,CFU_22,CFU_222,CFU_2222,Day
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,8,0,0,1
5,0,0,0,1
6,79,19,2,1
7,0,0,0,1
8,4,0,0,1
9,56,6,1,1
10,0,0,0,1
11,10,0,1,1
12,595,52,2,1
13,192,17,1,1
14,219,19,4,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,1
21,19,1,0,1
22,0,0,0,1
23,0,0,0,1
24,0,0,0,1
25,0,0,0,1
26,54,3,1,1
27,0,0,0,1
28,0,0,0,1
29,0,0,0,1
30,0,0,0,1
31,0,0,0,1
32,79,10,1,1
33,0,0,0,1
34,0,0,0,1
35,0,0,0,1
36,0,0,0,1
37,0,0,0,1
38,0,0,0,1
39,0,0,0,1
40,1,0,0,1
41,0,0,0,1
42,0,0,0,1
43,19,1,0,1
44,111,12,0,1
45,2,0,0,1
46,22,3,0,1
47,1,0,0,1
48,0,0,0,1
49,0,0,0,1
50,0,0,0,1
51,433,44,4,1
52,0,0,0,1
53,0,0,0,1
54,77,10,1,1
55,0,0,0,1
56,0,0,0,1
57,0,0,0,1
58,0,0,0,1
59,0,0,0,1
60,0,0,0,1
61,24,1,0,1
62,0,0,0,1
63,0,0,0,1
64,0,0,0,1
65,408,34,4,1
66,4,1,1,1
67,0,0,0,1
68,0,0,0,1
69,109,14,0,1
70,0,0,0,1
71,0,0,0,1
72,0,0,0,1
73,3,0,0,1
74,0,0,0,1
75,14,0,1,1
1,4698,492,56,3
2,88,12,2,3
3,0,0,0,3
4,997,105,6,3
5,574,39,6,3
6,1203,141,17,3
7,0,0,0,3
8,332,37,2,3
9,0,0,0,3
10,0,0,0,3
11,1013,103,10,3
12,861,83,6,3
13,67,6,0,3
14,0,0,0,3
15,9,1,0,3
16,558,56,5,3
17,156,20,1,3
18,347,32,2,3
19,0,0,0,3
20,1382,136,12,3
21,0,0,0,3
22,66,7,1,3
23,0,0,0,3
24,0,0,0,3
25,0,0,0,3
26,177,20,1,3
27,0,0,0,3
28,532,59,7,3
29,0,0,0,3
30,1852,177,15,3
31,2277,249,20,3
32,123,13,1,3
33,0,0,0,3
34,0,0,0,3
35,0,0,0,3
36,4,0,0,3
37,0,0,0,3
38,3038,330,37,3
39,0,0,0,3
40,2030,165,14,3
41,9,2,0,3
42,1297,133,9,3
43,283,32,1,3
44,1644,163,22,3
45,99,12,1,3
46,161,24,3,3
47,0,0,0,3
48,6674,674,78,3
49,247,21,4,3
50,5470,546,45,3
51,115,14,1,3
52,0,0,0,3
53,3,0,0,3
54,0,0,0,3
55,470,60,9,3
56,0,0,0,3
57,1218,114,11,3
58,4560,432,48,3
59,240,20,3,3
60,74,5,0,3
61,310,32,4,3
62,109,12,2,3
63,0,0,0,3
64,0,0,0,3
65,75,7,0,3
66,0,0,0,3
67,944,76,10,3
68,1559,155,19,3
69,2276,212,21,3
70,703,70,8,3
71,328,49,1,3
72,0,0,0,3
73,2,0,0,3
74,219,32,3,3
75,0,0,0,3
1,137,8,0,5
2,748,69,9,5
3,5370,537,55,5
4,0,0,0,5
5,629,55,7,5
6,6868,658,69,5
7,1080,101,10,5
8,5354,536,52,5
9,71,5,0,5
10,0,0,0,5
11,2197,242,20,5
12,1569,157,16,5
13,673,78,5,5
14,0,0,0,5
15,0,0,0,5
16,945,89,11,5
17,289,31,0,5
18,0,0,0,5
19,127,13,0,5
20,760,74,7,5
21,497,46,5,5
22,1412,141,14,5
23,1553,148,19,5
24,815,74,9,5
25,5070,516,53,5
26,0,0,0,5
27,202,16,3,5
28,132,14,1,5
29,179,15,3,5
30,1495,133,18,5
31,5507,592,59,5
32,4989,491,45,5
33,1222,127,12,5
34,0,0,0,5
35,3772,377,52,5
36,0,0,0,5
37,148,15,3,5
38,3329,318,24,5
39,126,12,4,5
40,5825,606,60,5
41,1963,197,17,5
42,4,2,0,5
43,0,0,0,5
44,191,22,0,5
45,939,96,12,5
46,5786,583,55,5
47,642,60,6,5
48,4558,488,45,5
49,667,63,8,5
50,1992,211,15,5
51,279,28,4,5
52,833,80,6,5
53,576,63,9,5
54,100,13,2,5
55,4453,429,50,5
56,1911,172,23,5
57,208,22,1,5
58,0,0,0,5
59,0,0,0,5
60,452,41,2,5
61,0,0,0,5
62,940,98,8,5
63,1178,125,10,5
64,774,74,4,5
65,202,11,1,5
66,0,0,0,5
67,0,0,0,5
68,91,8,0,5
69,1979,210,21,5
70,1404,139,15,5
71,0,0,0,5
72,1073,122,15,5
73,854,96,8,5
74,77,8,0,5
75,5102,528,50,5
1,1417,113,14,7
2,550,49,2,7
3,73,3,1,7
4,124,17,3,7
5,1586,148,10,7
6,182,21,2,7
7,882,102,10,7
8,4673,461,53,7
9,5159,500,48,7
10,394,48,4,7
11,125,13,2,7
12,791,92,11,7
13,2368,248,36,7
14,1052,121,13,7
15,129,17,1,7
16,1100,126,15,7
17,633,64,4,7
18,281,33,2,7
19,748,86,11,7
20,4287,374,55,7
21,5404,490,48,7
22,175,17,2,7
23,984,88,16,7
24,1621,174,12,7
25,388,27,4,7
26,421,55,6,7
27,313,28,4,7
28,18,2,0,7
29,4425,465,45,7
30,253,32,2,7
31,276,23,2,7
32,163,18,1,7
33,191,22,2,7
34,1670,152,14,7
35,471,47,7,7
36,0,0,0,7
37,1013,94,10,7
38,2563,229,23,7
39,948,111,11,7
40,1591,153,17,7
41,1953,186,18,7
42,98,7,2,7
43,968,81,7,7
44,793,71,7,7
45,15,3,0,7
46,760,84,4,7
47,610,58,7,7
48,543,70,7,7
49,1928,165,19,7
50,2083,193,20,7
51,1120,101,9,7
52,1284,136,11,7
53,5489,553,62,7
54,1128,117,9,7
55,596,58,4,7
56,137,13,3,7
57,1022,90,9,7
58,298,38,1,7
59,1099,122,18,7
60,83,4,0,7
61,2442,275,32,7
62,5301,506,54,7
63,176,22,1,7
64,2010,235,23,7
65,0,0,0,7
66,104,8,1,7
67,4863,473,50,7
68,5154,523,47,7
69,104,5,1,7
70,1040,94,11,7
71,2111,205,17,7
72,1719,182,18,7
73,738,58,4,7
74,0,0,0,7
75,2157,212,18,7
1,159,19,5,9
2,37,6,0,9
3,151,11,0,9
4,680,68,7,9
5,166,17,5,9
6,163,20,1,9
7,328,38,7,9
8,1203,109,7,9
9,910,102,10,9
10,434,49,8,9
11,5389,593,54,9
12,1315,137,9,9
13,1146,129,11,9
14,5283,532,45,9
15,1773,188,14,9
16,191,15,1,9
17,90,6,2,9
18,2858,296,23,9
19,742,70,2,9
20,112,11,0,9
21,844,81,13,9
22,658,67,3,9
23,786,73,12,9
24,735,82,12,9
25,545,78,6,9
26,864,86,9,9
27,856,79,6,9
28,5689,590,60,9
29,0,0,0,9
30,362,35,6,9
31,32,2,0,9
32,528,48,6,9
33,6052,569,60,9
34,449,33,2,9
35,883,90,8,9
36,3558,351,33,9
37,1107,122,13,9
38,4166,432,52,9
